/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zx421y49
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260619_015033-zx421y49
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__NSW-xian-g3__456__1781826632
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/zx421y49
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-zx421y49-evalfront-2gGYKg" already exists with the same content. No new version will be created.
wandb: WARNING Artifact "run-zx421y49-evalfront-2gGYKg" already exists with the same content. No new version will be created.
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/common/performance_indicators.py:144: RuntimeWarning: invalid value encountered in divide
  gi = (n + 1 - 2 * np.sum(cum_x, axis=1) / cum_x[:, -1]) / n
wandb: WARNING Artifact "run-zx421y49-evalfront-2gGYKg" already exists with the same content. No new version will be created.
wandb: WARNING Artifact "run-zx421y49-evalfront-2gGYKg" already exists with the same content. No new version will be created.
wandb: WARNING Artifact "run-zx421y49-evalfront-2gGYKg" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', lcn_lambda=None, scheduling_method='constant', schedule_start=1.0, schedule_end=None, scheduler_warmup_fraction=0.0, scheduler_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='nash', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='NSW-xian-g3', wandb_entity=None)
step 2013 	 return [0.00523121 0.00525871 0.00381957], ([0.00206919 0.00213484 0.0021867 ]) 	 loss 1.922E+00 	 horizons 19.0
step 2203 	 return [0.00407213 0.004549   0.00289956], ([0.001917   0.00241926 0.00222227]) 	 loss 1.508E+00 	 horizons 19.0
step 2393 	 return [0.00468624 0.00488277 0.00361604], ([0.00152102 0.0026505  0.00311515]) 	 loss 1.121E+00 	 horizons 19.0
step 2583 	 return [0.0026132  0.00463446 0.00443753], ([0.00130749 0.00133888 0.00216844]) 	 loss 1.004E+00 	 horizons 19.0
step 2773 	 return [0.0022465  0.00411255 0.00450905], ([0.00150654 0.00109791 0.00199638]) 	 loss 9.736E-01 	 horizons 19.0
step 2963 	 return [0.00473287 0.00332693 0.00192532], ([0.00141653 0.00279161 0.00242386]) 	 loss 9.277E-01 	 horizons 19.0
step 3153 	 return [0.00457905 0.00470659 0.00421948], ([0.00151503 0.00211061 0.00258227]) 	 loss 8.796E-01 	 horizons 19.0
step 3343 	 return [0.00454804 0.00623694 0.00559992], ([0.00247343 0.00320654 0.00299011]) 	 loss 8.639E-01 	 horizons 19.0
step 3533 	 return [0.00478499 0.00343418 0.00218536], ([0.00195975 0.00289949 0.00235762]) 	 loss 8.470E-01 	 horizons 19.0
step 3723 	 return [0.00345373 0.00581552 0.0044291 ], ([0.00184243 0.00244755 0.00296385]) 	 loss 8.176E-01 	 horizons 19.0
step 3913 	 return [0.00433485 0.00398847 0.00357092], ([0.00204945 0.00196984 0.00258845]) 	 loss 8.006E-01 	 horizons 19.0
step 4103 	 return [0.0042351  0.00499593 0.00514306], ([0.00126132 0.00190917 0.00311481]) 	 loss 7.790E-01 	 horizons 19.0
step 4293 	 return [0.00317917 0.00514694 0.00484027], ([0.00147446 0.00122279 0.00150106]) 	 loss 7.721E-01 	 horizons 19.0
step 4483 	 return [0.00462501 0.00583841 0.00393207], ([0.00231999 0.00250488 0.00238368]) 	 loss 7.667E-01 	 horizons 19.0
step 4673 	 return [0.00399431 0.00557633 0.00595102], ([0.0016347  0.00196765 0.00320262]) 	 loss 7.639E-01 	 horizons 19.0
step 4863 	 return [0.00477632 0.00465034 0.00392006], ([0.00119377 0.00253108 0.00274426]) 	 loss 7.609E-01 	 horizons 19.0
step 5053 	 return [0.00423393 0.00748969 0.00608092], ([0.00253875 0.0016754  0.00103629]) 	 loss 7.592E-01 	 horizons 19.0
step 5243 	 return [0.00460529 0.00686042 0.00473838], ([0.0017977 0.0023664 0.0025243]) 	 loss 7.676E-01 	 horizons 19.0
step 5433 	 return [0.00462814 0.00421157 0.00330526], ([0.00200166 0.00220289 0.00238682]) 	 loss 7.697E-01 	 horizons 19.0
step 5623 	 return [0.00364844 0.00561446 0.00439477], ([0.00161467 0.00178823 0.00209579]) 	 loss 7.689E-01 	 horizons 19.0
step 5813 	 return [0.00473815 0.00661983 0.00589413], ([0.00136213 0.00115468 0.001685  ]) 	 loss 7.476E-01 	 horizons 19.0
step 6003 	 return [0.00433355 0.00621428 0.00450617], ([0.00106493 0.00191534 0.00238326]) 	 loss 7.872E-01 	 horizons 19.0
