/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run nqrx1q9u
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260619_015244-nqrx1q9u
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__NSW-xian-g3__789__1781826763
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/nqrx1q9u
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/common/performance_indicators.py:144: RuntimeWarning: invalid value encountered in divide
  gi = (n + 1 - 2 * np.sum(cum_x, axis=1) / cum_x[:, -1]) / n
wandb: WARNING Artifact "run-nqrx1q9u-evalfront-uYusPA" already exists with the same content. No new version will be created.
wandb: WARNING Artifact "run-nqrx1q9u-evalfront-uYusPA" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', lcn_lambda=None, scheduling_method='constant', schedule_start=1.0, schedule_end=None, scheduler_warmup_fraction=0.0, scheduler_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='nash', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='NSW-xian-g3', wandb_entity=None)
step 1948 	 return [0.00335787 0.00534099 0.00427964], ([0.00233582 0.00351903 0.00403373]) 	 loss 1.937E+00 	 horizons 19.0
step 2112 	 return [0.00156256 0.00170264 0.0017923 ], ([0.00099144 0.00191569 0.00229667]) 	 loss 1.514E+00 	 horizons 16.4
step 2297 	 return [0.00270522 0.00433425 0.00381932], ([0.001569   0.00242754 0.00324111]) 	 loss 1.145E+00 	 horizons 18.5
step 2487 	 return [0.00396414 0.00369985 0.00452186], ([0.00266291 0.00128333 0.00241721]) 	 loss 1.029E+00 	 horizons 19.0
step 2677 	 return [0.0041825  0.00455052 0.00369296], ([0.00161026 0.00210721 0.0020928 ]) 	 loss 9.832E-01 	 horizons 19.0
step 2867 	 return [0.00231615 0.00406649 0.00398555], ([0.00231307 0.00133928 0.00232599]) 	 loss 9.429E-01 	 horizons 19.0
step 3057 	 return [0.0025875 0.00418   0.0048249], ([0.00143061 0.00165212 0.00314299]) 	 loss 9.089E-01 	 horizons 19.0
step 3247 	 return [0.00271807 0.00525051 0.00547093], ([0.0015732  0.00133466 0.00214822]) 	 loss 9.199E-01 	 horizons 19.0
step 3437 	 return [0.00389019 0.00422676 0.00368861], ([0.00292552 0.00196373 0.00268893]) 	 loss 8.855E-01 	 horizons 19.0
step 3627 	 return [0.00263774 0.00524217 0.00563399], ([0.00152972 0.00229829 0.00252063]) 	 loss 8.858E-01 	 horizons 19.0
step 3817 	 return [0.00382199 0.0049767  0.00483506], ([0.00260356 0.00236354 0.00268201]) 	 loss 8.899E-01 	 horizons 19.0
step 4007 	 return [0.00481907 0.00620733 0.00617239], ([0.00263726 0.00209047 0.00161474]) 	 loss 8.580E-01 	 horizons 19.0
step 4197 	 return [0.00316714 0.00544632 0.0056051 ], ([0.00281643 0.00238305 0.00265749]) 	 loss 8.417E-01 	 horizons 19.0
step 4387 	 return [0.00333897 0.00479951 0.00434614], ([0.00187291 0.00241623 0.00188084]) 	 loss 8.390E-01 	 horizons 19.0
step 4577 	 return [0.00308435 0.00567858 0.00512945], ([0.00256465 0.00200307 0.00267132]) 	 loss 8.502E-01 	 horizons 19.0
step 4767 	 return [0.00419849 0.00590656 0.00523871], ([0.00332426 0.00240793 0.00320318]) 	 loss 8.468E-01 	 horizons 19.0
step 4957 	 return [0.00359352 0.00635337 0.00612462], ([0.00246061 0.00218347 0.00330694]) 	 loss 8.556E-01 	 horizons 19.0
step 5147 	 return [0.00258288 0.00586923 0.00576842], ([0.00167888 0.00179564 0.00178087]) 	 loss 8.855E-01 	 horizons 19.0
step 5337 	 return [0.00275508 0.00656229 0.00642035], ([0.00131735 0.00178677 0.00151695]) 	 loss 8.770E-01 	 horizons 19.0
step 5527 	 return [0.0031068  0.00672595 0.00644397], ([0.00196371 0.00235772 0.00193714]) 	 loss 8.625E-01 	 horizons 19.0
step 5717 	 return [0.00454042 0.00539922 0.00480936], ([0.00274444 0.00244217 0.00240243]) 	 loss 8.414E-01 	 horizons 19.0
step 5907 	 return [0.00203322 0.00718407 0.00620278], ([0.00207994 0.0016797  0.00253446]) 	 loss 8.686E-01 	 horizons 19.0
step 6097 	 return [0.00473055 0.00568833 0.00489168], ([0.00170634 0.00108246 0.00175326]) 	 loss 8.233E-01 	 horizons 19.0
