/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run t2hrpdbq
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260619_063441-t2hrpdbq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__NSW-xian-g5__1024__1781843680
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/t2hrpdbq
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/common/performance_indicators.py:144: RuntimeWarning: invalid value encountered in divide
  gi = (n + 1 - 2 * np.sum(cum_x, axis=1) / cum_x[:, -1]) / n
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', lcn_lambda=None, scheduling_method='constant', schedule_start=1.0, schedule_end=None, scheduler_warmup_fraction=0.0, scheduler_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='nash', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='NSW-xian-g5', wandb_entity=None)
step 1929 	 return [0.00217604 0.00302173 0.00288199 0.00404869 0.00248771], ([0.00204564 0.00256658 0.00267361 0.00441361 0.00314763]) 	 loss 1.934E+00 	 horizons 17.1
step 2105 	 return [0.00235861 0.00188903 0.00249516 0.00230452 0.00245423], ([0.00163681 0.0009015  0.00235012 0.00236047 0.00298299]) 	 loss 1.596E+00 	 horizons 17.6
step 2295 	 return [0.00027689 0.0062732  0.00365381 0.0058778  0.00322322], ([0.00028557 0.00221857 0.00124308 0.00283306 0.00154168]) 	 loss 1.156E+00 	 horizons 19.0
step 2485 	 return [0.00264799 0.00323673 0.00432591 0.00657543 0.00545967], ([0.00338498 0.00184842 0.00188073 0.00415424 0.00362909]) 	 loss 1.007E+00 	 horizons 19.0
step 2675 	 return [0.00185187 0.00511753 0.00433534 0.00452372 0.00440178], ([0.00264542 0.00205783 0.00180694 0.00315746 0.0035019 ]) 	 loss 9.544E-01 	 horizons 19.0
step 2865 	 return [0.0050658  0.00468403 0.00401551 0.00465408 0.00241873], ([0.00376851 0.00167892 0.00248356 0.00537505 0.00301157]) 	 loss 9.188E-01 	 horizons 19.0
step 3055 	 return [0.00074871 0.00390177 0.00402556 0.00668672 0.00351866], ([0.00147766 0.00267179 0.0020358  0.00359662 0.00236532]) 	 loss 9.064E-01 	 horizons 19.0
step 3245 	 return [0.00076485 0.00707072 0.00364502 0.00582441 0.00361291], ([0.00126266 0.00275974 0.00171477 0.00442097 0.00192647]) 	 loss 8.445E-01 	 horizons 19.0
step 3435 	 return [0.00211445 0.00232817 0.00283876 0.00352054 0.00185432], ([0.00270027 0.00134623 0.00079268 0.00218267 0.00103572]) 	 loss 8.543E-01 	 horizons 19.0
step 3625 	 return [0.00125939 0.00606224 0.00333051 0.00464534 0.00318422], ([0.00151326 0.00160628 0.00100112 0.00314499 0.00177887]) 	 loss 8.341E-01 	 horizons 19.0
step 3815 	 return [0.00264416 0.00542473 0.00226844 0.00357511 0.00149191], ([0.0031469  0.00235413 0.001138   0.00300855 0.00173113]) 	 loss 8.407E-01 	 horizons 19.0
step 4005 	 return [0.00015826 0.00748109 0.00440483 0.00402066 0.00435356], ([0.0003236  0.00306798 0.00180937 0.00387866 0.00141387]) 	 loss 8.309E-01 	 horizons 19.0
step 4195 	 return [0.00257484 0.00567529 0.00425551 0.00461794 0.00294636], ([0.00395564 0.00245042 0.00242057 0.00421942 0.0024585 ]) 	 loss 8.304E-01 	 horizons 19.0
step 4385 	 return [0.00163918 0.0055129  0.0040795  0.00586055 0.00343348], ([0.00279598 0.00177611 0.00090901 0.00280442 0.00283212]) 	 loss 7.920E-01 	 horizons 19.0
