/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-rrsg24dl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__1024__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/rrsg24dl
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 1940 	 return [0.00250125 0.00223925 0.00188377], ([0.00112237 0.00180793 0.00151363]) 	 loss 1.925E+00 	 horizons 18.6
step 2121 	 return [0.00221051 0.00261448 0.00198194], ([0.00145132 0.0020079  0.00242559]) 	 loss 1.463E+00 	 horizons 18.1
step 2311 	 return [0.00434624 0.00490301 0.00503215], ([0.00221509 0.00167248 0.00166009]) 	 loss 1.094E+00 	 horizons 19.0
step 2501 	 return [0.00447008 0.0040465  0.0033561 ], ([0.00273417 0.00179438 0.00328322]) 	 loss 1.001E+00 	 horizons 19.0
step 2691 	 return [0.00289623 0.00438762 0.00486838], ([0.00224885 0.00150445 0.00282501]) 	 loss 9.469E-01 	 horizons 19.0
step 2881 	 return [0.00313577 0.00459373 0.00331922], ([0.00166773 0.0020594  0.00233196]) 	 loss 9.046E-01 	 horizons 19.0
step 3071 	 return [0.00334661 0.00515715 0.00483812], ([0.00289159 0.00230572 0.00274746]) 	 loss 9.003E-01 	 horizons 19.0
step 3261 	 return [0.00426747 0.00536208 0.0055546 ], ([0.00236185 0.00160808 0.00249389]) 	 loss 8.942E-01 	 horizons 19.0
step 3451 	 return [0.00593969 0.00385616 0.00261724], ([0.00168789 0.00163328 0.0027744 ]) 	 loss 8.781E-01 	 horizons 19.0
step 3641 	 return [0.00478593 0.00709924 0.00653198], ([0.00143818 0.00250486 0.00230309]) 	 loss 8.674E-01 	 horizons 19.0
step 3831 	 return [0.00356374 0.0065531  0.0072571 ], ([0.00162457 0.00188382 0.00166815]) 	 loss 8.692E-01 	 horizons 19.0
step 4021 	 return [0.00444114 0.0051749  0.00478537], ([0.00251223 0.00225036 0.00250647]) 	 loss 8.335E-01 	 horizons 19.0
step 4211 	 return [0.00365541 0.00434122 0.0054747 ], ([0.00207287 0.00167234 0.00268438]) 	 loss 8.073E-01 	 horizons 19.0
step 4401 	 return [0.00427414 0.00531084 0.00444175], ([0.00242594 0.00250397 0.00301121]) 	 loss 8.156E-01 	 horizons 19.0
