/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-nih78qom
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__123__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/nih78qom
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-nih78qom-evalfront-0JntDQ" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 1936 	 return [0.00323855 0.00407193 0.00333146], ([0.00280895 0.00335954 0.00287082]) 	 loss 1.933E+00 	 horizons 17.8
step 2106 	 return [0.00182885 0.00181799 0.00211774], ([0.00177194 0.002482   0.00344974]) 	 loss 1.430E+00 	 horizons 17.0
step 2292 	 return [0.00315757 0.00373983 0.00395141], ([0.00151577 0.00245768 0.00257052]) 	 loss 1.086E+00 	 horizons 18.6
step 2482 	 return [0.00432434 0.00327504 0.00244068], ([0.00199943 0.00185218 0.00272894]) 	 loss 9.564E-01 	 horizons 19.0
step 2672 	 return [0.00245191 0.0044278  0.00449566], ([0.00196237 0.00220532 0.00287305]) 	 loss 9.317E-01 	 horizons 19.0
step 2862 	 return [0.00287678 0.00586461 0.00535462], ([0.00168523 0.00227538 0.00271643]) 	 loss 8.834E-01 	 horizons 19.0
step 3052 	 return [0.00191219 0.00478436 0.0060223 ], ([0.00217997 0.00208273 0.00238843]) 	 loss 8.866E-01 	 horizons 19.0
step 3242 	 return [0.00275391 0.00509426 0.00545886], ([0.00199885 0.00187521 0.00210377]) 	 loss 8.743E-01 	 horizons 19.0
step 3432 	 return [0.00373238 0.00423705 0.0036522 ], ([0.00231959 0.00183425 0.00214979]) 	 loss 8.860E-01 	 horizons 19.0
step 3622 	 return [0.00234863 0.00633724 0.00584562], ([0.00092381 0.00241568 0.0028552 ]) 	 loss 8.442E-01 	 horizons 19.0
step 3812 	 return [0.00256089 0.00530088 0.00517611], ([0.0027613  0.00242751 0.00295189]) 	 loss 8.406E-01 	 horizons 19.0
step 4002 	 return [0.00301405 0.00484611 0.0037942 ], ([0.00132003 0.00186711 0.00210538]) 	 loss 8.376E-01 	 horizons 19.0
step 4192 	 return [0.00209863 0.00581849 0.00524219], ([0.0024145  0.00217786 0.00260811]) 	 loss 8.288E-01 	 horizons 19.0
step 4382 	 return [0.00417974 0.00460282 0.00502519], ([0.00267837 0.00197976 0.00301131]) 	 loss 8.045E-01 	 horizons 19.0
step 4572 	 return [0.00347852 0.006451   0.00506629], ([0.00157314 0.00211108 0.00251396]) 	 loss 7.888E-01 	 horizons 19.0
step 4762 	 return [0.00453193 0.00571155 0.00495186], ([0.00217815 0.00221442 0.00309328]) 	 loss 7.966E-01 	 horizons 19.0
step 4952 	 return [0.00350756 0.00497349 0.00345704], ([0.00119602 0.00317827 0.00229182]) 	 loss 7.833E-01 	 horizons 19.0
step 5142 	 return [0.0041146  0.00703441 0.00543613], ([0.00188852 0.0028243  0.00183031]) 	 loss 7.784E-01 	 horizons 19.0
step 5332 	 return [0.00262174 0.0057919  0.00485001], ([0.00260975 0.00199117 0.00255715]) 	 loss 7.622E-01 	 horizons 19.0
step 5522 	 return [0.00321228 0.00490725 0.00508119], ([0.00172448 0.00202155 0.00192946]) 	 loss 7.891E-01 	 horizons 19.0
step 5712 	 return [0.00365036 0.00654744 0.0064642 ], ([0.00256364 0.00243502 0.00376125]) 	 loss 7.828E-01 	 horizons 19.0
step 5902 	 return [0.00304976 0.00547877 0.00550309], ([0.00147917 0.00205148 0.0032148 ]) 	 loss 7.540E-01 	 horizons 19.0
step 6092 	 return [0.00302031 0.00660537 0.00556932], ([0.00171145 0.00225403 0.00226127]) 	 loss 7.688E-01 	 horizons 19.0
step 6282 	 return [0.00438014 0.00670243 0.00526712], ([0.00172696 0.00252014 0.00217124]) 	 loss 7.701E-01 	 horizons 19.0
step 6472 	 return [0.00391264 0.00640895 0.00609655], ([0.0023578  0.00248004 0.00313185]) 	 loss 7.411E-01 	 horizons 19.0
step 6662 	 return [0.00468033 0.00627247 0.00373411], ([0.00198413 0.00202014 0.00244002]) 	 loss 7.417E-01 	 horizons 19.0
step 6852 	 return [0.00457967 0.00815703 0.00603067], ([0.00234943 0.0037557  0.00327205]) 	 loss 7.366E-01 	 horizons 19.0
step 7042 	 return [0.00511299 0.00580883 0.00376997], ([0.0019451  0.003335   0.00240473]) 	 loss 7.872E-01 	 horizons 19.0
step 7232 	 return [0.00311625 0.0060559  0.00676475], ([0.00171148 0.00126747 0.00154033]) 	 loss 7.827E-01 	 horizons 19.0
step 7422 	 return [0.00419299 0.00863975 0.00622002], ([0.00165312 0.00258898 0.00230215]) 	 loss 7.754E-01 	 horizons 19.0
step 7612 	 return [0.00303767 0.00678267 0.00782051], ([0.00173134 0.0011572  0.00213039]) 	 loss 7.638E-01 	 horizons 19.0
step 7802 	 return [0.00395497 0.00690629 0.00626219], ([0.0015389  0.0018206  0.00140415]) 	 loss 7.723E-01 	 horizons 19.0
step 7992 	 return [0.00467333 0.008193   0.00681185], ([0.00185031 0.0016062  0.00217184]) 	 loss 7.848E-01 	 horizons 19.0
step 8182 	 return [0.00411873 0.00735326 0.00674382], ([0.00161276 0.00174363 0.00198323]) 	 loss 8.093E-01 	 horizons 19.0
step 8372 	 return [0.00518372 0.00929264 0.00758385], ([0.00168773 0.00171329 0.00213424]) 	 loss 7.553E-01 	 horizons 19.0
step 8562 	 return [0.00460815 0.00596675 0.0034411 ], ([0.00252411 0.00233538 0.0022302 ]) 	 loss 7.199E-01 	 horizons 19.0
step 8752 	 return [0.00564597 0.0078371  0.00575543], ([0.00125568 0.00210071 0.00218058]) 	 loss 7.523E-01 	 horizons 19.0
step 8942 	 return [0.00402066 0.00571768 0.00310808], ([0.00220709 0.00163818 0.00108163]) 	 loss 7.229E-01 	 horizons 19.0
step 9132 	 return [0.00514378 0.00644112 0.00352857], ([0.00275432 0.00168294 0.00147163]) 	 loss 6.892E-01 	 horizons 19.0
step 9322 	 return [0.00425048 0.00611692 0.00365128], ([0.00232549 0.00273982 0.00188712]) 	 loss 6.857E-01 	 horizons 19.0
step 9512 	 return [0.00471045 0.00896165 0.0075722 ], ([0.00156166 0.00215078 0.00178733]) 	 loss 6.663E-01 	 horizons 19.0
step 9702 	 return [0.00635113 0.00897267 0.0072118 ], ([0.00225406 0.00152389 0.00207714]) 	 loss 6.780E-01 	 horizons 19.0
step 9892 	 return [0.00571194 0.00862256 0.007997  ], ([0.00217795 0.00131561 0.00156554]) 	 loss 6.942E-01 	 horizons 19.0
step 10082 	 return [0.00616291 0.00796927 0.0052764 ], ([0.00185589 0.0014443  0.00212521]) 	 loss 6.928E-01 	 horizons 19.0
step 10272 	 return [0.00759627 0.01031551 0.00637175], ([0.00284755 0.00129005 0.00286168]) 	 loss 6.727E-01 	 horizons 19.0
step 10462 	 return [0.00496248 0.00942144 0.00800636], ([0.00282971 0.00183112 0.00245578]) 	 loss 6.527E-01 	 horizons 19.0
step 10652 	 return [0.00512131 0.01028171 0.00765265], ([0.00227107 0.00193659 0.00132957]) 	 loss 6.785E-01 	 horizons 19.0
step 10842 	 return [0.00617107 0.0100253  0.00739511], ([0.00215524 0.00076393 0.00160977]) 	 loss 6.547E-01 	 horizons 19.0
step 11032 	 return [0.00660142 0.010514   0.00825206], ([0.00242885 0.00115879 0.00265829]) 	 loss 5.969E-01 	 horizons 19.0
step 11222 	 return [0.00706961 0.00959927 0.00715711], ([0.00227544 0.00195984 0.00244108]) 	 loss 6.283E-01 	 horizons 19.0
step 11412 	 return [0.00614489 0.0103641  0.00886929], ([0.00166044 0.00103898 0.00149413]) 	 loss 6.105E-01 	 horizons 19.0
step 11602 	 return [0.00788513 0.00998553 0.00793059], ([0.00248056 0.00173061 0.00227042]) 	 loss 5.674E-01 	 horizons 19.0
step 11792 	 return [0.00658437 0.0115487  0.00873521], ([0.00164512 0.00130131 0.00122735]) 	 loss 5.370E-01 	 horizons 19.0
step 11982 	 return [0.00651555 0.01132089 0.00861504], ([0.00210896 0.0012624  0.00175514]) 	 loss 5.385E-01 	 horizons 19.0
step 12172 	 return [0.00836795 0.01013641 0.00748838], ([0.00131459 0.00113294 0.00167763]) 	 loss 5.272E-01 	 horizons 19.0
step 12362 	 return [0.00672945 0.01011744 0.00790303], ([0.00151798 0.00165821 0.00128122]) 	 loss 5.060E-01 	 horizons 19.0
step 12552 	 return [0.00603913 0.01077561 0.00895148], ([0.00163437 0.00190094 0.00109005]) 	 loss 5.135E-01 	 horizons 19.0
step 12742 	 return [0.00732968 0.01073062 0.00898556], ([0.0016786  0.00113862 0.00158088]) 	 loss 4.711E-01 	 horizons 19.0
step 12932 	 return [0.00746689 0.01062195 0.0089659 ], ([0.00145808 0.00182138 0.00095151]) 	 loss 4.870E-01 	 horizons 19.0
step 13122 	 return [0.00603238 0.01109989 0.00930103], ([0.00151185 0.00076827 0.00128373]) 	 loss 4.557E-01 	 horizons 19.0
step 13312 	 return [0.00694718 0.01157077 0.00816295], ([0.00150613 0.00106363 0.00155635]) 	 loss 4.466E-01 	 horizons 19.0
step 13502 	 return [0.00733047 0.01117482 0.00834349], ([0.00117257 0.00130932 0.00157407]) 	 loss 4.363E-01 	 horizons 19.0
step 13692 	 return [0.00627284 0.01062916 0.00870856], ([0.00103095 0.00099498 0.00167897]) 	 loss 4.279E-01 	 horizons 19.0
step 13882 	 return [0.00768335 0.01102677 0.00798801], ([0.00136393 0.00109733 0.00107265]) 	 loss 4.141E-01 	 horizons 19.0
step 14072 	 return [0.00764473 0.01027464 0.00932907], ([0.00104384 0.00163392 0.00194448]) 	 loss 3.920E-01 	 horizons 19.0
step 14262 	 return [0.01074048 0.00944595 0.00525647], ([0.00113886 0.00036206 0.00294996]) 	 loss 4.329E-01 	 horizons 19.0
step 14452 	 return [0.00663486 0.01047012 0.00864224], ([0.00115547 0.00099612 0.00092027]) 	 loss 3.768E-01 	 horizons 19.0
step 14642 	 return [0.00898196 0.01063294 0.00764816], ([0.00115071 0.00107618 0.00154998]) 	 loss 3.694E-01 	 horizons 19.0
step 14832 	 return [0.00826863 0.01102937 0.00855079], ([0.0007744  0.0019359  0.00017967]) 	 loss 3.923E-01 	 horizons 19.0
step 15022 	 return [0.00845653 0.01175439 0.00773182], ([0.0008735  0.0018055  0.00164766]) 	 loss 3.585E-01 	 horizons 19.0
step 15212 	 return [0.01106979 0.00942877 0.00249626], ([0.00177148 0.00035762 0.00204519]) 	 loss 3.528E-01 	 horizons 19.0
step 15402 	 return [0.0087682  0.01008224 0.00745298], ([0.00114397 0.00134387 0.00175045]) 	 loss 3.481E-01 	 horizons 19.0
step 15592 	 return [0.00832183 0.01013419 0.0086135 ], ([0.00101629 0.00087371 0.00118446]) 	 loss 3.323E-01 	 horizons 19.0
step 15782 	 return [0.00873131 0.01104447 0.00875338], ([0.00101165 0.00100638 0.00037845]) 	 loss 2.967E-01 	 horizons 19.0
step 15972 	 return [0.01156349 0.00941427 0.00153638], ([9.5749740e-04 3.3554895e-04 6.4887034e-05]) 	 loss 2.970E-01 	 horizons 19.0
step 16162 	 return [0.01136945 0.00965937 0.00207187], ([0.00133888 0.00053987 0.0011762 ]) 	 loss 2.840E-01 	 horizons 19.0
step 16352 	 return [0.0090577  0.01104899 0.00850238], ([0.00056665 0.00087219 0.00048765]) 	 loss 2.897E-01 	 horizons 19.0
step 16542 	 return [0.00976843 0.01032065 0.00601238], ([0.00105431 0.00121661 0.00254428]) 	 loss 2.834E-01 	 horizons 19.0
step 16732 	 return [0.00822837 0.01096904 0.00926475], ([0.000972   0.00091163 0.00188376]) 	 loss 2.646E-01 	 horizons 19.0
step 16922 	 return [0.01099817 0.0097903  0.00571431], ([0.00090906 0.00102793 0.00254062]) 	 loss 2.257E-01 	 horizons 19.0
step 17112 	 return [0.00731532 0.01147397 0.00984976], ([0.00095704 0.00104197 0.0010522 ]) 	 loss 2.412E-01 	 horizons 19.0
