/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run h81euxqv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-h81euxqv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/h81euxqv
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-h81euxqv-evalfront--an8fQ" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 1973 	 return [0.00295889 0.00475897 0.0040717 ], ([0.00180747 0.00286287 0.00338602]) 	 loss 1.949E+00 	 horizons 18.6
step 2161 	 return [0.00323343 0.00312538 0.00233986], ([0.00172504 0.00177466 0.00212985]) 	 loss 1.563E+00 	 horizons 18.8
step 2351 	 return [0.00319428 0.00429907 0.00408122], ([0.00219599 0.00253679 0.00274752]) 	 loss 1.152E+00 	 horizons 19.0
step 2541 	 return [0.00350077 0.00527134 0.00410399], ([0.00217994 0.00214718 0.00286049]) 	 loss 1.047E+00 	 horizons 19.0
step 2700 	 return [0.00145082 0.00102954 0.00147882], ([0.00173067 0.00151579 0.00249861]) 	 loss 9.797E-01 	 horizons 15.9
step 2890 	 return [0.00190248 0.00292388 0.00362402], ([0.00130998 0.00160546 0.00296493]) 	 loss 9.382E-01 	 horizons 19.0
step 3080 	 return [0.00308545 0.00609887 0.00435503], ([0.00157492 0.00212041 0.00212202]) 	 loss 9.275E-01 	 horizons 19.0
step 3260 	 return [0.00250577 0.00318606 0.00172733], ([0.00196382 0.00209452 0.00212982]) 	 loss 9.154E-01 	 horizons 18.0
step 3450 	 return [0.00450704 0.00483641 0.00371129], ([0.00277729 0.0034773  0.00331397]) 	 loss 9.148E-01 	 horizons 19.0
step 3640 	 return [0.00491207 0.00464676 0.00288925], ([0.0028518  0.00201482 0.00224339]) 	 loss 8.807E-01 	 horizons 19.0
step 3830 	 return [0.0027076  0.00555703 0.00418829], ([0.00172609 0.00147402 0.00170168]) 	 loss 8.573E-01 	 horizons 19.0
step 4020 	 return [0.00324658 0.00490778 0.00479815], ([0.00242035 0.00227839 0.00271492]) 	 loss 8.572E-01 	 horizons 19.0
step 4210 	 return [0.00347535 0.00476227 0.0050145 ], ([0.00260756 0.00197682 0.00362956]) 	 loss 8.684E-01 	 horizons 19.0
step 4400 	 return [0.00351762 0.00486834 0.00526271], ([0.00234187 0.0015407  0.00255042]) 	 loss 8.558E-01 	 horizons 19.0
step 4590 	 return [0.00300544 0.00546508 0.00398368], ([0.0020291  0.00130638 0.00268595]) 	 loss 8.499E-01 	 horizons 19.0
step 4780 	 return [0.00277566 0.00550795 0.00558914], ([0.00241995 0.00177769 0.00290985]) 	 loss 8.329E-01 	 horizons 19.0
step 4970 	 return [0.0040989  0.00670308 0.00427538], ([0.00199864 0.00204747 0.00245162]) 	 loss 8.528E-01 	 horizons 19.0
step 5160 	 return [0.00421032 0.00644744 0.00544047], ([0.00273277 0.00323861 0.00380994]) 	 loss 8.492E-01 	 horizons 19.0
step 5350 	 return [0.00418449 0.00613856 0.00463922], ([0.00206204 0.00302386 0.00337139]) 	 loss 8.139E-01 	 horizons 19.0
step 5540 	 return [0.00367894 0.00582077 0.00596839], ([0.00281581 0.0024261  0.0031885 ]) 	 loss 7.822E-01 	 horizons 19.0
step 5730 	 return [0.00534141 0.00621679 0.00530717], ([0.00142586 0.00270452 0.0034255 ]) 	 loss 7.603E-01 	 horizons 19.0
step 5920 	 return [0.00398443 0.00868023 0.00782447], ([0.00181515 0.00116309 0.0019559 ]) 	 loss 8.067E-01 	 horizons 19.0
step 6110 	 return [0.0056614  0.0064932  0.00481706], ([0.00135994 0.00334683 0.00279436]) 	 loss 7.580E-01 	 horizons 19.0
step 6300 	 return [0.00506754 0.00788001 0.00564254], ([0.0017539  0.00127211 0.00225321]) 	 loss 7.505E-01 	 horizons 19.0
step 6490 	 return [0.00241232 0.00685931 0.00595932], ([0.00195245 0.00155617 0.00308854]) 	 loss 7.549E-01 	 horizons 19.0
step 6680 	 return [0.00548049 0.00770795 0.00505564], ([0.00206097 0.00200158 0.00147313]) 	 loss 7.288E-01 	 horizons 19.0
step 6870 	 return [0.00639136 0.00763934 0.00643432], ([0.00204397 0.00387079 0.0045626 ]) 	 loss 7.553E-01 	 horizons 19.0
step 7060 	 return [0.00410908 0.00670366 0.0048419 ], ([0.00166854 0.00199038 0.00296838]) 	 loss 7.496E-01 	 horizons 19.0
step 7250 	 return [0.00610272 0.00604047 0.0046312 ], ([0.00319653 0.0033155  0.00395784]) 	 loss 7.204E-01 	 horizons 19.0
step 7440 	 return [0.00480214 0.00858872 0.00769321], ([0.00237131 0.00231476 0.00258174]) 	 loss 7.124E-01 	 horizons 19.0
step 7630 	 return [0.00542978 0.00977927 0.00629199], ([0.00273029 0.0012407  0.00219931]) 	 loss 7.321E-01 	 horizons 19.0
step 7820 	 return [0.00440185 0.00756454 0.00573932], ([0.00174392 0.00278348 0.00301515]) 	 loss 7.123E-01 	 horizons 19.0
step 8010 	 return [0.00572987 0.00779098 0.00547691], ([0.00168933 0.00209071 0.00233741]) 	 loss 7.370E-01 	 horizons 19.0
step 8200 	 return [0.0056107  0.00919904 0.00757768], ([0.00202798 0.00185481 0.003047  ]) 	 loss 7.318E-01 	 horizons 19.0
step 8390 	 return [0.00486057 0.00862284 0.0062552 ], ([0.00181333 0.00272339 0.00307058]) 	 loss 7.583E-01 	 horizons 19.0
step 8580 	 return [0.0061871  0.00858914 0.00607175], ([0.00156278 0.00137202 0.0014093 ]) 	 loss 7.096E-01 	 horizons 19.0
step 8770 	 return [0.00381178 0.00943284 0.00784166], ([0.00337077 0.00208481 0.00328978]) 	 loss 7.228E-01 	 horizons 19.0
step 8960 	 return [0.00554787 0.00891264 0.00684889], ([0.00267134 0.00255546 0.00429299]) 	 loss 7.025E-01 	 horizons 19.0
step 9150 	 return [0.00601026 0.00882587 0.00652914], ([0.00104643 0.00178462 0.0026339 ]) 	 loss 7.169E-01 	 horizons 19.0
step 9340 	 return [0.00680439 0.00986133 0.00717407], ([0.00291173 0.00232234 0.00263379]) 	 loss 6.796E-01 	 horizons 19.0
step 9530 	 return [0.00531785 0.01064837 0.00902894], ([0.0018017  0.0013463  0.00355189]) 	 loss 6.502E-01 	 horizons 19.0
step 9720 	 return [0.00527946 0.01001474 0.00964499], ([0.00125592 0.00234226 0.00303079]) 	 loss 6.660E-01 	 horizons 19.0
step 9910 	 return [0.0067632  0.00971514 0.00743979], ([0.00204632 0.00147815 0.00183957]) 	 loss 6.448E-01 	 horizons 19.0
step 10100 	 return [0.00611698 0.00962822 0.00772476], ([0.00271324 0.001284   0.00349334]) 	 loss 6.417E-01 	 horizons 19.0
step 10290 	 return [0.00633008 0.01079652 0.00788997], ([0.00180434 0.00247264 0.00142971]) 	 loss 6.287E-01 	 horizons 19.0
step 10480 	 return [0.00640285 0.01139683 0.00811045], ([0.00213035 0.00095404 0.00263001]) 	 loss 6.155E-01 	 horizons 19.0
step 10670 	 return [0.00643052 0.01138737 0.00986646], ([0.00104357 0.00191346 0.00162091]) 	 loss 5.846E-01 	 horizons 19.0
step 10860 	 return [0.0070087  0.01082294 0.00847679], ([0.00258562 0.00141559 0.00379234]) 	 loss 5.866E-01 	 horizons 19.0
step 11050 	 return [0.00597162 0.01114704 0.00949196], ([0.00159771 0.00117207 0.00152232]) 	 loss 5.836E-01 	 horizons 19.0
step 11240 	 return [0.00679493 0.01093697 0.00960054], ([0.00186043 0.00116751 0.00266176]) 	 loss 5.523E-01 	 horizons 19.0
step 11430 	 return [0.00630348 0.01105609 0.00981572], ([0.00136372 0.00119243 0.00229482]) 	 loss 5.684E-01 	 horizons 19.0
step 11620 	 return [0.0077277  0.01181393 0.00815642], ([0.00154192 0.00193821 0.00266813]) 	 loss 5.702E-01 	 horizons 19.0
step 11810 	 return [0.00651963 0.01085012 0.00855275], ([0.00277673 0.0009519  0.00327481]) 	 loss 5.616E-01 	 horizons 19.0
step 12000 	 return [0.0068269  0.01058236 0.00874054], ([0.0023584  0.00129409 0.00350528]) 	 loss 5.557E-01 	 horizons 19.0
step 12190 	 return [0.00730002 0.0114809  0.01013874], ([0.0006081  0.00175256 0.00193171]) 	 loss 4.969E-01 	 horizons 19.0
step 12380 	 return [0.00642325 0.01062714 0.01001046], ([0.00134695 0.00112849 0.00199465]) 	 loss 4.870E-01 	 horizons 19.0
step 12570 	 return [0.01015555 0.01094113 0.00413987], ([0.00269079 0.0007592  0.00266865]) 	 loss 5.151E-01 	 horizons 19.0
step 12760 	 return [0.00813298 0.01174916 0.00857156], ([0.00275562 0.0017743  0.00240662]) 	 loss 4.483E-01 	 horizons 19.0
step 12950 	 return [0.00948466 0.01084572 0.00436279], ([0.00263506 0.00153521 0.00338121]) 	 loss 4.693E-01 	 horizons 19.0
step 13140 	 return [0.00897613 0.01155849 0.00656787], ([0.00206654 0.00122335 0.00315281]) 	 loss 4.638E-01 	 horizons 19.0
step 13330 	 return [0.00638818 0.01166389 0.01022456], ([0.00071494 0.00152294 0.00248084]) 	 loss 4.673E-01 	 horizons 19.0
