/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-sdepobc8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__456__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/sdepobc8
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 1985 	 return [0.00406726 0.00553324 0.00438893], ([0.00196326 0.00217198 0.00266188]) 	 loss 1.912E+00 	 horizons 19.0
step 2166 	 return [0.00298903 0.00371416 0.00243302], ([0.00204086 0.00272602 0.00239163]) 	 loss 1.478E+00 	 horizons 18.1
step 2351 	 return [0.0031117  0.00453647 0.00389382], ([0.00208488 0.00205496 0.00203107]) 	 loss 1.097E+00 	 horizons 18.5
step 2541 	 return [0.00403604 0.00446315 0.00395055], ([0.00277691 0.00280814 0.00348166]) 	 loss 9.807E-01 	 horizons 19.0
step 2731 	 return [0.00335614 0.00542406 0.00538627], ([0.00144093 0.00238508 0.0028388 ]) 	 loss 9.472E-01 	 horizons 19.0
step 2921 	 return [0.00413863 0.00568326 0.00377622], ([0.00137832 0.00344603 0.00274266]) 	 loss 9.128E-01 	 horizons 19.0
step 3111 	 return [0.00359818 0.00568476 0.00585814], ([0.00188999 0.0022757  0.00340678]) 	 loss 8.973E-01 	 horizons 19.0
step 3301 	 return [0.0028691  0.00527282 0.00376888], ([0.00191297 0.00236634 0.00226998]) 	 loss 8.718E-01 	 horizons 19.0
step 3491 	 return [0.0032383  0.00575257 0.00598041], ([0.0023735  0.00205193 0.00293862]) 	 loss 8.628E-01 	 horizons 19.0
step 3681 	 return [0.00349792 0.00631666 0.00560213], ([0.0013843  0.00257534 0.00267723]) 	 loss 8.477E-01 	 horizons 19.0
step 3871 	 return [0.00360241 0.00557545 0.00524404], ([0.00193783 0.00264786 0.00309921]) 	 loss 8.441E-01 	 horizons 19.0
step 4061 	 return [0.00533109 0.00416792 0.00340092], ([0.00124915 0.00206568 0.00288837]) 	 loss 8.199E-01 	 horizons 19.0
step 4251 	 return [0.00455262 0.00503565 0.00345678], ([0.00234129 0.00239433 0.00232632]) 	 loss 8.040E-01 	 horizons 19.0
step 4441 	 return [0.00407259 0.00669382 0.00423831], ([0.00192173 0.00188191 0.00150474]) 	 loss 7.799E-01 	 horizons 19.0
