/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 4l15ebrn
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-4l15ebrn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g3__789__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/4l15ebrn
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-4l15ebrn-evalfront-V8yGVg" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g3', wandb_entity=None)
step 1960 	 return [0.00422032 0.00584801 0.00411044], ([0.00214048 0.0041518  0.00402109]) 	 loss 1.951E+00 	 horizons 19.0
step 2131 	 return [0.00199203 0.00228635 0.00204505], ([0.00158    0.00329094 0.00322431]) 	 loss 1.587E+00 	 horizons 17.1
step 2321 	 return [0.00286338 0.0043802  0.00341789], ([0.0016606  0.00163691 0.00164675]) 	 loss 1.203E+00 	 horizons 19.0
step 2511 	 return [0.00210945 0.00541166 0.00544555], ([0.00257101 0.0007055  0.00158809]) 	 loss 1.040E+00 	 horizons 19.0
step 2701 	 return [0.00192227 0.0051385  0.00494259], ([0.00152563 0.00154994 0.00164396]) 	 loss 9.644E-01 	 horizons 19.0
step 2891 	 return [0.00469801 0.00671448 0.00574651], ([0.0013101  0.00138407 0.00138494]) 	 loss 9.624E-01 	 horizons 19.0
step 3081 	 return [0.00323704 0.00613066 0.005719  ], ([0.00192007 0.00194804 0.00255369]) 	 loss 9.512E-01 	 horizons 19.0
step 3271 	 return [0.0046058 0.0069849 0.0051207], ([0.00148555 0.00167645 0.00206173]) 	 loss 9.337E-01 	 horizons 19.0
step 3461 	 return [0.00541917 0.00823092 0.00608659], ([0.00235913 0.00249193 0.00185173]) 	 loss 8.834E-01 	 horizons 19.0
step 3651 	 return [0.0040006  0.00664146 0.00500567], ([0.00092285 0.00250521 0.00261122]) 	 loss 9.204E-01 	 horizons 19.0
step 3841 	 return [0.00477852 0.00768268 0.00512113], ([0.0016907  0.00284524 0.00151605]) 	 loss 9.085E-01 	 horizons 19.0
step 4031 	 return [0.00319192 0.00552312 0.00408152], ([0.00123295 0.00219695 0.00196892]) 	 loss 8.639E-01 	 horizons 19.0
step 4221 	 return [0.00456098 0.00716461 0.00596241], ([0.00216541 0.00233619 0.00211709]) 	 loss 8.775E-01 	 horizons 19.0
step 4411 	 return [0.00435335 0.0062559  0.00490898], ([0.00249159 0.00238844 0.00257435]) 	 loss 8.673E-01 	 horizons 19.0
step 4601 	 return [0.00427454 0.00649757 0.00584676], ([0.00235743 0.00239231 0.00250114]) 	 loss 8.376E-01 	 horizons 19.0
step 4791 	 return [0.00363554 0.00573289 0.00556532], ([0.00221219 0.00185229 0.00179561]) 	 loss 8.454E-01 	 horizons 19.0
step 4981 	 return [0.00546207 0.00726691 0.00473755], ([0.00198957 0.00282529 0.00281968]) 	 loss 8.392E-01 	 horizons 19.0
step 5171 	 return [0.00402412 0.00676209 0.00544988], ([0.00216956 0.00284341 0.00296825]) 	 loss 8.215E-01 	 horizons 19.0
step 5361 	 return [0.00392641 0.00761808 0.00670535], ([0.00153621 0.00195286 0.00197595]) 	 loss 8.189E-01 	 horizons 19.0
step 5551 	 return [0.0048341  0.00623004 0.00532719], ([0.00243136 0.00269891 0.00336761]) 	 loss 8.171E-01 	 horizons 19.0
step 5741 	 return [0.00501464 0.00647636 0.00359323], ([0.00228075 0.00211409 0.00169091]) 	 loss 8.208E-01 	 horizons 19.0
step 5931 	 return [0.00505697 0.00844457 0.00611063], ([0.00163864 0.00245211 0.00212011]) 	 loss 8.207E-01 	 horizons 19.0
step 6121 	 return [0.00678185 0.00903937 0.00667435], ([0.00229363 0.00324529 0.00214656]) 	 loss 7.945E-01 	 horizons 19.0
step 6311 	 return [0.00679688 0.00851247 0.00532656], ([0.00242379 0.00318793 0.00290299]) 	 loss 7.955E-01 	 horizons 19.0
step 6501 	 return [0.00469189 0.00682735 0.0057791 ], ([0.00205855 0.00179891 0.00259716]) 	 loss 7.775E-01 	 horizons 19.0
step 6691 	 return [0.00621928 0.00927994 0.0060097 ], ([0.00140799 0.00127636 0.00169323]) 	 loss 7.584E-01 	 horizons 19.0
step 6881 	 return [0.00694593 0.00994555 0.00760137], ([0.00250687 0.00151391 0.0026357 ]) 	 loss 7.676E-01 	 horizons 19.0
step 7071 	 return [0.00499419 0.00854512 0.00558343], ([0.00198866 0.00239208 0.00144468]) 	 loss 7.606E-01 	 horizons 19.0
step 7261 	 return [0.00595094 0.00957303 0.00815417], ([0.00211377 0.00241474 0.00144534]) 	 loss 7.276E-01 	 horizons 19.0
step 7451 	 return [0.00705049 0.00910708 0.00610152], ([0.00111151 0.00259898 0.0028474 ]) 	 loss 7.241E-01 	 horizons 19.0
step 7641 	 return [0.00548274 0.01003823 0.00811249], ([0.0019431  0.00151243 0.00179272]) 	 loss 7.217E-01 	 horizons 19.0
step 7831 	 return [0.00739192 0.01164925 0.00770076], ([0.00169488 0.00150239 0.0017497 ]) 	 loss 7.091E-01 	 horizons 19.0
step 8021 	 return [0.00714993 0.01039729 0.00750512], ([0.00129667 0.00193667 0.00177509]) 	 loss 6.846E-01 	 horizons 19.0
step 8211 	 return [0.0068773  0.00993545 0.00649269], ([0.00148068 0.00271216 0.00209473]) 	 loss 6.860E-01 	 horizons 19.0
step 8401 	 return [0.00674146 0.00939329 0.00682892], ([0.00080444 0.0018367  0.00182538]) 	 loss 6.728E-01 	 horizons 19.0
step 8591 	 return [0.00666659 0.01069627 0.00755766], ([0.00097473 0.00163611 0.00177993]) 	 loss 7.126E-01 	 horizons 19.0
step 8781 	 return [0.00637401 0.00986527 0.00897058], ([0.00169553 0.00121384 0.00136574]) 	 loss 7.015E-01 	 horizons 19.0
step 8971 	 return [0.00625085 0.00981419 0.00760731], ([0.00164272 0.00171583 0.00305516]) 	 loss 6.707E-01 	 horizons 19.0
step 9161 	 return [0.00665898 0.01049754 0.00613863], ([0.00190041 0.00203938 0.00242016]) 	 loss 6.884E-01 	 horizons 19.0
step 9351 	 return [0.00709219 0.0098205  0.00810054], ([0.00154689 0.00232345 0.00210012]) 	 loss 6.569E-01 	 horizons 19.0
