/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 7i7f640q
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-7i7f640q
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__1024__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/7i7f640q
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 1954 	 return [0.00241039 0.00439495 0.00362993 0.00379231 0.00261805], ([0.00161709 0.00349698 0.00323583 0.00337648 0.00311499]) 	 loss 1.978E+00 	 horizons 19.0
step 2138 	 return [0.00371578 0.00260275 0.00200363 0.00190624 0.0014505 ], ([0.00169056 0.00162279 0.00147718 0.00293115 0.00233466]) 	 loss 1.546E+00 	 horizons 18.4
step 2310 	 return [0.00251232 0.00059572 0.00137649 0.00093318 0.00119072], ([0.00171469 0.00100111 0.00171204 0.00113703 0.0019836 ]) 	 loss 1.109E+00 	 horizons 17.2
step 2492 	 return [0.00263386 0.00131254 0.00099807 0.00062351 0.00052532], ([0.00160547 0.0013019  0.00122753 0.00124749 0.00074965]) 	 loss 9.899E-01 	 horizons 18.2
step 2682 	 return [0.00318819 0.00517164 0.00573308 0.00720426 0.00205306], ([0.00149522 0.00289382 0.00266467 0.00443313 0.00195874]) 	 loss 9.621E-01 	 horizons 19.0
step 2856 	 return [0.00321956 0.00111268 0.00070781 0.00051078 0.00036749], ([0.0017331  0.00086123 0.00055283 0.00050565 0.00071169]) 	 loss 9.076E-01 	 horizons 17.4
step 3046 	 return [0.00231306 0.0043186  0.00677849 0.0051877  0.00541267], ([0.00228352 0.00294473 0.00203813 0.00357565 0.00348547]) 	 loss 9.052E-01 	 horizons 19.0
step 3236 	 return [0.00203143 0.00456621 0.00455769 0.00382106 0.00440317], ([0.0019287  0.00307151 0.00185464 0.00323146 0.00192458]) 	 loss 8.641E-01 	 horizons 19.0
step 3426 	 return [0.00500657 0.00220744 0.00066135 0.00052343 0.00056407], ([0.00149681 0.00164623 0.00074214 0.00084391 0.00169222]) 	 loss 8.657E-01 	 horizons 19.0
step 3616 	 return [0.00261005 0.00262575 0.00434061 0.00610074 0.0048163 ], ([0.00328652 0.00103181 0.00275273 0.00371684 0.00267415]) 	 loss 8.390E-01 	 horizons 19.0
step 3806 	 return [0.00180542 0.00521536 0.00482996 0.00675246 0.00375259], ([0.00211861 0.00241483 0.00134209 0.00250043 0.00219775]) 	 loss 8.301E-01 	 horizons 19.0
step 3996 	 return [0.00414959 0.00392094 0.00136153 0.00027934 0.00026836], ([0.00224036 0.00151526 0.00149361 0.00035021 0.00049709]) 	 loss 7.959E-01 	 horizons 19.0
step 4183 	 return [0.00292724 0.00224442 0.00068915 0.00025783 0.00014761], ([0.00154375 0.0013421  0.00096197 0.00026439 0.00044284]) 	 loss 7.890E-01 	 horizons 18.7
step 4373 	 return [0.00186441 0.00406023 0.00560505 0.00666744 0.00324923], ([0.0013592  0.00273578 0.00169798 0.00363082 0.0028397 ]) 	 loss 7.883E-01 	 horizons 19.0
step 4563 	 return [0.00415301 0.00451094 0.00510051 0.00294286 0.00344552], ([0.00385139 0.00106892 0.00333597 0.00241518 0.00324768]) 	 loss 7.950E-01 	 horizons 19.0
step 4753 	 return [0.00245434 0.00502263 0.00537373 0.00657873 0.0040271 ], ([0.00215427 0.00301873 0.00233905 0.00359145 0.0027408 ]) 	 loss 7.705E-01 	 horizons 19.0
step 4943 	 return [0.00211597 0.00527893 0.00503904 0.00584434 0.00340366], ([0.00200774 0.00350127 0.00200759 0.00310221 0.00248385]) 	 loss 7.497E-01 	 horizons 19.0
step 5133 	 return [4.7060996e-03 5.0458149e-03 2.5292691e-03 2.7933705e-05 2.6710698e-04], ([1.0940747e-03 1.2114792e-03 9.8992919e-04 7.8504389e-05 1.3355806e-04]) 	 loss 7.881E-01 	 horizons 19.0
step 5323 	 return [0.00244436 0.003743   0.00499218 0.00611227 0.0043859 ], ([0.00207349 0.00322516 0.00198946 0.00189531 0.00255182]) 	 loss 7.172E-01 	 horizons 19.0
step 5513 	 return [0.00117649 0.00568186 0.00544108 0.00603699 0.00410302], ([0.0015154  0.00233888 0.00271119 0.00373116 0.00246897]) 	 loss 7.316E-01 	 horizons 19.0
step 5703 	 return [0.00188802 0.00367687 0.00368626 0.00338056 0.00150046], ([0.00196468 0.00147266 0.00214808 0.00372126 0.00141115]) 	 loss 7.079E-01 	 horizons 19.0
step 5893 	 return [0.00239913 0.00453686 0.003495   0.00286268 0.00124875], ([0.00275416 0.00176284 0.00275717 0.00509993 0.00165251]) 	 loss 6.737E-01 	 horizons 19.0
step 6083 	 return [0.00186063 0.00548584 0.00693193 0.00610998 0.00273996], ([0.00263712 0.00279717 0.00174763 0.00393884 0.00215948]) 	 loss 6.792E-01 	 horizons 19.0
step 6273 	 return [0.00253573 0.003536   0.0057717  0.00603332 0.00341286], ([0.00221579 0.00106006 0.00291884 0.00272874 0.0025723 ]) 	 loss 6.616E-01 	 horizons 19.0
step 6463 	 return [0.00052662 0.00474158 0.00720914 0.0049039  0.00528012], ([0.00102517 0.00242132 0.00346472 0.00200257 0.00204379]) 	 loss 7.169E-01 	 horizons 19.0
step 6653 	 return [0.00243392 0.00359552 0.00798886 0.00645366 0.00507057], ([0.00208673 0.00209538 0.00302554 0.00302931 0.0034828 ]) 	 loss 6.968E-01 	 horizons 19.0
step 6843 	 return [6.5383697e-03 4.3684468e-03 1.5666801e-03 3.4152847e-06 1.3095728e-04], ([1.4574100e-03 8.4704364e-04 1.0692658e-03 6.8437635e-06 1.6044413e-04]) 	 loss 6.575E-01 	 horizons 19.0
step 7033 	 return [0.00096342 0.00355594 0.00794928 0.00723297 0.00433839], ([0.00176518 0.00116016 0.00325974 0.00377893 0.00233019]) 	 loss 6.208E-01 	 horizons 19.0
step 7223 	 return [0.00121814 0.00772839 0.00634689 0.00812042 0.00364363], ([0.00151931 0.00251471 0.00290522 0.00357292 0.00261129]) 	 loss 6.632E-01 	 horizons 19.0
step 7413 	 return [0.00327633 0.00256953 0.00575829 0.00742404 0.00411551], ([0.00119599 0.00131813 0.00247729 0.003573   0.00257871]) 	 loss 6.284E-01 	 horizons 19.0
step 7603 	 return [0.00293066 0.00585524 0.00786574 0.01020863 0.00326895], ([0.00205878 0.00287393 0.00322408 0.00276673 0.00298508]) 	 loss 6.033E-01 	 horizons 19.0
step 7793 	 return [0.00076414 0.00764513 0.00767897 0.00804128 0.00570779], ([0.00126842 0.00216354 0.00376982 0.00217292 0.00177204]) 	 loss 6.157E-01 	 horizons 19.0
step 7983 	 return [0.00843996 0.00418412 0.00268356 0.0004438  0.00037625], ([0.00213795 0.00101285 0.0023782  0.0013314  0.00112875]) 	 loss 6.048E-01 	 horizons 19.0
step 8173 	 return [0.00063494 0.00774302 0.00765993 0.0082585  0.00516653], ([0.00116652 0.00303781 0.00207146 0.00395692 0.00386872]) 	 loss 6.100E-01 	 horizons 19.0
step 8363 	 return [0.00074886 0.00511091 0.01051544 0.00752542 0.00753566], ([0.00152599 0.00274188 0.00254433 0.00378951 0.00321864]) 	 loss 5.776E-01 	 horizons 19.0
step 8553 	 return [0.00357443 0.00420715 0.00462837 0.00950474 0.00568755], ([0.00184416 0.00174885 0.00179867 0.00167206 0.00240522]) 	 loss 6.040E-01 	 horizons 19.0
step 8743 	 return [0.00377112 0.00323231 0.00642942 0.00790688 0.00484559], ([0.00036476 0.00139778 0.00213255 0.00286597 0.00349122]) 	 loss 5.846E-01 	 horizons 19.0
step 8933 	 return [0.00101981 0.00832975 0.0084564  0.00951282 0.00399266], ([0.00145799 0.00307358 0.00393161 0.0044346  0.00283482]) 	 loss 5.632E-01 	 horizons 19.0
step 9123 	 return [7.1005546e-05 8.4463237e-03 1.1617321e-02 8.8397618e-03 5.7460438e-03], ([0.00021302 0.00178837 0.00283321 0.00302687 0.0029744 ]) 	 loss 5.699E-01 	 horizons 19.0
step 9313 	 return [0.00376705 0.00387052 0.00720103 0.00728965 0.00430893], ([0.00066746 0.00195175 0.00212433 0.00294819 0.00313374]) 	 loss 5.432E-01 	 horizons 19.0
step 9503 	 return [0.00047748 0.00862713 0.01121526 0.00904801 0.00540737], ([0.00127154 0.00226825 0.00214104 0.00380156 0.00234615]) 	 loss 6.093E-01 	 horizons 19.0
