/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run vj6s7kx9
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-vj6s7kx9
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__123__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/vj6s7kx9
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 1958 	 return [0.00130575 0.00406843 0.00503176 0.00394491 0.00389523], ([0.00170358 0.00313424 0.0035156  0.00346767 0.00334784]) 	 loss 1.940E+00 	 horizons 17.8
step 2128 	 return [0.00295774 0.00216514 0.00138312 0.00058079 0.00033146], ([0.00206182 0.00161651 0.00177207 0.00098229 0.00050421]) 	 loss 1.567E+00 	 horizons 17.0
step 2318 	 return [0.00441473 0.00387958 0.00256119 0.00199727 0.00061866], ([0.00228589 0.00185293 0.00165648 0.00320355 0.00178044]) 	 loss 1.152E+00 	 horizons 19.0
step 2508 	 return [0.00299172 0.00503841 0.0045525  0.00519927 0.00234757], ([0.00277325 0.00228486 0.00239282 0.00411354 0.00245715]) 	 loss 1.002E+00 	 horizons 19.0
step 2693 	 return [0.00412241 0.00201695 0.00187768 0.00187472 0.00140682], ([0.00196566 0.00152147 0.0026101  0.00188716 0.00303816]) 	 loss 9.509E-01 	 horizons 18.5
step 2883 	 return [0.00146103 0.00629508 0.00562916 0.00450643 0.00356703], ([0.00180468 0.00358919 0.00316408 0.0030232  0.00231423]) 	 loss 9.286E-01 	 horizons 19.0
step 3073 	 return [0.00369053 0.00576333 0.00425125 0.00573887 0.00369131], ([0.0033298  0.00149268 0.00180967 0.00523644 0.00358328]) 	 loss 8.930E-01 	 horizons 19.0
step 3263 	 return [0.00196749 0.00624938 0.00637025 0.0069268  0.00590056], ([0.00190022 0.00363925 0.00133796 0.0040214  0.00325073]) 	 loss 8.819E-01 	 horizons 19.0
step 3453 	 return [0.00167466 0.00509933 0.00572214 0.0044373  0.00356292], ([0.00221963 0.00300218 0.00209248 0.00300556 0.0022118 ]) 	 loss 8.370E-01 	 horizons 19.0
step 3643 	 return [0.0023075  0.00389236 0.00488952 0.00159314 0.00125469], ([0.00279875 0.00193366 0.00245367 0.00188503 0.00130138]) 	 loss 8.124E-01 	 horizons 19.0
step 3833 	 return [0.00480534 0.00346093 0.00297979 0.00223666 0.00174887], ([0.00231847 0.00159142 0.00248006 0.00303575 0.00236534]) 	 loss 8.210E-01 	 horizons 19.0
step 4023 	 return [0.00260015 0.00569895 0.00438331 0.00298019 0.00244175], ([0.00337347 0.00233876 0.002136   0.00325329 0.00236208]) 	 loss 8.085E-01 	 horizons 19.0
step 4213 	 return [0.00025432 0.00432666 0.00522226 0.00460036 0.00324988], ([0.00043312 0.00222284 0.0020036  0.00313901 0.00167728]) 	 loss 7.790E-01 	 horizons 19.0
step 4403 	 return [0.00279815 0.00627056 0.0046334  0.00405943 0.00428443], ([0.00336589 0.00246988 0.00241297 0.00289217 0.00407375]) 	 loss 7.631E-01 	 horizons 19.0
step 4593 	 return [0.00253952 0.00538095 0.00546842 0.00635571 0.00293303], ([0.00241996 0.00166298 0.00248275 0.00347778 0.00274865]) 	 loss 7.242E-01 	 horizons 19.0
step 4783 	 return [0.00423012 0.00488628 0.004067   0.00531029 0.00293053], ([0.00382289 0.00207321 0.00206842 0.00464722 0.00339116]) 	 loss 7.449E-01 	 horizons 19.0
step 4973 	 return [0.00152794 0.00571914 0.00567016 0.01086332 0.00409118], ([0.00188451 0.00154176 0.00212533 0.00304984 0.00270629]) 	 loss 7.048E-01 	 horizons 19.0
step 5163 	 return [5.4682242e-03 3.9663059e-03 1.8559977e-03 4.6451628e-04 2.5923951e-05], ([1.3621928e-03 1.4535750e-03 1.0946256e-03 6.4186926e-04 7.7771860e-05]) 	 loss 7.088E-01 	 horizons 19.0
