/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yo8kts51
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-yo8kts51
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/yo8kts51
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 1966 	 return [0.00309242 0.00347442 0.00352051 0.0031906  0.00214165], ([0.0024646  0.00233356 0.00413018 0.00368511 0.00284068]) 	 loss 1.951E+00 	 horizons 18.5
step 2155 	 return [0.00320878 0.00329208 0.00296778 0.00460647 0.00122163], ([0.00338803 0.00309767 0.00198676 0.00526858 0.0013333 ]) 	 loss 1.540E+00 	 horizons 18.9
step 2345 	 return [0.00577215 0.00385352 0.00361685 0.00155455 0.00109324], ([0.00418426 0.00139369 0.00186874 0.00228728 0.00250656]) 	 loss 1.085E+00 	 horizons 19.0
step 2535 	 return [0.00348582 0.00396812 0.00310054 0.00333032 0.00208421], ([0.00385955 0.00149282 0.00206236 0.00296851 0.00223518]) 	 loss 1.005E+00 	 horizons 19.0
step 2712 	 return [0.00250528 0.00301409 0.00287947 0.00356727 0.00154581], ([0.0018762  0.00319741 0.00219533 0.00353234 0.00143678]) 	 loss 9.193E-01 	 horizons 17.7
step 2902 	 return [0.00444112 0.00365661 0.00404195 0.00422716 0.00234646], ([0.00425379 0.00115636 0.00248096 0.00402935 0.00295294]) 	 loss 8.735E-01 	 horizons 19.0
step 3092 	 return [0.00520049 0.00524798 0.00482069 0.00260162 0.00144172], ([0.00336477 0.00345923 0.00296173 0.00241658 0.00240386]) 	 loss 8.604E-01 	 horizons 19.0
step 3282 	 return [0.00436022 0.00308467 0.00366449 0.00312003 0.00242735], ([0.00221386 0.00123667 0.00165387 0.00348825 0.00280966]) 	 loss 8.411E-01 	 horizons 19.0
step 3472 	 return [0.00327615 0.00338058 0.00474062 0.00454305 0.00473751], ([0.00311354 0.00220599 0.00144156 0.00384059 0.00381792]) 	 loss 8.219E-01 	 horizons 19.0
step 3662 	 return [0.00142256 0.00461825 0.00631955 0.00755174 0.00558101], ([0.00220018 0.00275915 0.0022291  0.00297468 0.00281636]) 	 loss 8.171E-01 	 horizons 19.0
step 3852 	 return [0.00393507 0.0041733  0.00443981 0.00519318 0.00362845], ([0.00301488 0.00263737 0.00205105 0.00365332 0.00250739]) 	 loss 8.128E-01 	 horizons 19.0
step 4042 	 return [0.0029722  0.00503755 0.00511586 0.0049709  0.00352155], ([0.00276687 0.00301075 0.00176691 0.00185734 0.00251551]) 	 loss 8.445E-01 	 horizons 19.0
step 4232 	 return [0.00244342 0.00514521 0.00556693 0.00657882 0.00563937], ([0.00245354 0.00311272 0.00231218 0.00349297 0.00407912]) 	 loss 8.427E-01 	 horizons 19.0
step 4422 	 return [0.0030757  0.00359336 0.00604036 0.00627872 0.00448807], ([0.00352597 0.0022899  0.00204508 0.00336817 0.00317631]) 	 loss 7.894E-01 	 horizons 19.0
step 4612 	 return [0.00108424 0.00585612 0.00596863 0.00852512 0.00418093], ([0.00181751 0.00265698 0.00316141 0.00306345 0.00292916]) 	 loss 7.832E-01 	 horizons 19.0
step 4802 	 return [0.00131725 0.00570547 0.0044924  0.00967205 0.00614162], ([0.00186619 0.00262709 0.00172213 0.00269389 0.00195949]) 	 loss 7.896E-01 	 horizons 19.0
step 4992 	 return [0.00216629 0.00298782 0.00541748 0.00704115 0.00400724], ([0.00185673 0.00201185 0.0020133  0.00173351 0.00254417]) 	 loss 7.810E-01 	 horizons 19.0
