/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-2j18lrm8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__456__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/2j18lrm8
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 1942 	 return [0.00332367 0.00332904 0.00266351 0.00317512 0.00162355], ([0.00225476 0.00294515 0.00312846 0.00421477 0.00167728]) 	 loss 1.954E+00 	 horizons 18.3
step 2125 	 return [0.00326613 0.00370477 0.00137745 0.00234065 0.00200386], ([0.00326907 0.00256343 0.00121536 0.00257315 0.00201796]) 	 loss 1.603E+00 	 horizons 18.3
step 2308 	 return [0.00284274 0.00468406 0.00349715 0.00407085 0.00160667], ([0.00160234 0.00400811 0.0029533  0.0043823  0.00239517]) 	 loss 1.119E+00 	 horizons 18.3
step 2498 	 return [0.00475283 0.00485176 0.00400541 0.00423192 0.00344756], ([0.00352067 0.00287968 0.00192752 0.00279184 0.00364894]) 	 loss 9.747E-01 	 horizons 19.0
step 2688 	 return [0.00323676 0.00857053 0.0054     0.00548847 0.00463369], ([0.00165295 0.00269241 0.00158548 0.00223117 0.00276647]) 	 loss 9.520E-01 	 horizons 19.0
step 2878 	 return [0.00070892 0.00661204 0.00487661 0.00769069 0.00365302], ([0.0008506  0.00317038 0.00164702 0.00240807 0.00231717]) 	 loss 9.008E-01 	 horizons 19.0
step 3068 	 return [0.0008755  0.00635405 0.00393693 0.00522843 0.00289974], ([0.0010953  0.00250784 0.00117236 0.00236204 0.00234459]) 	 loss 8.766E-01 	 horizons 19.0
step 3258 	 return [0.00411842 0.00546391 0.00436467 0.00503517 0.00242651], ([0.00320429 0.00254794 0.00249191 0.0039364  0.00264623]) 	 loss 8.829E-01 	 horizons 19.0
step 3448 	 return [0.00473407 0.00460589 0.00369525 0.00357103 0.0025546 ], ([0.00248311 0.00326085 0.00293699 0.00371011 0.00268285]) 	 loss 8.474E-01 	 horizons 19.0
step 3638 	 return [0.00121056 0.0042209  0.00541436 0.00211109 0.00274853], ([0.00175309 0.00229878 0.00211274 0.00084509 0.00083675]) 	 loss 8.501E-01 	 horizons 19.0
step 3820 	 return [0.0040272  0.00306283 0.00096781 0.00060121 0.00105461], ([0.00274474 0.00129    0.0013541  0.00095335 0.00147272]) 	 loss 8.412E-01 	 horizons 18.2
