/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-xxyzjvbx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__789__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/xxyzjvbx
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 1991 	 return [0.00381268 0.00576597 0.00466292 0.00630255 0.00260445], ([0.00308172 0.00378647 0.00358945 0.00516154 0.00267107]) 	 loss 1.904E+00 	 horizons 19.0
step 2176 	 return [0.00289466 0.00386254 0.0040938  0.0031972  0.00325815], ([0.00160648 0.00244896 0.00354426 0.00330147 0.00343823]) 	 loss 1.487E+00 	 horizons 18.5
step 2349 	 return [0.00226682 0.00114864 0.00080076 0.00136394 0.00105232], ([0.00128906 0.0013923  0.00071102 0.00210554 0.00164692]) 	 loss 1.112E+00 	 horizons 17.3
step 2539 	 return [0.00238718 0.00643305 0.00593296 0.00760607 0.00310328], ([0.00161539 0.00342141 0.00287278 0.00469876 0.00247263]) 	 loss 9.824E-01 	 horizons 19.0
step 2729 	 return [0.0021875  0.00630928 0.00584443 0.00743926 0.00431607], ([0.00284314 0.00236241 0.00195915 0.00417604 0.0021137 ]) 	 loss 9.355E-01 	 horizons 19.0
step 2919 	 return [0.00109384 0.00640652 0.00470607 0.00653539 0.00269679], ([0.00133875 0.00198652 0.00171859 0.00210393 0.00155718]) 	 loss 8.965E-01 	 horizons 19.0
step 3109 	 return [0.00209003 0.00394851 0.00618205 0.00742486 0.00551338], ([0.00160624 0.00182245 0.00218217 0.0022123  0.00263675]) 	 loss 9.033E-01 	 horizons 19.0
step 3299 	 return [0.00266675 0.00607021 0.00574219 0.00604922 0.00441123], ([0.00214532 0.00321919 0.00209851 0.00484971 0.00215506]) 	 loss 8.737E-01 	 horizons 19.0
step 3489 	 return [0.00444502 0.00268145 0.002103   0.00246662 0.00166152], ([0.0021473  0.00131882 0.00253757 0.00532551 0.00352999]) 	 loss 8.538E-01 	 horizons 19.0
step 3674 	 return [0.00487612 0.00318161 0.00161037 0.00099279 0.00057092], ([0.00322936 0.00172056 0.0018214  0.00137176 0.00112631]) 	 loss 8.494E-01 	 horizons 18.5
step 3864 	 return [0.00340257 0.00362013 0.00313161 0.00114749 0.00146442], ([0.00247012 0.00230948 0.00227548 0.00130722 0.00163045]) 	 loss 8.399E-01 	 horizons 19.0
step 4054 	 return [0.00282698 0.00513734 0.00563915 0.00629805 0.00389391], ([0.00307263 0.00256505 0.00161091 0.00391903 0.00250843]) 	 loss 7.900E-01 	 horizons 19.0
step 4244 	 return [0.00261828 0.00457939 0.00659162 0.00643892 0.0039916 ], ([0.00249163 0.00184157 0.00148105 0.00475072 0.00299789]) 	 loss 8.183E-01 	 horizons 19.0
step 4434 	 return [0.00099513 0.00556789 0.00515565 0.00599448 0.00407847], ([0.0014557  0.00278971 0.00155683 0.00351149 0.0012787 ]) 	 loss 7.966E-01 	 horizons 19.0
step 4624 	 return [0.00218489 0.00525017 0.00845252 0.00593237 0.00565118], ([0.0017967  0.0023517  0.00277167 0.00265163 0.00209421]) 	 loss 7.949E-01 	 horizons 19.0
step 4814 	 return [0.00168911 0.00364106 0.0055728  0.00741524 0.0040309 ], ([0.00179509 0.00178689 0.00218847 0.00302369 0.00100852]) 	 loss 7.870E-01 	 horizons 19.0
step 5004 	 return [0.00295924 0.00504391 0.00667738 0.00751133 0.00448919], ([0.00221812 0.00248629 0.00158481 0.00383135 0.00263729]) 	 loss 8.009E-01 	 horizons 19.0
step 5194 	 return [0.00172847 0.00514538 0.00535236 0.0057665  0.00370909], ([0.00243317 0.00275775 0.00122564 0.00399336 0.002397  ]) 	 loss 7.898E-01 	 horizons 19.0
step 5384 	 return [0.00285242 0.00393046 0.0060435  0.00640209 0.00450009], ([0.00272308 0.00172363 0.00188135 0.0029203  0.00203579]) 	 loss 7.628E-01 	 horizons 19.0
step 5574 	 return [0.00244372 0.00789093 0.00523736 0.00716209 0.00464016], ([0.00207759 0.00384234 0.00189503 0.00356621 0.00108267]) 	 loss 7.843E-01 	 horizons 19.0
step 5764 	 return [0.00107348 0.00400453 0.00655952 0.00650604 0.00433204], ([0.00175714 0.00229159 0.00166115 0.0040137  0.0022352 ]) 	 loss 7.373E-01 	 horizons 19.0
step 5954 	 return [0.00370145 0.00748676 0.00536497 0.00813391 0.00514165], ([0.00234758 0.00129997 0.00162519 0.00259765 0.00253491]) 	 loss 7.965E-01 	 horizons 19.0
step 6144 	 return [0.00276875 0.00593643 0.00717671 0.00924579 0.00505621], ([0.00166688 0.0016724  0.00145575 0.00233546 0.00289986]) 	 loss 7.882E-01 	 horizons 19.0
step 6334 	 return [0.00286713 0.00761312 0.00588239 0.00919638 0.00444653], ([0.00260588 0.00280239 0.00237374 0.00384922 0.00249007]) 	 loss 7.738E-01 	 horizons 19.0
step 6524 	 return [0.0032579  0.00694907 0.00841388 0.00902051 0.00641456], ([0.00186371 0.00267538 0.00294737 0.00229314 0.00218386]) 	 loss 7.716E-01 	 horizons 19.0
step 6714 	 return [0.00298598 0.00532134 0.00755117 0.00995028 0.00394024], ([0.00178964 0.00199625 0.00209085 0.00349747 0.00243483]) 	 loss 7.916E-01 	 horizons 19.0
step 6904 	 return [0.00365806 0.00763283 0.00650591 0.0098761  0.00402545], ([0.00143914 0.0023877  0.00250298 0.00217038 0.00251277]) 	 loss 7.699E-01 	 horizons 19.0
step 7094 	 return [0.00346189 0.00665263 0.0054397  0.00637645 0.00382405], ([0.00287904 0.00277211 0.00199404 0.00380968 0.00152583]) 	 loss 7.670E-01 	 horizons 19.0
step 7284 	 return [0.00249878 0.00636053 0.00754254 0.01025645 0.00569863], ([0.00211683 0.00276996 0.00188255 0.00364296 0.00197247]) 	 loss 7.668E-01 	 horizons 19.0
step 7474 	 return [0.00419461 0.00654782 0.00725928 0.00841737 0.00612694], ([0.00251528 0.00353355 0.00237411 0.00337482 0.00365266]) 	 loss 7.448E-01 	 horizons 19.0
step 7664 	 return [0.00263516 0.00803068 0.00754803 0.01219034 0.00514329], ([0.00122179 0.00312148 0.00296787 0.00293329 0.00184881]) 	 loss 7.365E-01 	 horizons 19.0
step 7854 	 return [0.00239847 0.0089282  0.00701557 0.00996995 0.00342389], ([0.00140662 0.00357357 0.00163274 0.0031383  0.00185877]) 	 loss 7.249E-01 	 horizons 19.0
step 8044 	 return [0.00352304 0.00348317 0.00680903 0.00579175 0.00425857], ([0.00190879 0.00141989 0.00193816 0.00334315 0.00217698]) 	 loss 7.451E-01 	 horizons 19.0
step 8234 	 return [0.00431614 0.00432934 0.00697381 0.00559357 0.00411331], ([0.00264941 0.00233232 0.00232803 0.00359021 0.00206587]) 	 loss 7.212E-01 	 horizons 19.0
step 8424 	 return [0.00342132 0.00671775 0.00605888 0.0093833  0.00364576], ([0.00225249 0.00164286 0.00202561 0.00351843 0.00183825]) 	 loss 6.800E-01 	 horizons 19.0
step 8614 	 return [0.00327877 0.00875109 0.00760713 0.01053274 0.00433443], ([0.00138468 0.00329809 0.00187721 0.00328789 0.00265623]) 	 loss 6.801E-01 	 horizons 19.0
step 8804 	 return [0.00292824 0.00804356 0.0066972  0.01102849 0.00527749], ([0.00134412 0.00217018 0.00162775 0.00264078 0.00221643]) 	 loss 6.821E-01 	 horizons 19.0
step 8994 	 return [0.00458811 0.00771005 0.0052627  0.00868644 0.00531189], ([0.00211798 0.00178538 0.00111151 0.00387821 0.00253295]) 	 loss 6.553E-01 	 horizons 19.0
step 9184 	 return [0.0051362  0.00904119 0.00517914 0.00878695 0.00541006], ([0.00229508 0.00154471 0.00207007 0.00331813 0.00157239]) 	 loss 6.217E-01 	 horizons 19.0
step 9374 	 return [0.00198417 0.01052706 0.0075596  0.01134321 0.00460275], ([0.00176405 0.00221314 0.00206514 0.0019311  0.00202156]) 	 loss 6.177E-01 	 horizons 19.0
step 9564 	 return [0.00323317 0.00839639 0.0062832  0.01016422 0.00599224], ([0.00352549 0.00290356 0.00145012 0.00304547 0.00351377]) 	 loss 6.445E-01 	 horizons 19.0
