/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 88ju2vf8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-88ju2vf8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-l0__1024__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/88ju2vf8
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-l0', wandb_entity=None)
step 990 	 return [0.00040821 0.0009604  0.00041857], ([0.00053021 0.00157212 0.00073951]) 	 loss 2.037E+00 	 horizons 9.0
step 1080 	 return [0.00111455 0.00116466 0.00094285], ([0.000912   0.00102953 0.00129718]) 	 loss 1.878E+00 	 horizons 9.0
step 1170 	 return [0.00044805 0.0021628  0.00153216], ([0.00059542 0.00192296 0.00188012]) 	 loss 1.444E+00 	 horizons 9.0
step 1260 	 return [0.0003625  0.00204779 0.0016193 ], ([0.00033637 0.00126532 0.00073593]) 	 loss 1.225E+00 	 horizons 9.0
step 1350 	 return [0.00051264 0.00124906 0.00191111], ([0.00065303 0.00092614 0.00179548]) 	 loss 1.167E+00 	 horizons 9.0
step 1440 	 return [0.00088585 0.00129784 0.00094069], ([0.00100087 0.00095768 0.00095947]) 	 loss 1.136E+00 	 horizons 9.0
step 1530 	 return [0.00031314 0.00274975 0.00192307], ([0.00046255 0.00139182 0.00155837]) 	 loss 1.114E+00 	 horizons 9.0
step 1620 	 return [0.0010875  0.00285471 0.00097003], ([0.00093503 0.00125795 0.00155433]) 	 loss 1.049E+00 	 horizons 9.0
step 1710 	 return [0.00052486 0.00299883 0.00101344], ([0.00051233 0.00099015 0.00181594]) 	 loss 1.026E+00 	 horizons 9.0
step 1800 	 return [0.00011645 0.00386216 0.00241559], ([0.00025537 0.00179098 0.00228671]) 	 loss 1.002E+00 	 horizons 9.0
step 1890 	 return [0.00064814 0.00330348 0.00102277], ([0.00063482 0.00128547 0.00175271]) 	 loss 1.006E+00 	 horizons 9.0
step 1980 	 return [9.0449430e-05 3.0484560e-03 3.7055747e-03], ([0.00027135 0.00155993 0.00196411]) 	 loss 9.545E-01 	 horizons 9.0
step 2070 	 return [0.00033876 0.00346692 0.00128932], ([0.00050598 0.00195944 0.00145849]) 	 loss 9.832E-01 	 horizons 9.0
step 2160 	 return [0.00101473 0.00265791 0.0004372 ], ([0.00041692 0.0007717  0.00071134]) 	 loss 9.384E-01 	 horizons 9.0
step 2250 	 return [0.         0.00220702 0.00237758], ([0.         0.00112602 0.00144215]) 	 loss 9.261E-01 	 horizons 9.0
step 2340 	 return [0.00186268 0.00156246 0.00060014], ([0.00124474 0.00086813 0.00070262]) 	 loss 9.230E-01 	 horizons 9.0
step 2430 	 return [0.00135898 0.00233065 0.00063917], ([0.00062147 0.00110986 0.00104328]) 	 loss 8.591E-01 	 horizons 9.0
step 2520 	 return [0.         0.00257581 0.00431168], ([0.         0.00082941 0.0014234 ]) 	 loss 8.471E-01 	 horizons 9.0
step 2610 	 return [2.6535399e-05 1.3162054e-03 2.5269247e-03], ([7.9606194e-05 5.5376982e-04 7.5362279e-04]) 	 loss 8.190E-01 	 horizons 9.0
step 2700 	 return [0.         0.00371796 0.00530272], ([0.         0.00076038 0.00116565]) 	 loss 7.933E-01 	 horizons 9.0
step 2790 	 return [0.         0.00339199 0.00445673], ([0.         0.00106059 0.00116353]) 	 loss 7.982E-01 	 horizons 9.0
step 2880 	 return [0.         0.00454193 0.00397475], ([0.         0.00098522 0.00133172]) 	 loss 7.621E-01 	 horizons 9.0
step 2970 	 return [0.00037171 0.00199877 0.00298735], ([0.00029685 0.00046934 0.00162334]) 	 loss 7.327E-01 	 horizons 9.0
step 3060 	 return [0.00108992 0.00307886 0.00032104], ([0.00084422 0.000735   0.00049612]) 	 loss 7.457E-01 	 horizons 9.0
step 3150 	 return [0.0011464  0.00122478 0.00086824], ([0.00091548 0.00033736 0.00088947]) 	 loss 7.167E-01 	 horizons 9.0
step 3240 	 return [0.00207865 0.00122902 0.00037769], ([0.0004597  0.00060408 0.00013083]) 	 loss 7.069E-01 	 horizons 9.0
step 3330 	 return [0.00253228 0.00147555 0.00046504], ([0.00074262 0.00044196 0.00030276]) 	 loss 7.007E-01 	 horizons 9.0
step 3420 	 return [0.00108117 0.00238282 0.00034873], ([0.00058853 0.00041256 0.00042801]) 	 loss 6.832E-01 	 horizons 9.0
step 3510 	 return [0.         0.00453515 0.00503604], ([0.         0.00069659 0.00103702]) 	 loss 6.731E-01 	 horizons 9.0
step 3600 	 return [0.         0.0039577  0.00490454], ([0.         0.00084148 0.00107477]) 	 loss 6.063E-01 	 horizons 9.0
step 3690 	 return [0.00025459 0.00422357 0.00120418], ([0.00043952 0.00073551 0.00151768]) 	 loss 5.927E-01 	 horizons 9.0
step 3780 	 return [0.         0.00401447 0.00560213], ([0.         0.00086286 0.00019939]) 	 loss 5.637E-01 	 horizons 9.0
step 3870 	 return [0.00172078 0.00110982 0.00055596], ([0.0008376  0.00063204 0.00051765]) 	 loss 5.683E-01 	 horizons 9.0
step 3960 	 return [0.00125602 0.00243928 0.00016786], ([0.00070844 0.00052509 0.00033637]) 	 loss 5.633E-01 	 horizons 9.0
step 4050 	 return [0.00252014 0.00121477 0.00051172], ([0.00052953 0.00044498 0.00024799]) 	 loss 5.187E-01 	 horizons 9.0
step 4140 	 return [0.0018812  0.00255397 0.00031658], ([0.0009108  0.00073593 0.0003498 ]) 	 loss 5.261E-01 	 horizons 9.0
