/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run qlbtfkg6
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-qlbtfkg6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-l0__456__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/qlbtfkg6
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-l0', wandb_entity=None)
step 990 	 return [0.00067707 0.00191938 0.00203037], ([0.00093161 0.00148764 0.00219279]) 	 loss 2.027E+00 	 horizons 9.0
step 1080 	 return [0.00092214 0.00189913 0.00141876], ([0.00077963 0.00188868 0.00173787]) 	 loss 1.883E+00 	 horizons 9.0
step 1170 	 return [0.0008889  0.00311013 0.00099186], ([0.00113226 0.00210952 0.00169818]) 	 loss 1.439E+00 	 horizons 9.0
step 1260 	 return [0.00042099 0.00206862 0.00271111], ([0.00048402 0.00170708 0.00203044]) 	 loss 1.210E+00 	 horizons 9.0
step 1350 	 return [0.0003625  0.00193546 0.00252182], ([0.00059785 0.00158711 0.00220503]) 	 loss 1.162E+00 	 horizons 9.0
step 1440 	 return [0.0015366  0.00240892 0.00134568], ([0.001104   0.00119686 0.00174456]) 	 loss 1.115E+00 	 horizons 9.0
step 1530 	 return [0.00132367 0.00140791 0.00062873], ([0.00077771 0.00125361 0.00050522]) 	 loss 1.068E+00 	 horizons 9.0
step 1620 	 return [0.000848   0.00295605 0.00183456], ([0.00078925 0.00141713 0.00219306]) 	 loss 1.022E+00 	 horizons 9.0
step 1710 	 return [0.00140976 0.0027909  0.00148781], ([0.00117531 0.00136718 0.00190206]) 	 loss 1.025E+00 	 horizons 9.0
step 1800 	 return [0.00137966 0.00331804 0.00062192], ([0.00084885 0.00146689 0.00175147]) 	 loss 9.765E-01 	 horizons 9.0
step 1890 	 return [0.00185177 0.00137429 0.00040336], ([0.00039226 0.00083016 0.00038264]) 	 loss 9.476E-01 	 horizons 9.0
step 1980 	 return [0.00044243 0.00352911 0.00220975], ([0.00077808 0.00139772 0.002733  ]) 	 loss 9.557E-01 	 horizons 9.0
step 2070 	 return [0.00171953 0.00135558 0.00060661], ([0.00109711 0.00076883 0.00106237]) 	 loss 9.664E-01 	 horizons 9.0
step 2160 	 return [0.00026945 0.00546272 0.00091534], ([0.00060145 0.00151378 0.00191468]) 	 loss 9.521E-01 	 horizons 9.0
step 2250 	 return [1.6541451e-03 3.7130478e-03 9.2271330e-05], ([0.00092703 0.00088059 0.00027681]) 	 loss 8.772E-01 	 horizons 9.0
step 2340 	 return [0.         0.00446164 0.0034478 ], ([0.         0.00136948 0.0017719 ]) 	 loss 8.683E-01 	 horizons 9.0
