/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 7to6sdg8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-7to6sdg8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-l0__789__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/7to6sdg8
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-l0', wandb_entity=None)
step 990 	 return [0.00105965 0.00202078 0.00115294], ([0.00099142 0.00168362 0.00198462]) 	 loss 2.023E+00 	 horizons 9.0
step 1080 	 return [0.00089648 0.00090285 0.00064087], ([0.00067592 0.00093684 0.00121203]) 	 loss 1.793E+00 	 horizons 9.0
step 1170 	 return [0.00134001 0.00334245 0.00102713], ([0.00135728 0.00209075 0.00085212]) 	 loss 1.371E+00 	 horizons 9.0
step 1260 	 return [0.00086637 0.00174203 0.00083461], ([0.00107743 0.00136177 0.00122676]) 	 loss 1.221E+00 	 horizons 9.0
step 1350 	 return [0.00014285 0.00268714 0.0029198 ], ([0.00042856 0.00133072 0.00179112]) 	 loss 1.133E+00 	 horizons 9.0
step 1440 	 return [0.00012346 0.00270484 0.00261675], ([0.00024726 0.00227216 0.00135873]) 	 loss 1.100E+00 	 horizons 9.0
step 1530 	 return [0.         0.0048148  0.00275302], ([0.         0.00160037 0.00115775]) 	 loss 1.084E+00 	 horizons 9.0
step 1620 	 return [0.00022742 0.00493456 0.00278879], ([0.00068226 0.0019334  0.00181907]) 	 loss 1.030E+00 	 horizons 9.0
step 1710 	 return [0.         0.0052667  0.00356325], ([0.         0.00081023 0.00097338]) 	 loss 1.027E+00 	 horizons 9.0
step 1800 	 return [0.00087072 0.00266831 0.0017852 ], ([0.0010719  0.00105079 0.00143812]) 	 loss 9.260E-01 	 horizons 9.0
step 1890 	 return [0.00058323 0.00210533 0.0019427 ], ([0.0007654  0.00105729 0.00180508]) 	 loss 9.597E-01 	 horizons 9.0
step 1980 	 return [0.         0.00584778 0.00365159], ([0.         0.00109651 0.00087036]) 	 loss 9.321E-01 	 horizons 9.0
step 2070 	 return [0.         0.00576938 0.00324087], ([0.         0.00088724 0.00116165]) 	 loss 8.601E-01 	 horizons 9.0
step 2160 	 return [0.00017473 0.00199371 0.00218098], ([0.00044283 0.00081579 0.00107907]) 	 loss 8.423E-01 	 horizons 9.0
step 2250 	 return [0.         0.00596649 0.00364137], ([0.         0.00048452 0.0006329 ]) 	 loss 8.309E-01 	 horizons 9.0
step 2340 	 return [0.         0.00450457 0.00320269], ([0.         0.0014677  0.00068985]) 	 loss 8.097E-01 	 horizons 9.0
step 2430 	 return [0.         0.00531687 0.00269642], ([0.         0.00159277 0.00122882]) 	 loss 7.719E-01 	 horizons 9.0
