/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run vjqzybb8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_065815-vjqzybb8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-spatial__42__1781499494
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/vjqzybb8
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-spatial', wandb_entity=None)
step 990 	 return [0.0008375  0.00109953 0.00106408], ([0.0008509  0.00105784 0.00180995]) 	 loss 2.017E+00 	 horizons 9.0
step 1080 	 return [0.00129432 0.00114122 0.00039953], ([0.00049741 0.00100106 0.00035657]) 	 loss 1.848E+00 	 horizons 9.0
step 1170 	 return [0.0008673  0.00073501 0.00076108], ([0.00092472 0.00093931 0.00195629]) 	 loss 1.401E+00 	 horizons 9.0
step 1260 	 return [0.00052211 0.00331775 0.00120828], ([0.00084543 0.00210532 0.00145658]) 	 loss 1.228E+00 	 horizons 9.0
step 1350 	 return [0.00044744 0.00192858 0.0015035 ], ([0.00072005 0.0018531  0.00163005]) 	 loss 1.171E+00 	 horizons 9.0
step 1440 	 return [0.00066827 0.00313648 0.0007562 ], ([0.00104617 0.00244649 0.00128341]) 	 loss 1.118E+00 	 horizons 9.0
step 1530 	 return [0.0001769  0.00377653 0.00241825], ([0.0005307  0.00188612 0.00144553]) 	 loss 1.094E+00 	 horizons 9.0
step 1620 	 return [0.00011504 0.00324993 0.00406927], ([0.00034513 0.0011771  0.00154402]) 	 loss 1.055E+00 	 horizons 9.0
step 1710 	 return [0.00086367 0.00053574 0.0003749 ], ([0.00045498 0.00030147 0.00033743]) 	 loss 1.005E+00 	 horizons 9.0
step 1800 	 return [0.00033754 0.00362621 0.00200946], ([0.00057118 0.00136238 0.00218107]) 	 loss 1.007E+00 	 horizons 9.0
step 1890 	 return [0.00057208 0.0013154  0.00173847], ([0.00057697 0.00079158 0.00177721]) 	 loss 9.905E-01 	 horizons 9.0
step 1980 	 return [0.         0.0043463  0.00387497], ([0.         0.00158578 0.00148039]) 	 loss 9.916E-01 	 horizons 9.0
step 2070 	 return [0.00171942 0.00197306 0.00089172], ([0.00107978 0.00093069 0.00170521]) 	 loss 9.317E-01 	 horizons 9.0
step 2160 	 return [0.00108318 0.00248173 0.00063257], ([0.00086597 0.00111074 0.00116682]) 	 loss 9.566E-01 	 horizons 9.0
step 2250 	 return [0.00087101 0.00313314 0.        ], ([0.00058426 0.00108542 0.        ]) 	 loss 9.399E-01 	 horizons 9.0
step 2340 	 return [0.00027093 0.00210334 0.00282153], ([0.00041697 0.00099692 0.00106809]) 	 loss 8.887E-01 	 horizons 9.0
step 2430 	 return [0.00065478 0.0021286  0.0012683 ], ([0.00046189 0.00109986 0.00201977]) 	 loss 8.873E-01 	 horizons 9.0
step 2520 	 return [0.0014518  0.0024201  0.00023871], ([0.00076105 0.00094039 0.00062538]) 	 loss 8.788E-01 	 horizons 9.0
step 2610 	 return [0.         0.00330292 0.00310701], ([0.         0.00136112 0.00190132]) 	 loss 8.571E-01 	 horizons 9.0
step 2700 	 return [0.         0.00526824 0.00283704], ([0.         0.00031706 0.00087323]) 	 loss 8.473E-01 	 horizons 9.0
step 2790 	 return [0.         0.0052724  0.00276196], ([0.         0.00029084 0.00068654]) 	 loss 7.947E-01 	 horizons 9.0
step 2880 	 return [2.0216284e-03 1.7776822e-03 4.0561717e-05], ([0.00091767 0.00069698 0.00012169]) 	 loss 7.850E-01 	 horizons 9.0
step 2970 	 return [0.00110512 0.00202929 0.0009845 ], ([0.00080405 0.0007759  0.00123217]) 	 loss 7.300E-01 	 horizons 9.0
step 3060 	 return [0.         0.0036595  0.00420539], ([0.         0.00108211 0.00099874]) 	 loss 7.404E-01 	 horizons 9.0
step 3150 	 return [0.00084308 0.0023009  0.00169236], ([0.0006222  0.00107781 0.00128792]) 	 loss 7.348E-01 	 horizons 9.0
step 3240 	 return [0.00168483 0.00236792 0.        ], ([0.00098878 0.00079508 0.        ]) 	 loss 7.380E-01 	 horizons 9.0
step 3330 	 return [0.00027567 0.00279324 0.00237127], ([0.00032357 0.00054361 0.00193809]) 	 loss 7.110E-01 	 horizons 9.0
step 3420 	 return [0.         0.00489591 0.00353749], ([0.         0.0008622  0.00099913]) 	 loss 6.772E-01 	 horizons 9.0
step 3510 	 return [0.         0.00518671 0.00376822], ([0.         0.00067575 0.00087601]) 	 loss 6.531E-01 	 horizons 9.0
step 3600 	 return [0.         0.00449541 0.0042054 ], ([0.         0.00099808 0.00105319]) 	 loss 6.403E-01 	 horizons 9.0
step 3690 	 return [0.00077783 0.00343265 0.00032704], ([0.00039587 0.00053269 0.00098113]) 	 loss 6.363E-01 	 horizons 9.0
step 3780 	 return [0.00208058 0.00159092 0.00021166], ([0.00089294 0.00076239 0.0003643 ]) 	 loss 6.343E-01 	 horizons 9.0
step 3870 	 return [0.00090163 0.00329691 0.00011451], ([0.00065842 0.00092472 0.00034354]) 	 loss 6.317E-01 	 horizons 9.0
step 3960 	 return [0.00054597 0.00189087 0.00206675], ([0.00052497 0.00021955 0.00103619]) 	 loss 6.145E-01 	 horizons 9.0
step 4050 	 return [0.00160708 0.00184233 0.00054289], ([0.00076913 0.00072812 0.00057425]) 	 loss 6.135E-01 	 horizons 9.0
step 4140 	 return [0.00170855 0.00306981 0.        ], ([0.00035889 0.00070123 0.        ]) 	 loss 6.041E-01 	 horizons 9.0
step 4230 	 return [0.         0.00399729 0.00495789], ([0.         0.00078723 0.00071814]) 	 loss 6.273E-01 	 horizons 9.0
step 4320 	 return [0.00112765 0.00307417 0.        ], ([0.00054144 0.00064596 0.        ]) 	 loss 6.002E-01 	 horizons 9.0
step 4410 	 return [0.00119857 0.00221891 0.00115252], ([0.00015564 0.00047777 0.00082739]) 	 loss 6.172E-01 	 horizons 9.0
step 4500 	 return [0.         0.00412398 0.00483932], ([0.         0.00068097 0.0008643 ]) 	 loss 6.003E-01 	 horizons 9.0
step 4590 	 return [0.00046316 0.00355511 0.00176892], ([0.00050318 0.00049166 0.00178526]) 	 loss 5.944E-01 	 horizons 9.0
step 4680 	 return [0.00022049 0.00375783 0.00412518], ([0.00044116 0.00077815 0.00101079]) 	 loss 6.083E-01 	 horizons 9.0
step 4770 	 return [0.         0.00420429 0.00508491], ([0.         0.00080326 0.00073857]) 	 loss 6.192E-01 	 horizons 9.0
step 4860 	 return [0.00138803 0.00241331 0.00152912], ([0.00035636 0.00045079 0.00115705]) 	 loss 5.756E-01 	 horizons 9.0
step 4950 	 return [0.         0.00350739 0.00456754], ([0.         0.00091772 0.00107103]) 	 loss 5.305E-01 	 horizons 9.0
step 5040 	 return [0.         0.00460606 0.00515442], ([0.         0.00067438 0.0003271 ]) 	 loss 5.727E-01 	 horizons 9.0
step 5130 	 return [0.         0.00417864 0.00477142], ([0.         0.00050059 0.000919  ]) 	 loss 5.402E-01 	 horizons 9.0
step 5220 	 return [0.00155929 0.00325671 0.00042737], ([0.00059128 0.00048024 0.00100727]) 	 loss 4.875E-01 	 horizons 9.0
step 5310 	 return [0.00165832 0.0033243  0.        ], ([0.0007084  0.00062341 0.        ]) 	 loss 4.981E-01 	 horizons 9.0
step 5400 	 return [0.         0.00416273 0.00548293], ([0.         0.00054831 0.00033824]) 	 loss 4.736E-01 	 horizons 9.0
step 5490 	 return [0.00245664 0.00178082 0.00036915], ([0.00084092 0.0006038  0.00044058]) 	 loss 4.501E-01 	 horizons 9.0
step 5580 	 return [2.0806738e-03 2.6466944e-03 9.5396383e-05], ([0.00061089 0.00044252 0.00028619]) 	 loss 4.738E-01 	 horizons 9.0
step 5670 	 return [0.00137808 0.00178744 0.00121262], ([0.00035917 0.00038105 0.00077148]) 	 loss 4.544E-01 	 horizons 9.0
step 5760 	 return [0.00203206 0.00266197 0.        ], ([0.00048454 0.00028326 0.        ]) 	 loss 4.033E-01 	 horizons 9.0
