/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run m709xvbo
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_065829-m709xvbo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-spatial__789__1781499509
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/m709xvbo
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-spatial', wandb_entity=None)
step 990 	 return [0.00120262 0.00174343 0.0012102 ], ([0.00122562 0.00161105 0.00195712]) 	 loss 2.043E+00 	 horizons 9.0
step 1080 	 return [0.00117519 0.00095471 0.00061445], ([0.00106527 0.00089955 0.00139156]) 	 loss 1.866E+00 	 horizons 9.0
step 1170 	 return [0.00136863 0.00164127 0.00022061], ([0.0008586  0.00091182 0.0002694 ]) 	 loss 1.382E+00 	 horizons 9.0
step 1260 	 return [0.00073868 0.00277315 0.00129095], ([0.0006582  0.00227045 0.00211256]) 	 loss 1.210E+00 	 horizons 9.0
step 1350 	 return [1.3984134e-03 2.9566046e-03 9.4122021e-05], ([0.00093052 0.00151895 0.00020917]) 	 loss 1.158E+00 	 horizons 9.0
step 1440 	 return [0.00105286 0.00174978 0.0004302 ], ([0.00081618 0.00138206 0.00075434]) 	 loss 1.095E+00 	 horizons 9.0
step 1530 	 return [0.00053201 0.00132322 0.00275774], ([0.0007346  0.00094745 0.00217844]) 	 loss 1.072E+00 	 horizons 9.0
step 1620 	 return [0.00055911 0.00295165 0.00102419], ([0.00059029 0.00169912 0.00165911]) 	 loss 1.065E+00 	 horizons 9.0
step 1710 	 return [0.00047465 0.00244917 0.00127892], ([0.0004296  0.00136319 0.00156761]) 	 loss 1.056E+00 	 horizons 9.0
step 1800 	 return [0.00064405 0.00371738 0.00068968], ([0.0005484  0.00166833 0.00120184]) 	 loss 1.048E+00 	 horizons 9.0
step 1890 	 return [2.944060e-05 3.360574e-03 3.342975e-03], ([8.8321802e-05 1.6696783e-03 1.8862629e-03]) 	 loss 1.027E+00 	 horizons 9.0
step 1980 	 return [1.8855920e-03 2.3342399e-03 9.1420414e-05], ([0.00085498 0.00071193 0.00020754]) 	 loss 1.008E+00 	 horizons 9.0
step 2070 	 return [2.9440600e-05 4.6039782e-03 2.9144085e-03], ([8.8321802e-05 2.0161115e-03 1.7478310e-03]) 	 loss 9.990E-01 	 horizons 9.0
step 2160 	 return [0.         0.00485409 0.00336651], ([0.         0.00125994 0.00095713]) 	 loss 9.684E-01 	 horizons 9.0
step 2250 	 return [0.00013916 0.00181649 0.00284985], ([0.00041748 0.00103656 0.00198703]) 	 loss 9.298E-01 	 horizons 9.0
step 2340 	 return [0.0014578  0.00226041 0.00069224], ([0.00107421 0.00118106 0.00136755]) 	 loss 9.489E-01 	 horizons 9.0
