/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_065838-weemh9ur
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-spatiotemporal__42__1781499517
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/weemh9ur
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-spatiotemporal', wandb_entity=None)
step 990 	 return [0.0005275  0.00182774 0.00182997], ([0.00081657 0.00149331 0.00193661]) 	 loss 2.026E+00 	 horizons 9.0
step 1080 	 return [0.00031057 0.00192634 0.00233003], ([0.00042725 0.001492   0.00195806]) 	 loss 1.829E+00 	 horizons 9.0
step 1170 	 return [0.0002372  0.001523   0.00232877], ([0.00037485 0.00131135 0.00233707]) 	 loss 1.439E+00 	 horizons 9.0
step 1260 	 return [0.00061287 0.00214414 0.00175477], ([0.00087785 0.00181985 0.00185533]) 	 loss 1.210E+00 	 horizons 9.0
step 1350 	 return [0.00018736 0.00334861 0.00274274], ([0.00040296 0.00154985 0.00148528]) 	 loss 1.133E+00 	 horizons 9.0
step 1440 	 return [0.00026785 0.00299614 0.00185853], ([0.00037653 0.00127611 0.00193683]) 	 loss 1.118E+00 	 horizons 9.0
step 1530 	 return [0.         0.00271193 0.00347545], ([0.         0.00103416 0.0009304 ]) 	 loss 1.083E+00 	 horizons 9.0
step 1620 	 return [0.         0.00279904 0.00405522], ([0.         0.00098422 0.00068364]) 	 loss 1.035E+00 	 horizons 9.0
step 1710 	 return [0.00012822 0.00296883 0.00302595], ([0.00025798 0.00124691 0.00211306]) 	 loss 1.023E+00 	 horizons 9.0
step 1800 	 return [0.00103589 0.00279719 0.00208774], ([0.00136623 0.00122847 0.0020354 ]) 	 loss 9.995E-01 	 horizons 9.0
step 1890 	 return [0.         0.00215487 0.00391582], ([0.         0.00074666 0.0010957 ]) 	 loss 9.701E-01 	 horizons 9.0
step 1980 	 return [0.         0.00344035 0.00454445], ([0.         0.00106173 0.00106802]) 	 loss 9.651E-01 	 horizons 9.0
step 2070 	 return [0.00161716 0.00270543 0.00133693], ([0.00148589 0.00111668 0.00209615]) 	 loss 9.397E-01 	 horizons 9.0
step 2160 	 return [0.00069855 0.00281769 0.00067685], ([0.0007538  0.00130502 0.00124823]) 	 loss 9.234E-01 	 horizons 9.0
step 2250 	 return [0.         0.00270392 0.00515917], ([0.         0.00108572 0.00079858]) 	 loss 8.943E-01 	 horizons 9.0
step 2340 	 return [0.         0.00396043 0.00390473], ([0.         0.00096626 0.00093111]) 	 loss 8.718E-01 	 horizons 9.0
step 2430 	 return [0.         0.00450385 0.00441753], ([0.         0.00088541 0.00045432]) 	 loss 8.854E-01 	 horizons 9.0
