/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_065848-g4tyhh49
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-spatiotemporal__456__1781499527
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/g4tyhh49
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-spatiotemporal', wandb_entity=None)
step 990 	 return [0.00045284 0.00184471 0.00204097], ([0.00089036 0.00123517 0.00186892]) 	 loss 2.024E+00 	 horizons 9.0
step 1080 	 return [0.00105813 0.00132821 0.00125958], ([0.00094915 0.00125613 0.00171905]) 	 loss 1.835E+00 	 horizons 9.0
step 1170 	 return [0.00060133 0.00054068 0.00024434], ([0.00076157 0.0004672  0.00033765]) 	 loss 1.402E+00 	 horizons 9.0
step 1260 	 return [0.00145101 0.00168579 0.0015864 ], ([0.00139734 0.00106915 0.00162733]) 	 loss 1.251E+00 	 horizons 9.0
step 1350 	 return [0.00114388 0.00160071 0.00132268], ([0.00140186 0.00113739 0.00149747]) 	 loss 1.163E+00 	 horizons 9.0
step 1440 	 return [0.00155624 0.00236395 0.00117921], ([0.0014278  0.00110757 0.00120321]) 	 loss 1.136E+00 	 horizons 9.0
step 1530 	 return [0.         0.00284103 0.00341568], ([0.         0.00160095 0.00139694]) 	 loss 1.116E+00 	 horizons 9.0
step 1620 	 return [0.         0.0040046  0.00398399], ([0.         0.00148281 0.00124218]) 	 loss 1.083E+00 	 horizons 9.0
step 1710 	 return [0.00083794 0.00300407 0.00271476], ([0.00143187 0.00147191 0.0021671 ]) 	 loss 1.065E+00 	 horizons 9.0
step 1800 	 return [0.00093536 0.00311781 0.00247548], ([0.00148482 0.00208383 0.00190292]) 	 loss 1.002E+00 	 horizons 9.0
step 1890 	 return [0.00078848 0.00418721 0.00137151], ([0.00082124 0.00185183 0.00157865]) 	 loss 9.917E-01 	 horizons 9.0
step 1980 	 return [0.00177951 0.00269662 0.00067534], ([0.00091563 0.0009815  0.00105288]) 	 loss 9.749E-01 	 horizons 9.0
step 2070 	 return [0.         0.00444698 0.00390431], ([0.         0.0010783  0.00102034]) 	 loss 9.496E-01 	 horizons 9.0
step 2160 	 return [0.00181633 0.00255089 0.00052295], ([0.00112245 0.00111095 0.00071946]) 	 loss 9.055E-01 	 horizons 9.0
step 2250 	 return [0.00062327 0.00502437 0.00144723], ([0.00063398 0.00128684 0.00195208]) 	 loss 8.791E-01 	 horizons 9.0
step 2340 	 return [0.00175109 0.00327154 0.00080867], ([0.00089063 0.00093449 0.00183024]) 	 loss 8.451E-01 	 horizons 9.0
step 2430 	 return [0.00098781 0.00528486 0.00154032], ([0.00115485 0.00164089 0.00228732]) 	 loss 8.537E-01 	 horizons 9.0
step 2520 	 return [0.0002416  0.00567603 0.00155974], ([0.00038249 0.00084854 0.00168707]) 	 loss 8.315E-01 	 horizons 9.0
step 2610 	 return [0.00233597 0.00183101 0.00043373], ([0.00094416 0.00083054 0.00046724]) 	 loss 8.201E-01 	 horizons 9.0
step 2700 	 return [0.         0.00461437 0.00365418], ([0.         0.00110748 0.00089571]) 	 loss 8.219E-01 	 horizons 9.0
step 2790 	 return [0.0011183  0.0048009  0.00019016], ([0.00116308 0.00138424 0.00038058]) 	 loss 7.581E-01 	 horizons 9.0
step 2880 	 return [0.00309087 0.00161094 0.00081324], ([0.000777   0.00046648 0.00044393]) 	 loss 7.718E-01 	 horizons 9.0
step 2970 	 return [0.         0.00426364 0.00524948], ([0.         0.00077101 0.00122564]) 	 loss 7.262E-01 	 horizons 9.0
step 3060 	 return [0.00151031 0.00500763 0.00053009], ([0.00127013 0.00118371 0.00131095]) 	 loss 7.145E-01 	 horizons 9.0
step 3150 	 return [0.00175084 0.00439465 0.0002844 ], ([0.00102603 0.00081233 0.00043451]) 	 loss 6.760E-01 	 horizons 9.0
step 3240 	 return [0.00213848 0.00183686 0.0008928 ], ([0.00095984 0.00065407 0.00048418]) 	 loss 6.844E-01 	 horizons 9.0
step 3330 	 return [0.00258239 0.00214331 0.00085776], ([0.00070905 0.00072815 0.00036811]) 	 loss 6.490E-01 	 horizons 9.0
step 3420 	 return [0.00281465 0.00298618 0.00061795], ([0.00079771 0.00086854 0.00040969]) 	 loss 6.865E-01 	 horizons 9.0
step 3510 	 return [0.0029386  0.00295519 0.00072496], ([0.00082885 0.00057824 0.00039311]) 	 loss 6.557E-01 	 horizons 9.0
step 3600 	 return [0.00251446 0.00341551 0.00065766], ([0.00104106 0.0008333  0.0004344 ]) 	 loss 6.623E-01 	 horizons 9.0
step 3690 	 return [0.00310139 0.00275546 0.00078187], ([0.00083947 0.00041712 0.00033377]) 	 loss 6.251E-01 	 horizons 9.0
step 3780 	 return [0.00163262 0.00469905 0.00019801], ([0.00108734 0.00084809 0.00039602]) 	 loss 6.375E-01 	 horizons 9.0
step 3870 	 return [0.00237637 0.00427493 0.00029213], ([0.00084092 0.00050977 0.00044653]) 	 loss 6.129E-01 	 horizons 9.0
step 3960 	 return [0.         0.00384087 0.00539318], ([0.         0.00130644 0.00089221]) 	 loss 6.170E-01 	 horizons 9.0
step 4050 	 return [0.00243952 0.00421132 0.00029318], ([0.00065091 0.0006363  0.00044789]) 	 loss 5.962E-01 	 horizons 9.0
step 4140 	 return [0.0027418  0.00256104 0.00073094], ([0.00066991 0.00062355 0.00041328]) 	 loss 5.837E-01 	 horizons 9.0
step 4230 	 return [0.00223727 0.0043633  0.00019012], ([0.00046961 0.0008348  0.00038052]) 	 loss 5.758E-01 	 horizons 9.0
step 4320 	 return [0.00130965 0.00595851 0.        ], ([0.00058621 0.00047919 0.        ]) 	 loss 5.586E-01 	 horizons 9.0
step 4410 	 return [0.         0.00474469 0.00542769], ([0.         0.0012115  0.00053318]) 	 loss 5.272E-01 	 horizons 9.0
step 4500 	 return [0.00337068 0.00285793 0.00083725], ([0.00039169 0.00022387 0.00028396]) 	 loss 4.917E-01 	 horizons 9.0
step 4590 	 return [2.5897769e-03 4.2469539e-03 9.9117206e-05], ([0.00036268 0.00044782 0.00029735]) 	 loss 4.691E-01 	 horizons 9.0
step 4680 	 return [0.00273888 0.00411054 0.00029189], ([0.00072917 0.00056115 0.00044624]) 	 loss 4.643E-01 	 horizons 9.0
step 4770 	 return [0.00065368 0.00313508 0.00264263], ([0.00102861 0.00086617 0.00162224]) 	 loss 4.947E-01 	 horizons 9.0
step 4860 	 return [0.0021959  0.00410311 0.00046703], ([0.00083441 0.00053098 0.00084549]) 	 loss 4.755E-01 	 horizons 9.0
step 4950 	 return [0.00302803 0.00346031 0.00057471], ([0.00064392 0.00040289 0.00046958]) 	 loss 4.990E-01 	 horizons 9.0
step 5040 	 return [0.00129691 0.00543672 0.00046359], ([0.00070164 0.00058312 0.00139076]) 	 loss 4.848E-01 	 horizons 9.0
step 5130 	 return [0.00314846 0.00385114 0.00054885], ([0.00063907 0.00039339 0.00045282]) 	 loss 4.279E-01 	 horizons 9.0
step 5220 	 return [0.00178128 0.005535   0.        ], ([0.0004171 0.0006635 0.       ]) 	 loss 4.170E-01 	 horizons 9.0
step 5310 	 return [0.       0.004678 0.005363], ([0.         0.00079534 0.00051712]) 	 loss 4.208E-01 	 horizons 9.0
step 5400 	 return [0.         0.00626849 0.00422174], ([0.         0.00059886 0.00038036]) 	 loss 4.060E-01 	 horizons 9.0
step 5490 	 return [0.         0.00622261 0.00429485], ([0.         0.00039754 0.00031261]) 	 loss 4.057E-01 	 horizons 9.0
step 5580 	 return [0.00307745 0.00308824 0.00121552], ([0.00110239 0.00079331 0.00114912]) 	 loss 4.221E-01 	 horizons 9.0
step 5670 	 return [0.00207919 0.00558114 0.        ], ([0.00027256 0.0006026  0.        ]) 	 loss 3.787E-01 	 horizons 9.0
step 5760 	 return [0.         0.00518513 0.00520939], ([0.         0.00043897 0.00046132]) 	 loss 3.541E-01 	 horizons 9.0
step 5850 	 return [0.00017178 0.0060257  0.00405055], ([0.00051533 0.00073115 0.00151139]) 	 loss 3.079E-01 	 horizons 9.0
step 5940 	 return [0.00236954 0.00394506 0.00111512], ([0.00083385 0.00032619 0.00177297]) 	 loss 3.024E-01 	 horizons 9.0
step 6030 	 return [0.00170762 0.0061871  0.        ], ([0.00026527 0.00057836 0.        ]) 	 loss 2.760E-01 	 horizons 9.0
step 6120 	 return [0.         0.00490025 0.00541283], ([0.0000000e+00 1.8455689e-04 3.1295032e-05]) 	 loss 2.607E-01 	 horizons 9.0
step 6210 	 return [2.7120837e-03 4.6493523e-03 9.9689132e-05], ([0.00037369 0.00036401 0.00029907]) 	 loss 2.352E-01 	 horizons 9.0
step 6300 	 return [0.00194441 0.00535587 0.        ], ([0.00028901 0.00050535 0.        ]) 	 loss 2.442E-01 	 horizons 9.0
step 6390 	 return [0.00199115 0.00549891 0.        ], ([0.00024687 0.00064183 0.        ]) 	 loss 2.193E-01 	 horizons 9.0
step 6480 	 return [0.00356179 0.00343933 0.00087358], ([0.00026575 0.00021975 0.0002918 ]) 	 loss 2.070E-01 	 horizons 9.0
step 6570 	 return [0.00364338 0.00264312 0.00100641], ([0.00064871 0.00032789 0.00017651]) 	 loss 2.135E-01 	 horizons 9.0
step 6660 	 return [0.00197228 0.00582569 0.        ], ([0.00018368 0.00049272 0.        ]) 	 loss 2.115E-01 	 horizons 9.0
step 6750 	 return [0.0021726  0.00488935 0.00019765], ([0.0004588  0.0003503  0.00039549]) 	 loss 2.184E-01 	 horizons 9.0
step 6840 	 return [0.00354146 0.00377727 0.00057913], ([0.00049945 0.00042479 0.00047325]) 	 loss 2.079E-01 	 horizons 9.0
step 6930 	 return [0.00268757 0.00498542 0.        ], ([0.00026623 0.00038204 0.        ]) 	 loss 1.658E-01 	 horizons 9.0
step 7020 	 return [0.00148755 0.00611563 0.00092717], ([0.00075022 0.00031269 0.00185434]) 	 loss 1.629E-01 	 horizons 9.0
step 7110 	 return [0.00344461 0.00300131 0.00106729], ([0.00052524 0.00032273 0.00018249]) 	 loss 1.322E-01 	 horizons 9.0
step 7200 	 return [0.         0.00421719 0.00621137], ([0.0000000e+00 4.9794093e-05 3.0218807e-04]) 	 loss 1.327E-01 	 horizons 9.0
step 7290 	 return [0.00024924 0.00436595 0.00539595], ([0.00074771 0.00043505 0.00165466]) 	 loss 1.091E-01 	 horizons 9.0
step 7380 	 return [0.00395752 0.00318346 0.00095187], ([3.9789735e-04 1.1141450e-04 2.5255033e-05]) 	 loss 1.262E-01 	 horizons 9.0
step 7470 	 return [2.7813648e-03 4.9326196e-03 9.6024123e-05], ([9.6370553e-05 6.7207533e-05 2.8807236e-04]) 	 loss 1.160E-01 	 horizons 9.0
step 7560 	 return [0.         0.00572733 0.00488551], ([0.         0.00069037 0.0004485 ]) 	 loss 1.121E-01 	 horizons 9.0
step 7650 	 return [0.00277594 0.00482932 0.00019571], ([9.5005955e-05 2.7053477e-04 3.9151229e-04]) 	 loss 1.220E-01 	 horizons 9.0
step 7740 	 return [0.00312142 0.0040266  0.00078225], ([0.00043136 0.00012229 0.00039167]) 	 loss 1.196E-01 	 horizons 9.0
step 7830 	 return [0.00379649 0.00271573 0.0011103 ], ([0.00040849 0.00032972 0.00018604]) 	 loss 1.078E-01 	 horizons 9.0
step 7920 	 return [0.00268909 0.00429138 0.00049377], ([0.00028714 0.0002223  0.00049392]) 	 loss 1.256E-01 	 horizons 9.0
step 8010 	 return [0.00194444 0.00605123 0.        ], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 1.179E-01 	 horizons 9.0
step 8100 	 return [8.4419196e-05 4.5978031e-03 5.3251432e-03], ([0.00025326 0.0006355  0.00151995]) 	 loss 9.621E-02 	 horizons 9.0
step 8190 	 return [0.00281112 0.00492221 0.        ], ([9.4489724e-06 1.0965814e-04 0.0000000e+00]) 	 loss 9.857E-02 	 horizons 9.0
step 8280 	 return [0.00049847 0.00429536 0.00462133], ([0.00099694 0.00046862 0.00217513]) 	 loss 8.726E-02 	 horizons 9.0
step 8370 	 return [0.00267015 0.00492642 0.00019765], ([3.4068749e-04 7.5303011e-05 3.9549434e-04]) 	 loss 8.403E-02 	 horizons 9.0
step 8460 	 return [0.00391999 0.00246716 0.00120673], ([3.9029264e-04 2.3372511e-04 9.9381905e-05]) 	 loss 7.718E-02 	 horizons 9.0
step 8550 	 return [0.00380727 0.00347691 0.00086379], ([0.00032259 0.00035722 0.00028893]) 	 loss 6.891E-02 	 horizons 9.0
step 8640 	 return [0.00356738 0.00433448 0.        ], ([0.00036892 0.00021327 0.        ]) 	 loss 6.538E-02 	 horizons 9.0
step 8730 	 return [0.00194444 0.00605123 0.        ], ([1.1641532e-10 0.0000000e+00 0.0000000e+00]) 	 loss 7.002E-02 	 horizons 9.0
step 8820 	 return [0.00185377 0.00624408 0.        ], ([0.00011105 0.00023619 0.        ]) 	 loss 5.818E-02 	 horizons 9.0
step 8910 	 return [0.00385458 0.00227346 0.00123495], ([4.4299965e-04 2.8791337e-04 3.8310362e-05]) 	 loss 5.399E-02 	 horizons 9.0
step 9000 	 return [0.         0.00414066 0.00629449], ([0.         0.00035186 0.00027332]) 	 loss 6.030E-02 	 horizons 9.0
step 9090 	 return [0.         0.00396478 0.00631427], ([0.         0.00023645 0.00011145]) 	 loss 6.818E-02 	 horizons 9.0
step 9180 	 return [0.         0.00646874 0.004378  ], ([0.         0.00052417 0.00041853]) 	 loss 7.694E-02 	 horizons 9.0
step 9270 	 return [2.6931867e-03 4.9689473e-03 9.6024123e-05], ([0.00027507 0.00011622 0.00028807]) 	 loss 7.079E-02 	 horizons 9.0
step 9360 	 return [0.00378898 0.00301866 0.00105825], ([0.00033001 0.00036751 0.00014226]) 	 loss 6.399E-02 	 horizons 9.0
step 9450 	 return [0.00340253 0.00259494 0.00174855], ([0.00118178 0.00053792 0.0015009 ]) 	 loss 6.882E-02 	 horizons 9.0
