/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_065849-y6snq8ai
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-spatiotemporal__789__1781499528
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/y6snq8ai
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-spatiotemporal', wandb_entity=None)
step 990 	 return [0.00104205 0.00121606 0.00110888], ([0.00107986 0.00113624 0.00129137]) 	 loss 2.025E+00 	 horizons 9.0
step 1080 	 return [0.00106638 0.00131523 0.00021921], ([0.0006397  0.00162509 0.00023745]) 	 loss 1.812E+00 	 horizons 9.0
step 1170 	 return [0.00059404 0.00285864 0.0016138 ], ([0.0007682  0.00163032 0.00188057]) 	 loss 1.350E+00 	 horizons 9.0
step 1260 	 return [0.00126814 0.00130513 0.00056054], ([0.00120602 0.00127643 0.00125598]) 	 loss 1.244E+00 	 horizons 9.0
step 1350 	 return [0.00077776 0.00159373 0.00134355], ([0.00080641 0.00116837 0.00127946]) 	 loss 1.164E+00 	 horizons 9.0
step 1440 	 return [0.00109305 0.00124043 0.00053983], ([0.00084252 0.00132693 0.00042397]) 	 loss 1.107E+00 	 horizons 9.0
step 1530 	 return [0.00037202 0.00245296 0.00220593], ([0.00064876 0.00122579 0.00196623]) 	 loss 1.092E+00 	 horizons 9.0
step 1620 	 return [0.00096356 0.00190245 0.00125991], ([0.00083725 0.0013059  0.00166397]) 	 loss 1.053E+00 	 horizons 9.0
step 1710 	 return [0.00087078 0.00132447 0.00190299], ([0.00062666 0.00062355 0.00169201]) 	 loss 1.047E+00 	 horizons 9.0
step 1800 	 return [0.00196118 0.00128622 0.00020904], ([0.00086682 0.00098063 0.00027564]) 	 loss 1.038E+00 	 horizons 9.0
step 1890 	 return [0.00092442 0.00273404 0.00122908], ([0.00089328 0.00112495 0.00193535]) 	 loss 1.066E+00 	 horizons 9.0
step 1980 	 return [0.00137362 0.00284979 0.00039689], ([0.00117876 0.00139434 0.00099422]) 	 loss 1.002E+00 	 horizons 9.0
step 2070 	 return [0.00062895 0.00190802 0.00232081], ([0.00087577 0.00126674 0.00182706]) 	 loss 9.725E-01 	 horizons 9.0
step 2160 	 return [0.000213   0.00303267 0.00230876], ([0.00046167 0.00161886 0.00151647]) 	 loss 9.520E-01 	 horizons 9.0
step 2250 	 return [0.00075403 0.00221968 0.00193442], ([0.00064465 0.00124797 0.00161068]) 	 loss 9.337E-01 	 horizons 9.0
step 2340 	 return [0.00125768 0.00153796 0.00095413], ([0.00095137 0.00100697 0.00094408]) 	 loss 9.405E-01 	 horizons 9.0
step 2430 	 return [0.0012285  0.0027728  0.00067533], ([0.00079077 0.00081394 0.00177912]) 	 loss 9.049E-01 	 horizons 9.0
step 2520 	 return [0.00163802 0.00104388 0.0008584 ], ([0.00070244 0.00060658 0.00017157]) 	 loss 9.138E-01 	 horizons 9.0
