/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hcyd95gq
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-hcyd95gq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-temporal__1024__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/hcyd95gq
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-temporal', wandb_entity=None)
step 990 	 return [0.00046117 0.000789   0.00072818], ([0.00060817 0.00117448 0.00113788]) 	 loss 2.040E+00 	 horizons 9.0
step 1080 	 return [0.00104324 0.00116683 0.00080628], ([0.00080881 0.0010295  0.00146637]) 	 loss 1.901E+00 	 horizons 9.0
step 1170 	 return [0.00067648 0.00220855 0.00078312], ([0.00067582 0.00155181 0.00117132]) 	 loss 1.453E+00 	 horizons 9.0
step 1260 	 return [0.00084261 0.00205654 0.00150692], ([0.00070145 0.00167571 0.0016789 ]) 	 loss 1.243E+00 	 horizons 9.0
step 1350 	 return [0.00078445 0.00089636 0.00130992], ([0.00059349 0.00051237 0.00161879]) 	 loss 1.175E+00 	 horizons 9.0
step 1440 	 return [0.00071944 0.00066651 0.00069893], ([0.00086781 0.00060214 0.00098384]) 	 loss 1.098E+00 	 horizons 9.0
step 1530 	 return [0.00052942 0.00281559 0.00138758], ([0.00054829 0.00146208 0.00202988]) 	 loss 1.089E+00 	 horizons 9.0
step 1620 	 return [0.00067063 0.0007794  0.0009131 ], ([0.00072353 0.00063802 0.00102366]) 	 loss 1.056E+00 	 horizons 9.0
step 1710 	 return [0.00068318 0.00412177 0.00176617], ([0.00059858 0.00102047 0.00219949]) 	 loss 1.010E+00 	 horizons 9.0
step 1800 	 return [0.00061388 0.00396587 0.00248723], ([0.00078247 0.00131312 0.00239659]) 	 loss 1.007E+00 	 horizons 9.0
step 1890 	 return [0.         0.00426809 0.00450552], ([0.        0.001457  0.0014478]) 	 loss 1.013E+00 	 horizons 9.0
step 1980 	 return [0.         0.00460686 0.00391863], ([0.         0.00158484 0.00174096]) 	 loss 9.368E-01 	 horizons 9.0
step 2070 	 return [0.00118365 0.00204277 0.00031765], ([0.00080719 0.00116368 0.00065223]) 	 loss 8.824E-01 	 horizons 9.0
step 2160 	 return [0.         0.00512932 0.00364283], ([0.         0.0009184  0.00122935]) 	 loss 8.528E-01 	 horizons 9.0
step 2250 	 return [0.00011251 0.00320864 0.0028336 ], ([0.00018904 0.00181258 0.00227987]) 	 loss 8.007E-01 	 horizons 9.0
step 2340 	 return [0.00043488 0.00405489 0.00152076], ([0.00042345 0.001263   0.00192424]) 	 loss 8.061E-01 	 horizons 9.0
step 2430 	 return [0.00034594 0.00455899 0.0012124 ], ([0.00041284 0.00084345 0.00189783]) 	 loss 7.714E-01 	 horizons 9.0
step 2520 	 return [0.00123085 0.00185225 0.00025086], ([0.0006624  0.00101386 0.00032897]) 	 loss 7.852E-01 	 horizons 9.0
step 2610 	 return [0.00031248 0.0059612  0.00025224], ([0.00041174 0.00070037 0.00075672]) 	 loss 7.831E-01 	 horizons 9.0
step 2700 	 return [0.0004944  0.00394941 0.0015162 ], ([0.00052586 0.00083042 0.00197576]) 	 loss 7.369E-01 	 horizons 9.0
step 2790 	 return [0.0003479  0.00164594 0.00184842], ([0.00045692 0.0003077  0.00061403]) 	 loss 7.066E-01 	 horizons 9.0
step 2880 	 return [0.00160859 0.00202686 0.0005328 ], ([0.00134978 0.00085719 0.00073037]) 	 loss 6.892E-01 	 horizons 9.0
step 2970 	 return [0.00116647 0.00092833 0.0008735 ], ([0.00073704 0.00039843 0.00055218]) 	 loss 6.610E-01 	 horizons 9.0
step 3060 	 return [0.00213999 0.0024615  0.00017473], ([0.00090281 0.00089437 0.00037851]) 	 loss 6.555E-01 	 horizons 9.0
step 3150 	 return [0.0006681  0.00493161 0.        ], ([0.00045212 0.00074778 0.        ]) 	 loss 6.379E-01 	 horizons 9.0
step 3240 	 return [0.0022174  0.00119932 0.00046785], ([0.00098798 0.00069101 0.00041656]) 	 loss 6.754E-01 	 horizons 9.0
step 3330 	 return [0.00035136 0.00233257 0.00247066], ([0.00041505 0.00109641 0.00113424]) 	 loss 6.752E-01 	 horizons 9.0
step 3420 	 return [0.00096346 0.00350219 0.00050585], ([0.00052844 0.00112681 0.00082755]) 	 loss 6.475E-01 	 horizons 9.0
step 3510 	 return [0.00103575 0.0036124  0.        ], ([0.00049632 0.00094863 0.        ]) 	 loss 6.107E-01 	 horizons 9.0
step 3600 	 return [0.00181132 0.00114368 0.00063352], ([0.00099095 0.00057526 0.00036734]) 	 loss 6.384E-01 	 horizons 9.0
step 3690 	 return [0.         0.00557096 0.00341653], ([0. 0. 0.]) 	 loss 5.814E-01 	 horizons 9.0
step 3780 	 return [1.3414683e-03 3.8672010e-03 9.3665534e-05], ([0.0009767  0.00058391 0.000281  ]) 	 loss 5.639E-01 	 horizons 9.0
step 3870 	 return [0.         0.00492158 0.00456396], ([0.         0.00077399 0.00116683]) 	 loss 5.829E-01 	 horizons 9.0
step 3960 	 return [0.00019515 0.00632221 0.00070079], ([0.0003903  0.00044714 0.00148142]) 	 loss 5.458E-01 	 horizons 9.0
step 4050 	 return [0.00186495 0.00320326 0.        ], ([0.00120377 0.00063126 0.        ]) 	 loss 5.186E-01 	 horizons 9.0
step 4140 	 return [0.         0.00556043 0.00333613], ([0.0000000e+00 5.5166911e-05 2.7047927e-04]) 	 loss 4.960E-01 	 horizons 9.0
step 4230 	 return [0.         0.00409653 0.00492777], ([0.         0.0007243  0.00075565]) 	 loss 4.532E-01 	 horizons 9.0
step 4320 	 return [0.         0.00524429 0.00426728], ([0.         0.00064775 0.00113537]) 	 loss 4.820E-01 	 horizons 9.0
step 4410 	 return [0.         0.00567073 0.00352476], ([0.         0.00029933 0.00032469]) 	 loss 4.339E-01 	 horizons 9.0
step 4500 	 return [0.00026714 0.00264852 0.00288735], ([0.00041422 0.00095004 0.00090682]) 	 loss 4.137E-01 	 horizons 9.0
step 4590 	 return [0.         0.00557096 0.00341653], ([0. 0. 0.]) 	 loss 4.467E-01 	 horizons 9.0
step 4680 	 return [4.7721023e-05 2.6319725e-03 2.8602541e-03], ([0.00014316 0.00056572 0.00056525]) 	 loss 3.901E-01 	 horizons 9.0
step 4770 	 return [0.         0.00388575 0.00608677], ([0.         0.00089654 0.00047647]) 	 loss 4.073E-01 	 horizons 9.0
step 4860 	 return [0.00058487 0.00146227 0.00152938], ([0.00051617 0.0004935  0.00069705]) 	 loss 4.318E-01 	 horizons 9.0
step 4950 	 return [0.         0.00462087 0.00553329], ([0.         0.00078383 0.00057067]) 	 loss 4.321E-01 	 horizons 9.0
step 5040 	 return [0.00023998 0.00304844 0.00263866], ([0.00038847 0.00140803 0.00072162]) 	 loss 3.996E-01 	 horizons 9.0
step 5130 	 return [0.         0.00412666 0.00380985], ([0.         0.00068443 0.0010216 ]) 	 loss 4.397E-01 	 horizons 9.0
step 5220 	 return [0.         0.00425456 0.00550835], ([0.         0.00116119 0.00096878]) 	 loss 4.210E-01 	 horizons 9.0
step 5310 	 return [0.00111306 0.00234525 0.00166337], ([0.00049718 0.00071755 0.00093023]) 	 loss 4.113E-01 	 horizons 9.0
step 5400 	 return [0.00041281 0.0026988  0.00243604], ([0.00046074 0.00124327 0.00092733]) 	 loss 4.397E-01 	 horizons 9.0
step 5490 	 return [0.        0.003996  0.0034522], ([0.         0.00061297 0.00078689]) 	 loss 3.801E-01 	 horizons 9.0
step 5580 	 return [0.00049841 0.00228982 0.00239514], ([0.00052709 0.00066794 0.00035887]) 	 loss 3.773E-01 	 horizons 9.0
step 5670 	 return [0.        0.0048227 0.0051957], ([0.         0.00068798 0.00066135]) 	 loss 3.833E-01 	 horizons 9.0
