/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yj1hjidq
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-yj1hjidq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-temporal__123__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/yj1hjidq
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-temporal', wandb_entity=None)
step 990 	 return [0.00125207 0.00112827 0.00013291], ([0.00130625 0.00121033 0.00026734]) 	 loss 2.038E+00 	 horizons 9.0
step 1080 	 return [0.00078135 0.00161021 0.00142411], ([0.00145753 0.00165556 0.00201649]) 	 loss 1.911E+00 	 horizons 9.0
step 1170 	 return [0.00107773 0.00132486 0.00025351], ([0.00105858 0.00109478 0.00032753]) 	 loss 1.610E+00 	 horizons 9.0
step 1260 	 return [0.00071253 0.00100968 0.00083922], ([0.00055768 0.00137624 0.00107431]) 	 loss 1.315E+00 	 horizons 9.0
step 1350 	 return [0.00029164 0.00171097 0.00198724], ([0.00049323 0.00168434 0.00090714]) 	 loss 1.196E+00 	 horizons 9.0
step 1440 	 return [0.00115444 0.0026424  0.00163815], ([0.00087482 0.00069191 0.00256601]) 	 loss 1.141E+00 	 horizons 9.0
step 1530 	 return [0.00092791 0.00344052 0.00133741], ([0.001104   0.00127549 0.00211364]) 	 loss 1.085E+00 	 horizons 9.0
step 1620 	 return [0.00017849 0.0023056  0.0022079 ], ([0.00039445 0.00167273 0.0018417 ]) 	 loss 1.045E+00 	 horizons 9.0
step 1710 	 return [0.0005925  0.00278654 0.00204284], ([0.00069262 0.00135723 0.00225432]) 	 loss 1.042E+00 	 horizons 9.0
step 1800 	 return [4.0430918e-05 3.2321655e-03 3.9154314e-03], ([0.00012129 0.00165401 0.00181832]) 	 loss 9.933E-01 	 horizons 9.0
step 1890 	 return [0.00116143 0.00249714 0.00271407], ([0.00137582 0.00103519 0.00258275]) 	 loss 9.852E-01 	 horizons 9.0
step 1980 	 return [0.         0.00375745 0.00417543], ([0.         0.00150373 0.00143306]) 	 loss 9.552E-01 	 horizons 9.0
step 2070 	 return [0.         0.0046191  0.00338582], ([0.         0.00055456 0.00129036]) 	 loss 8.848E-01 	 horizons 9.0
step 2160 	 return [0.00189117 0.00152059 0.0010083 ], ([0.0011695  0.00080723 0.00148179]) 	 loss 9.119E-01 	 horizons 9.0
step 2250 	 return [9.2511924e-05 5.1301969e-03 2.0400772e-03], ([0.00027754 0.00062785 0.00214993]) 	 loss 8.484E-01 	 horizons 9.0
step 2340 	 return [0.00072647 0.00409672 0.0008343 ], ([0.00080298 0.00093386 0.00144165]) 	 loss 7.964E-01 	 horizons 9.0
step 2430 	 return [3.0565116e-05 5.4759062e-03 6.3069764e-04], ([9.1695350e-05 6.6235743e-04 7.7256165e-04]) 	 loss 7.798E-01 	 horizons 9.0
step 2520 	 return [0.         0.00306779 0.00527675], ([0.         0.00133004 0.00120463]) 	 loss 7.641E-01 	 horizons 9.0
