/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 96027zfe
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-96027zfe
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-temporal__42__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/96027zfe
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-temporal', wandb_entity=None)
step 990 	 return [0.00051562 0.00110943 0.00157258], ([0.0005623  0.00106664 0.00200033]) 	 loss 2.025E+00 	 horizons 9.0
step 1080 	 return [0.00076152 0.00150595 0.00116975], ([0.00058477 0.00137442 0.00141359]) 	 loss 1.829E+00 	 horizons 9.0
step 1170 	 return [0.00053918 0.00060244 0.00072176], ([0.00070099 0.00075879 0.00184884]) 	 loss 1.424E+00 	 horizons 9.0
step 1260 	 return [0.00060205 0.00154687 0.00104033], ([0.00065785 0.00174621 0.00120014]) 	 loss 1.257E+00 	 horizons 9.0
step 1350 	 return [0.00034303 0.00150753 0.00129741], ([0.00056102 0.00171379 0.00185068]) 	 loss 1.198E+00 	 horizons 9.0
step 1440 	 return [0.00067522 0.00248476 0.00137268], ([0.00084171 0.00160012 0.00206746]) 	 loss 1.105E+00 	 horizons 9.0
step 1530 	 return [0.         0.00328535 0.00367828], ([0.         0.00145976 0.00153555]) 	 loss 1.100E+00 	 horizons 9.0
step 1620 	 return [0.         0.00276637 0.00405541], ([0.         0.00090425 0.00104483]) 	 loss 1.066E+00 	 horizons 9.0
step 1710 	 return [0.0001769  0.00259063 0.00398803], ([0.0005307  0.00123632 0.0016983 ]) 	 loss 1.045E+00 	 horizons 9.0
step 1800 	 return [0.00072491 0.00355452 0.00238859], ([0.00123416 0.00112153 0.00182647]) 	 loss 1.036E+00 	 horizons 9.0
step 1890 	 return [0.         0.00296307 0.00330046], ([0.         0.00125142 0.00101863]) 	 loss 9.802E-01 	 horizons 9.0
step 1980 	 return [0.00075509 0.00151841 0.00167833], ([0.00068056 0.0010973  0.00192251]) 	 loss 9.589E-01 	 horizons 9.0
step 2070 	 return [0.        0.0045509 0.0027702], ([0.         0.00061239 0.00115111]) 	 loss 9.376E-01 	 horizons 9.0
step 2160 	 return [0.00085712 0.00236943 0.00067592], ([0.00071339 0.00125674 0.00130191]) 	 loss 8.909E-01 	 horizons 9.0
step 2250 	 return [0.00087636 0.00251979 0.00136616], ([0.00095991 0.00083554 0.00216418]) 	 loss 8.820E-01 	 horizons 9.0
step 2340 	 return [0.         0.00378701 0.0035189 ], ([0.         0.00124364 0.00132272]) 	 loss 8.499E-01 	 horizons 9.0
step 2430 	 return [0.00051191 0.00436377 0.00140802], ([0.00056264 0.00077797 0.0019022 ]) 	 loss 8.435E-01 	 horizons 9.0
