/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mzv0lrue
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_062310-mzv0lrue
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g3-temporal__789__1781497389
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/mzv0lrue
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g3-temporal', wandb_entity=None)
step 990 	 return [0.00147092 0.00174537 0.00126613], ([0.00117724 0.00118693 0.00203686]) 	 loss 2.058E+00 	 horizons 9.0
step 1080 	 return [0.00117526 0.00096783 0.00082926], ([0.00104479 0.00099463 0.0017527 ]) 	 loss 1.935E+00 	 horizons 9.0
step 1170 	 return [0.00141954 0.00182354 0.0005993 ], ([0.00101915 0.00164183 0.00046483]) 	 loss 1.533E+00 	 horizons 9.0
step 1260 	 return [0.00071672 0.00156087 0.00115766], ([0.00073591 0.00158801 0.00194318]) 	 loss 1.261E+00 	 horizons 9.0
step 1350 	 return [0.0014876  0.00297659 0.0005385 ], ([0.00106717 0.00179217 0.00123512]) 	 loss 1.190E+00 	 horizons 9.0
step 1440 	 return [0.00036005 0.00406652 0.00157679], ([0.00052665 0.00220972 0.00212082]) 	 loss 1.124E+00 	 horizons 9.0
step 1530 	 return [0.00041863 0.0035239  0.00267756], ([0.00051981 0.00090025 0.00230029]) 	 loss 1.118E+00 	 horizons 9.0
step 1620 	 return [0.00154927 0.00132998 0.00031528], ([0.00065633 0.00102346 0.00033138]) 	 loss 1.089E+00 	 horizons 9.0
step 1710 	 return [0.00126203 0.00110075 0.00097921], ([0.00103191 0.00059708 0.00192712]) 	 loss 1.058E+00 	 horizons 9.0
step 1800 	 return [0.00148793 0.00438795 0.00018408], ([0.00102969 0.00139621 0.00032979]) 	 loss 1.029E+00 	 horizons 9.0
step 1890 	 return [0.00039821 0.00524274 0.00088566], ([0.00052966 0.00124219 0.00192821]) 	 loss 1.017E+00 	 horizons 9.0
step 1980 	 return [0.00060603 0.00476882 0.00039888], ([0.00057427 0.00161116 0.00119665]) 	 loss 9.754E-01 	 horizons 9.0
step 2070 	 return [0.00175926 0.00160498 0.00029001], ([0.00106942 0.00115036 0.00028848]) 	 loss 9.206E-01 	 horizons 9.0
step 2160 	 return [0.00124196 0.00258314 0.00169456], ([0.00111177 0.00133661 0.00218562]) 	 loss 8.886E-01 	 horizons 9.0
step 2250 	 return [0.00035595 0.0048509  0.00111234], ([0.00037591 0.00115309 0.00190651]) 	 loss 9.075E-01 	 horizons 9.0
step 2340 	 return [0.0002203  0.00564871 0.00069155], ([0.00036874 0.00134026 0.00140291]) 	 loss 8.699E-01 	 horizons 9.0
