/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run edshdtyv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073358-edshdtyv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-l0__1024__1781501637
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/edshdtyv
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-l0', wandb_entity=None)
step 990 	 return [0.         0.00101313 0.00103232 0.0006305  0.        ], ([0.         0.00148995 0.00189159 0.0012117  0.        ]) 	 loss 2.030E+00 	 horizons 9.0
step 1080 	 return [0.00091741 0.00134317 0.00089948 0.00084061 0.00114368], ([0.0013231  0.0014619  0.0011591  0.00066545 0.00343103]) 	 loss 1.887E+00 	 horizons 9.0
step 1170 	 return [0.00015029 0.00210131 0.00166986 0.00144671 0.00014939], ([0.00045087 0.00237602 0.00241849 0.00094249 0.00044816]) 	 loss 1.517E+00 	 horizons 9.0
step 1260 	 return [0.00078119 0.00219882 0.00272958 0.001926   0.00058394], ([0.00086976 0.001657   0.00268085 0.00149055 0.00132663]) 	 loss 1.254E+00 	 horizons 9.0
step 1350 	 return [0.         0.00028645 0.00500297 0.00426648 0.00514059], ([0.         0.00085935 0.00208426 0.00134936 0.00342608]) 	 loss 1.147E+00 	 horizons 9.0
step 1440 	 return [0.00046246 0.00285214 0.00262025 0.0016795  0.00133214], ([0.00094281 0.00260238 0.00166373 0.00173107 0.00291986]) 	 loss 1.080E+00 	 horizons 9.0
step 1530 	 return [0.0005075  0.00393494 0.00162173 0.00095884 0.        ], ([0.00085339 0.00189931 0.00153969 0.0005508  0.        ]) 	 loss 1.035E+00 	 horizons 9.0
step 1620 	 return [0.00160351 0.00239705 0.000403   0.0006662  0.        ], ([0.00098345 0.00198317 0.00016985 0.00047384 0.        ]) 	 loss 9.968E-01 	 horizons 9.0
step 1710 	 return [0.00010599 0.00458336 0.00390107 0.00107029 0.        ], ([0.00031796 0.00092363 0.00128364 0.00027644 0.        ]) 	 loss 9.636E-01 	 horizons 9.0
step 1800 	 return [0.00028248 0.0058486  0.00232537 0.00101277 0.        ], ([0.00056549 0.00151537 0.00115915 0.00055057 0.        ]) 	 loss 9.769E-01 	 horizons 9.0
step 1890 	 return [0.         0.00250967 0.00184435 0.00218707 0.00032194], ([0.         0.00264837 0.00161485 0.00152934 0.00096583]) 	 loss 9.509E-01 	 horizons 9.0
step 1980 	 return [8.5666412e-05 3.9965240e-03 1.3608937e-03 2.0088968e-03 5.6513975e-04], ([0.000257   0.00246137 0.00115195 0.00149311 0.00115404]) 	 loss 9.377E-01 	 horizons 9.0
step 2070 	 return [0.00033957 0.00397283 0.00068668 0.0003993  0.        ], ([0.00078527 0.00104652 0.00059698 0.00027704 0.        ]) 	 loss 9.219E-01 	 horizons 9.0
step 2160 	 return [0.         0.         0.00609579 0.00504756 0.00733954], ([0.0000000e+00 0.0000000e+00 2.1836313e-05 8.3492836e-05 8.0341968e-04]) 	 loss 9.176E-01 	 horizons 9.0
step 2250 	 return [0.         0.         0.00601904 0.00546751 0.00696117], ([0.         0.         0.00117312 0.00072555 0.00209573]) 	 loss 8.730E-01 	 horizons 9.0
step 2340 	 return [0.         0.00268824 0.00643109 0.00177956 0.00039065], ([0.         0.00232035 0.00066909 0.0008317  0.00117195]) 	 loss 8.174E-01 	 horizons 9.0
step 2430 	 return [0.00105633 0.00421682 0.00054947 0.00065563 0.        ], ([0.00090528 0.00096067 0.00046523 0.00031658 0.        ]) 	 loss 7.593E-01 	 horizons 9.0
step 2520 	 return [0.00010571 0.00276035 0.0066951  0.00178287 0.0007103 ], ([0.00031714 0.00167415 0.0012817  0.00145516 0.0021309 ]) 	 loss 7.449E-01 	 horizons 9.0
step 2610 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 7.523E-01 	 horizons 9.0
step 2700 	 return [0.00071352 0.0059637  0.00301989 0.00140142 0.        ], ([0.00077441 0.00165962 0.00077578 0.00051654 0.        ]) 	 loss 6.881E-01 	 horizons 9.0
step 2790 	 return [0.0007537  0.00514108 0.00468198 0.00140457 0.        ], ([0.00070216 0.00153521 0.00049891 0.00046028 0.        ]) 	 loss 6.873E-01 	 horizons 9.0
step 2880 	 return [0.00034338 0.0051707  0.00398126 0.00141827 0.        ], ([0.00052857 0.00130291 0.00105231 0.00036265 0.        ]) 	 loss 6.184E-01 	 horizons 9.0
step 2970 	 return [0.         0.         0.00592864 0.00524907 0.00752015], ([0.         0.         0.00052747 0.00049885 0.00045063]) 	 loss 6.494E-01 	 horizons 9.0
step 3060 	 return [0.00110651 0.00568526 0.00075933 0.00120342 0.        ], ([0.00140176 0.00135571 0.00026744 0.00034564 0.        ]) 	 loss 5.733E-01 	 horizons 9.0
step 3150 	 return [0.         0.         0.00628188 0.00466029 0.00608297], ([0.         0.         0.00096889 0.00054283 0.00172942]) 	 loss 5.677E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.00565846 0.00520685 0.00727152], ([0.         0.         0.00080081 0.00058742 0.0009896 ]) 	 loss 5.777E-01 	 horizons 9.0
step 3330 	 return [0.00031498 0.00577995 0.00405782 0.00174016 0.        ], ([0.00048126 0.00125772 0.00112791 0.00051606 0.        ]) 	 loss 5.236E-01 	 horizons 9.0
step 3420 	 return [0.00053126 0.00535698 0.00358628 0.00120067 0.        ], ([0.00053127 0.00146961 0.00139847 0.0003366  0.        ]) 	 loss 5.337E-01 	 horizons 9.0
step 3510 	 return [0.         0.         0.00593082 0.00525511 0.0076555 ], ([0.         0.         0.00052816 0.00049654 0.00027557]) 	 loss 5.426E-01 	 horizons 9.0
