/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s5cnrvxd
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073307-s5cnrvxd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-l0__42__1781501586
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/s5cnrvxd
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-l0', wandb_entity=None)
step 990 	 return [0.00054492 0.00143619 0.00151067 0.00147244 0.00126076], ([0.00085687 0.00227936 0.00195887 0.00154593 0.00263427]) 	 loss 2.041E+00 	 horizons 9.0
step 1080 	 return [0.00022617 0.00232116 0.00081986 0.00120057 0.        ], ([0.00049991 0.00241784 0.00089715 0.0011511  0.        ]) 	 loss 1.888E+00 	 horizons 9.0
step 1170 	 return [0.00013246 0.00080741 0.00051762 0.00091766 0.00076532], ([0.00039737 0.00063372 0.0007722  0.00120896 0.001579  ]) 	 loss 1.415E+00 	 horizons 9.0
step 1260 	 return [0.         0.         0.0047584  0.00416333 0.00565657], ([0.         0.         0.00179516 0.0007943  0.00247565]) 	 loss 1.192E+00 	 horizons 9.0
step 1350 	 return [0.00020149 0.00116243 0.00097447 0.00149391 0.        ], ([0.00060447 0.0016346  0.00122042 0.00176679 0.        ]) 	 loss 1.087E+00 	 horizons 9.0
step 1440 	 return [0.         0.00348186 0.0020352  0.00121779 0.00020351], ([0.         0.00344232 0.00229473 0.00106325 0.00061054]) 	 loss 1.029E+00 	 horizons 9.0
step 1530 	 return [0.00093943 0.00380664 0.00269867 0.00225172 0.00146046], ([0.00098788 0.00359373 0.00139053 0.00191407 0.00179647]) 	 loss 1.020E+00 	 horizons 9.0
step 1620 	 return [0.         0.00237361 0.00491947 0.00234881 0.00223197], ([0.         0.00211252 0.00164305 0.0015201  0.00351521]) 	 loss 9.973E-01 	 horizons 9.0
step 1710 	 return [0.00020149 0.00045819 0.00302803 0.00268748 0.00451352], ([0.00060447 0.00092672 0.00194946 0.00133761 0.00381891]) 	 loss 9.631E-01 	 horizons 9.0
step 1800 	 return [0.         0.         0.0054763  0.00468117 0.00637364], ([0.         0.         0.00088025 0.00111979 0.00098049]) 	 loss 9.647E-01 	 horizons 9.0
step 1890 	 return [0.         0.         0.00447953 0.00530479 0.00581937], ([0.         0.         0.00216993 0.00096335 0.00223807]) 	 loss 8.875E-01 	 horizons 9.0
step 1980 	 return [0.         0.         0.00572697 0.00510359 0.0064977 ], ([0.         0.         0.00073709 0.0003815  0.00123834]) 	 loss 8.936E-01 	 horizons 9.0
step 2070 	 return [0.         0.         0.00602301 0.00489734 0.00595662], ([0.         0.         0.0001441  0.00089876 0.00140244]) 	 loss 8.666E-01 	 horizons 9.0
step 2160 	 return [0.         0.         0.00507514 0.00552723 0.00622894], ([0.         0.         0.00132571 0.00096484 0.00284262]) 	 loss 7.988E-01 	 horizons 9.0
