/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run qrnhjth1
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073343-qrnhjth1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-l0__789__1781501622
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/qrnhjth1
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-l0', wandb_entity=None)
step 990 	 return [0.00076088 0.00283341 0.00181266 0.00179303 0.00176115], ([0.00105472 0.0025041  0.00225943 0.00149876 0.00363126]) 	 loss 2.009E+00 	 horizons 9.0
step 1080 	 return [0.0007131  0.00195693 0.00096433 0.00111501 0.00086564], ([0.00109081 0.00161734 0.00186851 0.0011955  0.00259693]) 	 loss 1.848E+00 	 horizons 9.0
step 1170 	 return [0.         0.00210233 0.00349383 0.00196421 0.00063011], ([0.         0.00241981 0.00362714 0.00148946 0.00189032]) 	 loss 1.423E+00 	 horizons 9.0
step 1260 	 return [0.00017098 0.00102562 0.00187915 0.00296936 0.00268861], ([0.00051293 0.00142608 0.00184366 0.00199928 0.00330354]) 	 loss 1.221E+00 	 horizons 9.0
step 1350 	 return [6.0087339e-05 5.1828064e-03 2.6537648e-03 9.8462286e-04 0.0000000e+00], ([0.00018026 0.00240862 0.00213086 0.00060093 0.        ]) 	 loss 1.146E+00 	 horizons 9.0
step 1440 	 return [0.00038756 0.0021797  0.00081956 0.00078028 0.        ], ([0.00088052 0.00260872 0.00051708 0.00032369 0.        ]) 	 loss 1.089E+00 	 horizons 9.0
step 1530 	 return [0.0002555  0.00104508 0.00161847 0.0026007  0.00093719], ([0.00076649 0.00155743 0.00128622 0.00131707 0.00159353]) 	 loss 1.079E+00 	 horizons 9.0
step 1620 	 return [0.         0.00105966 0.00788564 0.00391619 0.0023018 ], ([0.         0.00164936 0.00307547 0.00105873 0.00372489]) 	 loss 1.016E+00 	 horizons 9.0
step 1710 	 return [0.         0.         0.00222735 0.0031117  0.00529909], ([0.         0.         0.00096803 0.00066376 0.00239369]) 	 loss 9.980E-01 	 horizons 9.0
step 1800 	 return [0.         0.00145378 0.01004919 0.0045469  0.00105483], ([0.         0.00181192 0.00207998 0.0012914  0.00213236]) 	 loss 9.418E-01 	 horizons 9.0
step 1890 	 return [0.00020699 0.00236974 0.00229924 0.00221029 0.00104958], ([0.00043783 0.00298522 0.00218839 0.00140872 0.00216005]) 	 loss 9.115E-01 	 horizons 9.0
step 1980 	 return [0.00041633 0.0035417  0.00091841 0.00219684 0.00027235], ([0.00070981 0.00318447 0.00053934 0.00097234 0.00081706]) 	 loss 9.460E-01 	 horizons 9.0
step 2070 	 return [0.         0.         0.00432253 0.00480891 0.00560772], ([0.         0.         0.00225548 0.00149151 0.00305158]) 	 loss 9.227E-01 	 horizons 9.0
