/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8a8sbr8e
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_083135-8a8sbr8e
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-spatial__1024__1781505095
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/8a8sbr8e
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-spatial', wandb_entity=None)
step 990 	 return [0.00011856 0.00052495 0.00073444 0.00115548 0.        ], ([0.00035569 0.00069777 0.00122607 0.00161763 0.        ]) 	 loss 2.027E+00 	 horizons 9.0
step 1080 	 return [0.         0.00178834 0.00179107 0.00168473 0.00124472], ([0.         0.00287141 0.00216089 0.00159655 0.00282772]) 	 loss 1.870E+00 	 horizons 9.0
step 1170 	 return [0.00047145 0.00133928 0.0013051  0.00183538 0.00093021], ([0.00093393 0.00118766 0.00111072 0.00178714 0.00229982]) 	 loss 1.452E+00 	 horizons 9.0
step 1260 	 return [0.00048659 0.00286284 0.0016322  0.00093586 0.        ], ([0.00060366 0.00160073 0.00184561 0.0005059  0.        ]) 	 loss 1.228E+00 	 horizons 9.0
step 1350 	 return [0.00011921 0.0010246  0.00273464 0.00295758 0.002021  ], ([0.00035763 0.00135767 0.00242151 0.00132823 0.00248087]) 	 loss 1.189E+00 	 horizons 9.0
step 1440 	 return [0.         0.00079697 0.00529702 0.00334879 0.00388842], ([0.         0.00097842 0.00218459 0.0011167  0.00298189]) 	 loss 1.127E+00 	 horizons 9.0
step 1530 	 return [0.         0.         0.00385739 0.00391188 0.00459182], ([0.         0.         0.00195629 0.00092877 0.00151346]) 	 loss 1.062E+00 	 horizons 9.0
step 1620 	 return [0.00013481 0.0023627  0.00129134 0.00131234 0.00080307], ([0.00040443 0.0023918  0.00139131 0.00118113 0.00160624]) 	 loss 1.039E+00 	 horizons 9.0
step 1710 	 return [0.         0.00409857 0.00175808 0.00103544 0.0008178 ], ([0.         0.00246407 0.00166137 0.001232   0.0024534 ]) 	 loss 1.009E+00 	 horizons 9.0
step 1800 	 return [0.00041762 0.00195089 0.00248256 0.00242648 0.00129709], ([0.0008409  0.00213278 0.00164615 0.00181645 0.00202191]) 	 loss 9.937E-01 	 horizons 9.0
step 1890 	 return [0.00046133 0.00300731 0.00257221 0.00147274 0.0012111 ], ([0.00070778 0.00170489 0.00173037 0.00132888 0.00245357]) 	 loss 9.649E-01 	 horizons 9.0
step 1980 	 return [0.00018594 0.00464426 0.00277206 0.00167717 0.00116215], ([0.00055782 0.00289858 0.00130686 0.00150908 0.0023291 ]) 	 loss 9.665E-01 	 horizons 9.0
step 2070 	 return [2.7969945e-05 4.1726306e-03 2.5177288e-03 7.1565621e-04 0.0000000e+00], ([8.3909828e-05 2.3608878e-03 9.7159779e-04 2.5773316e-04 0.0000000e+00]) 	 loss 9.765E-01 	 horizons 9.0
step 2160 	 return [0.         0.         0.00653674 0.00501232 0.00457729], ([0.         0.         0.00073363 0.00073678 0.00200599]) 	 loss 9.510E-01 	 horizons 9.0
step 2250 	 return [0.00046435 0.00246905 0.00237695 0.00192981 0.0006408 ], ([0.00065156 0.00183278 0.0013969  0.00172103 0.0014406 ]) 	 loss 8.679E-01 	 horizons 9.0
step 2340 	 return [7.4200128e-05 4.4131833e-03 2.6685516e-03 7.9831918e-04 0.0000000e+00], ([0.0002226  0.00230107 0.00141263 0.00033868 0.        ]) 	 loss 8.397E-01 	 horizons 9.0
step 2430 	 return [0.00183337 0.00107351 0.0005134  0.00073827 0.        ], ([0.00151668 0.00195116 0.00010765 0.00021923 0.        ]) 	 loss 8.213E-01 	 horizons 9.0
step 2520 	 return [0.         0.         0.00421445 0.004791   0.0074845 ], ([0.         0.         0.00137316 0.00172198 0.002614  ]) 	 loss 8.098E-01 	 horizons 9.0
step 2610 	 return [0.         0.00026424 0.00602636 0.00451005 0.00542505], ([0.         0.00079273 0.00164655 0.00145592 0.00193933]) 	 loss 7.760E-01 	 horizons 9.0
step 2700 	 return [0.         0.         0.00609096 0.00524759 0.0066221 ], ([0.0000000e+00 0.0000000e+00 4.2813197e-05 5.7192624e-04 1.4688569e-03]) 	 loss 7.231E-01 	 horizons 9.0
step 2790 	 return [7.7507240e-05 4.3621701e-03 2.9914775e-03 8.4999931e-04 0.0000000e+00], ([0.00023252 0.00152209 0.00123041 0.00036754 0.        ]) 	 loss 6.762E-01 	 horizons 9.0
step 2880 	 return [0.00037881 0.00476832 0.00240997 0.00098753 0.        ], ([0.00075769 0.00194679 0.00118846 0.00030833 0.        ]) 	 loss 6.637E-01 	 horizons 9.0
step 2970 	 return [0.         0.         0.00391463 0.00480677 0.00680116], ([0.        0.        0.0007494 0.0014973 0.0013618]) 	 loss 6.189E-01 	 horizons 9.0
step 3060 	 return [0.00211565 0.0011444  0.00045634 0.00072272 0.        ], ([0.00106775 0.00185998 0.00011646 0.00025214 0.        ]) 	 loss 6.189E-01 	 horizons 9.0
step 3150 	 return [0.         0.00054448 0.00409354 0.00355677 0.00648226], ([0.         0.00163345 0.0017946  0.00167272 0.00284166]) 	 loss 5.898E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.00335617 0.00293942 0.00837624], ([0.         0.         0.00169468 0.0012126  0.00273435]) 	 loss 5.666E-01 	 horizons 9.0
step 3330 	 return [0.00082327 0.0050699  0.00227858 0.00085704 0.        ], ([0.00072766 0.0016858  0.00093128 0.00051974 0.        ]) 	 loss 5.740E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00625387 0.00484878 0.00601451], ([0.         0.         0.00036892 0.00059029 0.00138031]) 	 loss 5.646E-01 	 horizons 9.0
step 3510 	 return [0.00010677 0.00478844 0.00456271 0.00108864 0.        ], ([0.0003203  0.00121063 0.00122317 0.00045351 0.        ]) 	 loss 4.976E-01 	 horizons 9.0
step 3600 	 return [0.         0.         0.00626599 0.00479909 0.00648457], ([0.         0.         0.00067408 0.00046929 0.001513  ]) 	 loss 4.912E-01 	 horizons 9.0
step 3690 	 return [0.00279593 0.00227311 0.00053256 0.00087061 0.        ], ([9.8317361e-04 1.9619421e-03 9.9613309e-05 3.2017863e-04 0.0000000e+00]) 	 loss 4.390E-01 	 horizons 9.0
step 3780 	 return [0.         0.         0.00623954 0.00515479 0.00712455], ([0.         0.         0.00040612 0.00041728 0.00103413]) 	 loss 4.281E-01 	 horizons 9.0
step 3870 	 return [0.00332609 0.00126545 0.00059349 0.00102871 0.        ], ([0.00098319 0.00073635 0.00014505 0.00045324 0.        ]) 	 loss 4.477E-01 	 horizons 9.0
step 3960 	 return [0.         0.00288278 0.0067625  0.00185062 0.0016413 ], ([0.         0.00199708 0.00104547 0.0016784  0.00251533]) 	 loss 3.968E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00530152 0.00532573 0.00735683], ([0.         0.         0.00123019 0.00036071 0.00059654]) 	 loss 4.192E-01 	 horizons 9.0
step 4140 	 return [0.00382026 0.00140631 0.00055705 0.00093088 0.        ], ([6.2875752e-04 4.0281695e-04 7.3590854e-05 2.1007594e-04 0.0000000e+00]) 	 loss 3.881E-01 	 horizons 9.0
step 4230 	 return [0.00357256 0.0008109  0.00053471 0.00093366 0.        ], ([0.00085911 0.00055358 0.00010018 0.00019164 0.        ]) 	 loss 3.753E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00400594 0.00335502 0.00773141], ([0.         0.         0.000753   0.00196559 0.00213072]) 	 loss 3.518E-01 	 horizons 9.0
step 4410 	 return [0.         0.00593527 0.00594194 0.00085295 0.        ], ([0.         0.00107855 0.00185114 0.00026762 0.        ]) 	 loss 3.201E-01 	 horizons 9.0
step 4500 	 return [0.         0.         0.00433201 0.00401136 0.00644517], ([0.         0.         0.00094303 0.00119128 0.00212627]) 	 loss 3.297E-01 	 horizons 9.0
step 4590 	 return [0.         0.         0.00318528 0.0016832  0.00968784], ([0.         0.         0.0006413  0.00088328 0.00115517]) 	 loss 3.625E-01 	 horizons 9.0
step 4680 	 return [0.         0.         0.00354    0.00133947 0.01196699], ([0.         0.         0.00051039 0.00156514 0.00196516]) 	 loss 3.537E-01 	 horizons 9.0
step 4770 	 return [0.00224009 0.00234977 0.00080124 0.00093574 0.        ], ([0.00075449 0.00103583 0.00082096 0.00024834 0.        ]) 	 loss 2.920E-01 	 horizons 9.0
step 4860 	 return [0.         0.         0.00613456 0.00492599 0.00726088], ([0.         0.         0.00010261 0.00042574 0.00099075]) 	 loss 3.060E-01 	 horizons 9.0
step 4950 	 return [0.         0.00436568 0.0059129  0.00157169 0.00088361], ([0.         0.00235162 0.00120546 0.00147498 0.00186248]) 	 loss 2.856E-01 	 horizons 9.0
step 5040 	 return [0.         0.         0.0064358  0.00512533 0.00592649], ([0.         0.         0.00103908 0.00071245 0.00214444]) 	 loss 2.504E-01 	 horizons 9.0
step 5130 	 return [0.00303199 0.0029892  0.0005752  0.00103538 0.        ], ([5.1140069e-04 9.5789414e-04 5.9979353e-05 2.3360232e-04 0.0000000e+00]) 	 loss 2.736E-01 	 horizons 9.0
step 5220 	 return [0.00409399 0.00117956 0.00058264 0.00093194 0.        ], ([5.2478845e-04 5.3570373e-04 3.7796663e-06 1.4005779e-04 0.0000000e+00]) 	 loss 2.411E-01 	 horizons 9.0
step 5310 	 return [0.         0.00028794 0.00647194 0.00502619 0.00604433], ([0.         0.00086383 0.00100537 0.00083374 0.00223937]) 	 loss 2.403E-01 	 horizons 9.0
step 5400 	 return [0.         0.00426611 0.00641547 0.00119433 0.00015126], ([0.         0.00163934 0.0010867  0.00104255 0.00045378]) 	 loss 2.090E-01 	 horizons 9.0
step 5490 	 return [0.00420554 0.00149991 0.00058874 0.00100798 0.        ], ([3.4724863e-04 7.8609568e-04 1.1269144e-05 1.9025660e-04 0.0000000e+00]) 	 loss 2.060E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.677E-01 	 horizons 9.0
step 5670 	 return [0.         0.         0.00611643 0.00546698 0.0073868 ], ([0.0000000e+00 0.0000000e+00 1.4601189e-05 5.7647022e-04 5.5076351e-04]) 	 loss 1.868E-01 	 horizons 9.0
step 5760 	 return [0.00388401 0.00191801 0.00050003 0.00104475 0.        ], ([0.0007224  0.00102573 0.00013079 0.00045336 0.        ]) 	 loss 1.732E-01 	 horizons 9.0
step 5850 	 return [0.00381611 0.00172689 0.00056256 0.00092924 0.        ], ([8.0022088e-04 1.1711296e-03 8.1652586e-05 2.5779629e-04 0.0000000e+00]) 	 loss 1.987E-01 	 horizons 9.0
step 5940 	 return [0.         0.         0.0059653  0.00494336 0.00789546], ([0.         0.         0.00042472 0.00043869 0.00044431]) 	 loss 1.886E-01 	 horizons 9.0
step 6030 	 return [0.         0.         0.00611324 0.00534119 0.00750698], ([0.0000000e+00 0.0000000e+00 1.2744964e-05 5.0318445e-04 4.8074572e-04]) 	 loss 1.427E-01 	 horizons 9.0
step 6120 	 return [0.00364432 0.00356854 0.00057237 0.00099042 0.        ], ([3.2527739e-04 6.6551118e-04 7.6087184e-05 1.1845429e-04 0.0000000e+00]) 	 loss 1.556E-01 	 horizons 9.0
step 6210 	 return [0.         0.         0.00644687 0.00577491 0.00629221], ([0.         0.         0.00096427 0.00097284 0.0010001 ]) 	 loss 1.390E-01 	 horizons 9.0
step 6300 	 return [0.         0.         0.00419212 0.00399226 0.00917184], ([0.         0.         0.00103208 0.00174016 0.00312423]) 	 loss 9.940E-02 	 horizons 9.0
step 6390 	 return [0.         0.         0.00479734 0.00433191 0.00905057], ([0.         0.         0.00133577 0.00155738 0.0026857 ]) 	 loss 1.355E-01 	 horizons 9.0
step 6480 	 return [0.00385547 0.00324109 0.00051456 0.00087005 0.        ], ([0.00047257 0.00094969 0.00011256 0.00024273 0.        ]) 	 loss 1.170E-01 	 horizons 9.0
step 6570 	 return [0.         0.         0.00613236 0.00609596 0.00678586], ([0.0000000e+00 0.0000000e+00 1.2744964e-05 5.0318445e-04 4.8074572e-04]) 	 loss 9.536E-02 	 horizons 9.0
step 6660 	 return [0.         0.00020249 0.00614069 0.00501919 0.0064397 ], ([0.         0.00060748 0.00018361 0.0006189  0.00161118]) 	 loss 7.843E-02 	 horizons 9.0
step 6750 	 return [0.00442201 0.00119503 0.00055966 0.00090121 0.        ], ([1.9871118e-04 1.2685529e-04 7.0321010e-05 5.5046963e-05 0.0000000e+00]) 	 loss 6.732E-02 	 horizons 9.0
step 6840 	 return [0.00160657 0.00529064 0.00264546 0.00153342 0.        ], ([0.00087761 0.00119563 0.0010924  0.00041413 0.        ]) 	 loss 4.601E-02 	 horizons 9.0
step 6930 	 return [0.         0.00060748 0.0066037  0.0046212  0.00672886], ([0.         0.00092794 0.0009458  0.00091125 0.00126288]) 	 loss 5.898E-02 	 horizons 9.0
step 7020 	 return [0.00227932 0.00571554 0.00242248 0.00150496 0.        ], ([0.00088999 0.00125556 0.00105793 0.00057277 0.        ]) 	 loss 5.021E-02 	 horizons 9.0
step 7110 	 return [0.00306402 0.00488658 0.0011215  0.00133929 0.        ], ([0.00087759 0.00104845 0.0005755  0.00035005 0.        ]) 	 loss 6.872E-02 	 horizons 9.0
step 7200 	 return [0.         0.         0.00424856 0.00287444 0.01151831], ([0.         0.         0.00065469 0.00106615 0.0022454 ]) 	 loss 7.540E-02 	 horizons 9.0
step 7290 	 return [0.00295022 0.00472752 0.00122812 0.00152044 0.        ], ([0.00061202 0.00070956 0.00074923 0.00045287 0.        ]) 	 loss 7.934E-02 	 horizons 9.0
step 7380 	 return [0.00302315 0.00519786 0.00141974 0.00170434 0.        ], ([0.00075171 0.00047969 0.00050526 0.00017542 0.        ]) 	 loss 8.682E-02 	 horizons 9.0
step 7470 	 return [0.         0.0051381  0.0058356  0.00224703 0.00249828], ([0.         0.00286583 0.00110414 0.00177596 0.00306174]) 	 loss 8.656E-02 	 horizons 9.0
step 7560 	 return [0.0028366  0.0056744  0.00251458 0.00177392 0.        ], ([0.00060958 0.00067843 0.00034767 0.00044266 0.        ]) 	 loss 9.702E-02 	 horizons 9.0
step 7650 	 return [0.         0.         0.00613873 0.00634755 0.00654549], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 7.349E-02 	 horizons 9.0
step 7740 	 return [0.00349879 0.00475401 0.00155003 0.00161435 0.        ], ([2.8043776e-04 3.1320032e-04 4.6590494e-04 9.8828066e-05 0.0000000e+00]) 	 loss 6.041E-02 	 horizons 9.0
step 7830 	 return [0.00317353 0.00491577 0.00220007 0.00167018 0.        ], ([0.00054896 0.0008164  0.00037448 0.00015743 0.        ]) 	 loss 7.219E-02 	 horizons 9.0
step 7920 	 return [0.00339169 0.00505449 0.00191425 0.00185987 0.        ], ([2.7130858e-05 1.0401109e-04 5.3494039e-04 2.4788285e-04 0.0000000e+00]) 	 loss 6.773E-02 	 horizons 9.0
step 8010 	 return [0.00214246 0.00625534 0.00237741 0.00193752 0.        ], ([0.00091859 0.00083729 0.00043834 0.00029796 0.        ]) 	 loss 5.915E-02 	 horizons 9.0
step 8100 	 return [0.00397656 0.00387178 0.0006179  0.00080002 0.        ], ([0.00039028 0.0001206  0.00018989 0.00024539 0.        ]) 	 loss 7.481E-02 	 horizons 9.0
step 8190 	 return [0.         0.00355377 0.00676288 0.00312553 0.00617351], ([0.0000000e+00 5.0961174e-04 2.9255641e-05 1.8820366e-04 1.5282028e-05]) 	 loss 6.977E-02 	 horizons 9.0
step 8280 	 return [0.         0.00305016 0.00672921 0.00329915 0.0061589 ], ([0.0000000e+00 8.2488701e-04 5.3630862e-05 2.9039464e-04 2.4156067e-05]) 	 loss 6.793E-02 	 horizons 9.0
step 8370 	 return [0.         0.         0.00469122 0.00416671 0.00927911], ([0.         0.         0.00109245 0.00048735 0.002755  ]) 	 loss 5.953E-02 	 horizons 9.0
step 8460 	 return [0.         0.00407597 0.00643954 0.00287372 0.00556074], ([0.         0.00105699 0.00099928 0.00056722 0.00185358]) 	 loss 5.878E-02 	 horizons 9.0
step 8550 	 return [0.         0.         0.00613555 0.00622176 0.00666568], ([0.0000000e+00 0.0000000e+00 9.5587229e-06 3.7738832e-04 3.6055932e-04]) 	 loss 4.868E-02 	 horizons 9.0
step 8640 	 return [0.         0.         0.00613873 0.00634755 0.00654549], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 3.399E-02 	 horizons 9.0
step 8730 	 return [0.         0.         0.00403337 0.00311418 0.01244484], ([0.         0.         0.00029817 0.00111906 0.00131478]) 	 loss 3.053E-02 	 horizons 9.0
step 8820 	 return [0.         0.         0.00399134 0.00160868 0.01413595], ([0.         0.         0.00026929 0.0007452  0.0008627 ]) 	 loss 3.228E-02 	 horizons 9.0
step 8910 	 return [0.         0.         0.00610687 0.00508959 0.00774736], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 2.487E-02 	 horizons 9.0
step 9000 	 return [0.         0.         0.00421409 0.00382353 0.01162316], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 9.313226e-10]) 	 loss 2.284E-02 	 horizons 9.0
step 9090 	 return [0.00210832 0.00645212 0.00312368 0.00183553 0.        ], ([0.00054829 0.00111751 0.00088187 0.00045765 0.        ]) 	 loss 2.678E-02 	 horizons 9.0
step 9180 	 return [0.00307529 0.0055575  0.00239257 0.00199342 0.        ], ([0.00033991 0.000578   0.00031235 0.00022694 0.        ]) 	 loss 2.770E-02 	 horizons 9.0
