/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xyybovdw
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_082955-xyybovdw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-spatial__42__1781504994
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/xyybovdw
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-spatial', wandb_entity=None)
step 990 	 return [0.00054492 0.00122016 0.00119692 0.00154956 0.00122161], ([0.00085687 0.00164271 0.00140267 0.00165437 0.00253473]) 	 loss 2.029E+00 	 horizons 9.0
step 1080 	 return [0.00016068 0.00207028 0.00096737 0.0014987  0.00066664], ([0.00048204 0.00232925 0.00084537 0.00126969 0.00199993]) 	 loss 1.868E+00 	 horizons 9.0
step 1170 	 return [0.00013246 0.00132709 0.00118615 0.00065046 0.00053153], ([0.00039737 0.00101519 0.00181557 0.00056232 0.0015946 ]) 	 loss 1.416E+00 	 horizons 9.0
step 1260 	 return [0.00112621 0.00114493 0.00045117 0.00094184 0.00016807], ([0.00082514 0.0018542  0.0002932  0.0007551  0.00050421]) 	 loss 1.199E+00 	 horizons 9.0
step 1350 	 return [0.         0.00148979 0.00194221 0.00190678 0.00142781], ([0.         0.00191264 0.00119532 0.00117671 0.00177341]) 	 loss 1.122E+00 	 horizons 9.0
step 1440 	 return [0.         0.00185119 0.00047248 0.00070772 0.        ], ([0.         0.00182551 0.00037634 0.0008207  0.        ]) 	 loss 1.081E+00 	 horizons 9.0
step 1530 	 return [0.         0.00012111 0.00354228 0.00332934 0.00445521], ([0.         0.00036333 0.0022294  0.0015979  0.0028198 ]) 	 loss 1.076E+00 	 horizons 9.0
step 1620 	 return [0.         0.         0.0033901  0.0033071  0.00697309], ([0.         0.         0.00134038 0.00096578 0.00238398]) 	 loss 1.032E+00 	 horizons 9.0
step 1710 	 return [0.00039186 0.00192288 0.00042016 0.0004814  0.        ], ([0.00083069 0.00187516 0.00039423 0.00035397 0.        ]) 	 loss 9.980E-01 	 horizons 9.0
step 1800 	 return [0.         0.         0.00491508 0.00452735 0.00553596], ([0.         0.         0.00105938 0.00181507 0.00128699]) 	 loss 9.803E-01 	 horizons 9.0
step 1890 	 return [0.00146692 0.00147818 0.00042746 0.00089674 0.00041008], ([0.00125275 0.0021261  0.00017499 0.00099444 0.00123024]) 	 loss 9.351E-01 	 horizons 9.0
step 1980 	 return [0.         0.00133055 0.00337139 0.00190303 0.00173827], ([0.         0.00108184 0.0017225  0.00165074 0.0027385 ]) 	 loss 9.357E-01 	 horizons 9.0
step 2070 	 return [0.0003301  0.00481275 0.00326427 0.00102213 0.        ], ([0.00071228 0.0020946  0.0013472  0.00059397 0.        ]) 	 loss 9.207E-01 	 horizons 9.0
