/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run wk304mjk
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_083124-wk304mjk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-spatial__789__1781505084
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/wk304mjk
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-spatial', wandb_entity=None)
step 990 	 return [0.         0.00267865 0.00133503 0.00110756 0.00048134], ([0.         0.00214305 0.00220884 0.0012094  0.00144403]) 	 loss 2.040E+00 	 horizons 9.0
step 1080 	 return [0.00019931 0.00153641 0.00088348 0.00126791 0.00068148], ([0.00040326 0.00135254 0.00066345 0.00125373 0.00204444]) 	 loss 1.900E+00 	 horizons 9.0
step 1170 	 return [0.00012009 0.00079128 0.00170252 0.00245875 0.00168102], ([0.00036027 0.00090624 0.00154145 0.00135287 0.00308205]) 	 loss 1.485E+00 	 horizons 9.0
step 1260 	 return [0.00023654 0.00092057 0.00202006 0.00307049 0.00337352], ([0.00070963 0.00152939 0.00181693 0.0017844  0.00366946]) 	 loss 1.242E+00 	 horizons 9.0
step 1350 	 return [0.00045693 0.00197466 0.00140315 0.00174007 0.00204819], ([0.00093227 0.00206632 0.00170832 0.00193542 0.00317688]) 	 loss 1.167E+00 	 horizons 9.0
step 1440 	 return [0.0005224  0.00261992 0.00098671 0.00059162 0.        ], ([0.0012235  0.00260945 0.00115807 0.00033516 0.        ]) 	 loss 1.066E+00 	 horizons 9.0
step 1530 	 return [0.00092602 0.00434903 0.00187222 0.00142664 0.00046129], ([0.00143055 0.00209873 0.00181667 0.00144521 0.00138388]) 	 loss 1.083E+00 	 horizons 9.0
step 1620 	 return [0.         0.         0.00244559 0.00339519 0.00652611], ([0.         0.         0.00216973 0.00095912 0.00282193]) 	 loss 1.014E+00 	 horizons 9.0
step 1710 	 return [0.00121877 0.0023205  0.00031537 0.00031682 0.        ], ([1.3267159e-03 1.1041292e-03 6.2472551e-05 2.2444755e-04 0.0000000e+00]) 	 loss 1.001E+00 	 horizons 9.0
step 1800 	 return [0.         0.         0.00483039 0.00547488 0.00633268], ([0.         0.         0.00131649 0.00041857 0.00120289]) 	 loss 1.003E+00 	 horizons 9.0
step 1890 	 return [0.         0.00491688 0.0031203  0.00167893 0.00079096], ([0.         0.00284946 0.00200782 0.00164322 0.0016128 ]) 	 loss 9.520E-01 	 horizons 9.0
step 1980 	 return [0.0016521  0.00340723 0.00043753 0.00062856 0.        ], ([0.00126932 0.00195289 0.00010725 0.00035655 0.        ]) 	 loss 9.181E-01 	 horizons 9.0
step 2070 	 return [0.00019043 0.00380411 0.00237552 0.00147991 0.00097572], ([0.0005713  0.00277216 0.00186798 0.00142556 0.00195386]) 	 loss 8.906E-01 	 horizons 9.0
step 2160 	 return [0.         0.         0.00450463 0.00462156 0.00592186], ([0.         0.         0.00142165 0.00172485 0.00155047]) 	 loss 8.627E-01 	 horizons 9.0
step 2250 	 return [0.         0.00174056 0.00522937 0.00288367 0.00287214], ([0.         0.00192847 0.00125753 0.00184062 0.00292377]) 	 loss 8.382E-01 	 horizons 9.0
