/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ojn78sf8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_083211-ojn78sf8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-spatiotemporal__1024__1781505131
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/ojn78sf8
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-spatiotemporal', wandb_entity=None)
step 990 	 return [0.         0.00102011 0.00122254 0.00080813 0.        ], ([0.         0.00133309 0.00236575 0.0012694  0.        ]) 	 loss 2.053E+00 	 horizons 9.0
step 1080 	 return [0.         0.00257237 0.00224161 0.00091884 0.00091937], ([0.         0.0024712  0.00294229 0.00094084 0.00193843]) 	 loss 1.827E+00 	 horizons 9.0
step 1170 	 return [0.00027003 0.00265745 0.00290993 0.00160079 0.0008918 ], ([0.00081009 0.00273562 0.00281333 0.00176439 0.00179044]) 	 loss 1.328E+00 	 horizons 9.0
step 1260 	 return [0.0000000e+00 4.4421387e-05 2.8247631e-03 2.6304692e-03 3.6710061e-03], ([0.         0.00013326 0.00227398 0.00127162 0.00242622]) 	 loss 1.184E+00 	 horizons 9.0
step 1350 	 return [0.00058666 0.00279505 0.00122316 0.00128029 0.00103368], ([0.0014379  0.00261518 0.00163445 0.00121878 0.00234994]) 	 loss 1.101E+00 	 horizons 9.0
step 1440 	 return [0.         0.00033605 0.00588522 0.00447703 0.0048585 ], ([0.         0.00069331 0.00165333 0.00100409 0.00260058]) 	 loss 1.062E+00 	 horizons 9.0
step 1530 	 return [0.         0.00015325 0.00557538 0.00403041 0.00464104], ([0.         0.00036646 0.0014127  0.00157719 0.00288527]) 	 loss 9.816E-01 	 horizons 9.0
step 1620 	 return [0.         0.00233253 0.00618878 0.00307877 0.00164457], ([0.         0.00307188 0.00148424 0.00217899 0.0025604 ]) 	 loss 9.225E-01 	 horizons 9.0
step 1710 	 return [0.00025955 0.00482573 0.0016981  0.00092851 0.        ], ([0.00040395 0.00172785 0.00117079 0.00023952 0.        ]) 	 loss 9.233E-01 	 horizons 9.0
step 1800 	 return [0.         0.00033209 0.00647148 0.00377528 0.00382721], ([0.         0.00085731 0.00184316 0.00211669 0.00276475]) 	 loss 9.381E-01 	 horizons 9.0
step 1890 	 return [0.         0.00051494 0.00718805 0.00482746 0.00318523], ([0.         0.00118503 0.00141298 0.00174876 0.00273386]) 	 loss 8.822E-01 	 horizons 9.0
step 1980 	 return [0.         0.00012154 0.0062934  0.0050477  0.00436413], ([0.         0.00036463 0.00183608 0.00142871 0.00249865]) 	 loss 8.248E-01 	 horizons 9.0
step 2070 	 return [0.         0.00407998 0.00641999 0.00103528 0.        ], ([0.         0.00224688 0.00180345 0.00055716 0.        ]) 	 loss 8.240E-01 	 horizons 9.0
