/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run q1l44deo
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_083139-q1l44deo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-spatiotemporal__42__1781505099
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/q1l44deo
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-spatiotemporal', wandb_entity=None)
step 990 	 return [0.00036059 0.00131602 0.00097911 0.00123717 0.00126838], ([0.00070957 0.00173805 0.00173891 0.00154553 0.00264402]) 	 loss 2.032E+00 	 horizons 9.0
step 1080 	 return [0.00010126 0.00213054 0.00096257 0.00105667 0.00019986], ([0.00030378 0.00261449 0.0015257  0.00122081 0.00059957]) 	 loss 1.843E+00 	 horizons 9.0
step 1170 	 return [0.00027167 0.00121623 0.00165587 0.00167442 0.00086808], ([0.00081501 0.00150845 0.00241357 0.00138354 0.00216264]) 	 loss 1.401E+00 	 horizons 9.0
step 1260 	 return [0.         0.         0.00265155 0.00388586 0.00553254], ([0.         0.         0.00161197 0.00136882 0.00361743]) 	 loss 1.206E+00 	 horizons 9.0
step 1350 	 return [0.         0.00143513 0.00286554 0.00171608 0.00172939], ([0.         0.00181861 0.00245812 0.00161434 0.00277939]) 	 loss 1.138E+00 	 horizons 9.0
step 1440 	 return [0.         0.         0.00496408 0.00354649 0.00688936], ([0.         0.         0.00168163 0.00088265 0.00275378]) 	 loss 1.100E+00 	 horizons 9.0
step 1530 	 return [0.         0.         0.00427676 0.0044277  0.00713804], ([0.         0.         0.00119951 0.00117069 0.00235036]) 	 loss 1.028E+00 	 horizons 9.0
step 1620 	 return [0.         0.00292076 0.00471883 0.00173438 0.00128982], ([0.         0.00274234 0.00234627 0.00144346 0.00289287]) 	 loss 9.851E-01 	 horizons 9.0
step 1710 	 return [0.         0.00294483 0.00211361 0.00120039 0.00126035], ([0.         0.00263049 0.00208284 0.00130578 0.00267445]) 	 loss 9.681E-01 	 horizons 9.0
step 1800 	 return [0.         0.         0.005245   0.00464106 0.00604228], ([0.         0.         0.00099386 0.00125447 0.00213863]) 	 loss 9.593E-01 	 horizons 9.0
step 1890 	 return [0.         0.00035856 0.0059726  0.00457833 0.00349262], ([0.         0.00071829 0.00133597 0.00175065 0.0021678 ]) 	 loss 9.105E-01 	 horizons 9.0
step 1980 	 return [0.         0.         0.00393274 0.0046356  0.00755726], ([0.         0.         0.0012769  0.00104948 0.00295471]) 	 loss 8.785E-01 	 horizons 9.0
step 2070 	 return [0.         0.00076764 0.00643695 0.00342212 0.00297419], ([0.         0.00120945 0.00067856 0.00167883 0.00225888]) 	 loss 8.054E-01 	 horizons 9.0
step 2160 	 return [0.00079086 0.00140507 0.00055363 0.00063265 0.        ], ([0.00133348 0.00151379 0.00083567 0.00037537 0.        ]) 	 loss 8.350E-01 	 horizons 9.0
step 2250 	 return [0.         0.0015598  0.00552773 0.00183635 0.00029638], ([0.         0.00155447 0.00134765 0.00126501 0.00059424]) 	 loss 8.105E-01 	 horizons 9.0
step 2340 	 return [0.         0.         0.00497739 0.00462842 0.00797495], ([0.         0.         0.00130743 0.00095342 0.0013808 ]) 	 loss 7.422E-01 	 horizons 9.0
step 2430 	 return [0.0011617  0.00384274 0.00051665 0.00058365 0.        ], ([0.00112536 0.00265784 0.000271   0.00032259 0.        ]) 	 loss 7.368E-01 	 horizons 9.0
step 2520 	 return [0.         0.00622932 0.00242739 0.00088547 0.        ], ([0.         0.00119652 0.00168161 0.00056919 0.        ]) 	 loss 7.184E-01 	 horizons 9.0
step 2610 	 return [0.         0.         0.00609642 0.00509363 0.00728942], ([0.0000000e+00 0.0000000e+00 3.1362564e-05 1.2117858e-05 1.3738215e-03]) 	 loss 7.076E-01 	 horizons 9.0
step 2700 	 return [0.         0.00082634 0.00690836 0.00240575 0.00030252], ([0.         0.00098479 0.00091921 0.00114541 0.00060504]) 	 loss 6.617E-01 	 horizons 9.0
step 2790 	 return [0.         0.00296759 0.00607013 0.00168249 0.00013883], ([0.         0.00295448 0.00153305 0.00130969 0.00041649]) 	 loss 6.521E-01 	 horizons 9.0
step 2880 	 return [0.         0.         0.00635155 0.00514745 0.00609788], ([0.         0.         0.0005298  0.0004595  0.00182629]) 	 loss 6.414E-01 	 horizons 9.0
step 2970 	 return [0.         0.         0.00606721 0.00493561 0.00757536], ([0.         0.         0.00011895 0.00046179 0.00051382]) 	 loss 6.015E-01 	 horizons 9.0
step 3060 	 return [0.         0.         0.00421408 0.00546415 0.00713866], ([0.         0.         0.00124715 0.00072543 0.00099237]) 	 loss 5.717E-01 	 horizons 9.0
step 3150 	 return [0.         0.         0.00607381 0.00524173 0.00558186], ([0.0000000e+00 0.0000000e+00 7.3322961e-05 4.9193704e-04 1.3291305e-03]) 	 loss 5.213E-01 	 horizons 9.0
step 3240 	 return [0.         0.00369333 0.00646732 0.00118373 0.        ], ([0.         0.00225216 0.00131154 0.0003625  0.        ]) 	 loss 5.172E-01 	 horizons 9.0
step 3330 	 return [0.         0.00538637 0.0042321  0.00087503 0.        ], ([0.         0.00176183 0.00179755 0.00044913 0.        ]) 	 loss 5.169E-01 	 horizons 9.0
step 3420 	 return [0.00157411 0.00357246 0.0004933  0.00064897 0.        ], ([0.00094551 0.00183206 0.00020241 0.00033348 0.        ]) 	 loss 5.086E-01 	 horizons 9.0
step 3510 	 return [0.         0.00217241 0.00732662 0.00150829 0.        ], ([0.         0.00177532 0.00054263 0.00084087 0.        ]) 	 loss 4.817E-01 	 horizons 9.0
step 3600 	 return [0.00146824 0.00317754 0.00030322 0.00032934 0.        ], ([6.7274948e-04 8.7122683e-04 3.1507552e-05 2.2445516e-04 0.0000000e+00]) 	 loss 4.268E-01 	 horizons 9.0
step 3690 	 return [0.00116057 0.00509973 0.00057602 0.00075971 0.        ], ([0.00110196 0.00209847 0.00028239 0.00031594 0.        ]) 	 loss 4.416E-01 	 horizons 9.0
step 3780 	 return [0.         0.00025191 0.00722458 0.00360502 0.00163395], ([0.         0.00056919 0.00072438 0.00127587 0.0017541 ]) 	 loss 4.417E-01 	 horizons 9.0
step 3870 	 return [0.00053264 0.00624802 0.00166891 0.00077435 0.        ], ([0.00091646 0.00255969 0.00163916 0.00045739 0.        ]) 	 loss 4.148E-01 	 horizons 9.0
step 3960 	 return [0.         0.         0.00635168 0.00518509 0.00709598], ([0.         0.         0.00087462 0.00092195 0.00147431]) 	 loss 3.976E-01 	 horizons 9.0
step 4050 	 return [0.00010519 0.00678969 0.00301455 0.00074491 0.        ], ([0.00031556 0.00156382 0.00144198 0.00034477 0.        ]) 	 loss 3.996E-01 	 horizons 9.0
step 4140 	 return [0.         0.         0.00348762 0.00512979 0.0071229 ], ([0.         0.         0.00018046 0.0008542  0.00215855]) 	 loss 3.949E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.0060931  0.0046491  0.00820732], ([0.0000000e+00 0.0000000e+00 4.1313840e-05 1.3214839e-03 1.3798791e-03]) 	 loss 3.710E-01 	 horizons 9.0
step 4320 	 return [0.         0.00697756 0.0044453  0.00121444 0.        ], ([0.         0.00213924 0.00162323 0.00024256 0.        ]) 	 loss 3.424E-01 	 horizons 9.0
