/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kbp3y596
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073423-kbp3y596
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-temporal__1024__1781501662
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kbp3y596
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-temporal', wandb_entity=None)
step 990 	 return [0.         0.00048176 0.00079673 0.00119493 0.        ], ([0.         0.00079836 0.00119093 0.00148586 0.        ]) 	 loss 2.019E+00 	 horizons 9.0
step 1080 	 return [0.00041984 0.00121464 0.00152613 0.00129631 0.        ], ([0.00095761 0.00126189 0.00218895 0.00143499 0.        ]) 	 loss 1.879E+00 	 horizons 9.0
step 1170 	 return [0.00023178 0.00190131 0.00236993 0.00143635 0.0003774 ], ([0.00069535 0.002042   0.00296713 0.00139072 0.0007759 ]) 	 loss 1.461E+00 	 horizons 9.0
step 1260 	 return [0.00033227 0.00122298 0.00156147 0.00156863 0.0013911 ], ([0.0005394  0.00166702 0.00171356 0.00076957 0.00172082]) 	 loss 1.244E+00 	 horizons 9.0
step 1350 	 return [0.00024575 0.00215214 0.00140538 0.0019811  0.00235716], ([0.00073724 0.00227386 0.0013488  0.00164066 0.00309088]) 	 loss 1.160E+00 	 horizons 9.0
step 1440 	 return [0.00068648 0.00082765 0.0003969  0.00083578 0.        ], ([0.00137543 0.00109247 0.00032948 0.00122154 0.        ]) 	 loss 1.098E+00 	 horizons 9.0
step 1530 	 return [0.0007129  0.0024903  0.0005026  0.00046445 0.        ], ([0.00109478 0.00278375 0.00034999 0.00034334 0.        ]) 	 loss 1.067E+00 	 horizons 9.0
step 1620 	 return [0.         0.0026586  0.00238876 0.00155445 0.0013244 ], ([0.         0.00313345 0.00194169 0.00109098 0.00206674]) 	 loss 1.033E+00 	 horizons 9.0
step 1710 	 return [0.         0.0002632  0.00124487 0.00309333 0.00124292], ([0.         0.00057898 0.00112276 0.0009464  0.0017251 ]) 	 loss 1.003E+00 	 horizons 9.0
step 1800 	 return [0.         0.         0.00476846 0.00265958 0.00552848], ([0.         0.         0.00234094 0.00083769 0.00232495]) 	 loss 1.009E+00 	 horizons 9.0
step 1890 	 return [0.00173656 0.00202144 0.00038936 0.00044816 0.        ], ([0.00126366 0.00131158 0.00013528 0.00031853 0.        ]) 	 loss 9.938E-01 	 horizons 9.0
step 1980 	 return [0.         0.         0.00562786 0.00300353 0.00492586], ([0.         0.         0.00237241 0.00103918 0.00295826]) 	 loss 9.518E-01 	 horizons 9.0
step 2070 	 return [0.         0.         0.00493956 0.00330831 0.00502881], ([0.         0.         0.00217363 0.00142547 0.00262811]) 	 loss 9.281E-01 	 horizons 9.0
step 2160 	 return [0.00249342 0.00269833 0.00043692 0.00077569 0.        ], ([0.00140633 0.00119993 0.0001038  0.00035594 0.        ]) 	 loss 8.891E-01 	 horizons 9.0
step 2250 	 return [0.00233313 0.00291979 0.00069491 0.00074117 0.        ], ([0.00167116 0.0022803  0.0007122  0.00027235 0.        ]) 	 loss 8.792E-01 	 horizons 9.0
step 2340 	 return [0.         0.         0.00540561 0.00311476 0.00616315], ([0.         0.         0.00270824 0.00127937 0.00376234]) 	 loss 8.581E-01 	 horizons 9.0
step 2430 	 return [0.         0.         0.00397907 0.00323722 0.00366653], ([0.         0.         0.00053389 0.00103066 0.00307929]) 	 loss 8.363E-01 	 horizons 9.0
step 2520 	 return [0.00020149 0.0003478  0.0028845  0.00353426 0.00177351], ([0.00060447 0.00070405 0.00185519 0.00120397 0.00272156]) 	 loss 8.378E-01 	 horizons 9.0
step 2610 	 return [0.         0.00092324 0.00634316 0.00173056 0.00164935], ([0.         0.00094982 0.00180689 0.00099768 0.00329976]) 	 loss 8.120E-01 	 horizons 9.0
step 2700 	 return [0.         0.00053732 0.00744832 0.00248302 0.00084336], ([0.         0.00060655 0.00142988 0.00107816 0.00253009]) 	 loss 7.820E-01 	 horizons 9.0
step 2790 	 return [0.         0.00110924 0.00595237 0.00271994 0.00205711], ([0.         0.00161111 0.0012348  0.00167947 0.00297714]) 	 loss 7.504E-01 	 horizons 9.0
step 2880 	 return [0.         0.         0.00558132 0.00414592 0.00581202], ([0.         0.         0.0012159  0.0014055  0.00175584]) 	 loss 7.527E-01 	 horizons 9.0
step 2970 	 return [0.         0.00554436 0.00233039 0.00092824 0.        ], ([0.         0.00191909 0.00094182 0.00036862 0.        ]) 	 loss 7.253E-01 	 horizons 9.0
step 3060 	 return [0.00273505 0.00256865 0.00051597 0.00095249 0.        ], ([0.00110399 0.00200676 0.00010404 0.00026668 0.        ]) 	 loss 7.200E-01 	 horizons 9.0
