/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run dckh4iwe
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073415-dckh4iwe
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-temporal__456__1781501654
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/dckh4iwe
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-temporal', wandb_entity=None)
step 990 	 return [7.6655379e-05 6.0082745e-04 1.2980254e-03 1.7694703e-03 1.3704074e-03], ([0.00022997 0.00074365 0.00144055 0.00135431 0.00212524]) 	 loss 2.016E+00 	 horizons 9.0
step 1080 	 return [0.00032243 0.00257267 0.00110628 0.00151269 0.00126022], ([0.00065463 0.00288343 0.00131586 0.0018425  0.00257383]) 	 loss 1.853E+00 	 horizons 9.0
step 1170 	 return [0.00013852 0.00097176 0.00409421 0.00224334 0.00140433], ([0.00041557 0.00128124 0.00348681 0.00172326 0.00219823]) 	 loss 1.416E+00 	 horizons 9.0
step 1260 	 return [0.00023232 0.00269312 0.00343013 0.00273072 0.00087428], ([0.00069696 0.00279762 0.00402668 0.00164512 0.00211925]) 	 loss 1.183E+00 	 horizons 9.0
step 1350 	 return [0.00023193 0.00230196 0.00101172 0.00072027 0.        ], ([0.00046611 0.00186497 0.00128669 0.00051903 0.        ]) 	 loss 1.132E+00 	 horizons 9.0
step 1440 	 return [0.         0.00331194 0.00363663 0.00127574 0.00067738], ([0.         0.00251006 0.00236894 0.00130196 0.00203213]) 	 loss 1.077E+00 	 horizons 9.0
step 1530 	 return [0.0000000e+00 8.3883155e-05 5.2786078e-03 4.1271304e-03 3.9750477e-03], ([0.         0.00025165 0.00193837 0.00117816 0.00253417]) 	 loss 1.041E+00 	 horizons 9.0
step 1620 	 return [0.         0.00042177 0.00809594 0.00500163 0.0018205 ], ([0.         0.00068052 0.00166121 0.0014704  0.00278138]) 	 loss 1.056E+00 	 horizons 9.0
step 1710 	 return [0.00022201 0.00436469 0.00224989 0.00168981 0.00051689], ([0.00066603 0.00339229 0.00135009 0.00153797 0.00155068]) 	 loss 9.903E-01 	 horizons 9.0
step 1800 	 return [0.00030259 0.00320723 0.00122435 0.00168198 0.0009794 ], ([0.00090777 0.00275981 0.00107239 0.00135563 0.00197267]) 	 loss 9.639E-01 	 horizons 9.0
step 1890 	 return [0.         0.00225347 0.00576506 0.00140071 0.        ], ([0.         0.00168559 0.00220855 0.00117059 0.        ]) 	 loss 9.573E-01 	 horizons 9.0
step 1980 	 return [0.         0.         0.00392861 0.00405028 0.00526562], ([0.         0.         0.00159776 0.00125156 0.00211572]) 	 loss 9.142E-01 	 horizons 9.0
step 2070 	 return [0.         0.         0.00563194 0.00519179 0.00454203], ([0.         0.         0.00106484 0.00103102 0.00170447]) 	 loss 9.145E-01 	 horizons 9.0
step 2160 	 return [0.         0.00227095 0.00834584 0.00176633 0.        ], ([0.         0.00103359 0.00135219 0.00126327 0.        ]) 	 loss 8.886E-01 	 horizons 9.0
step 2250 	 return [0.         0.         0.00428054 0.00396572 0.00534783], ([0.         0.         0.00112601 0.00108189 0.00183631]) 	 loss 8.414E-01 	 horizons 9.0
step 2340 	 return [0.         0.         0.00421333 0.00373511 0.00592582], ([0.         0.         0.00092109 0.0005218  0.00141185]) 	 loss 8.062E-01 	 horizons 9.0
step 2430 	 return [0.00055041 0.00561771 0.00321404 0.00119826 0.        ], ([0.00112538 0.001648   0.00186673 0.00042678 0.        ]) 	 loss 7.623E-01 	 horizons 9.0
step 2520 	 return [0.         0.00049632 0.00835355 0.00602451 0.00059681], ([0.         0.00079561 0.00158169 0.00142645 0.00179044]) 	 loss 7.313E-01 	 horizons 9.0
step 2610 	 return [0.         0.00537667 0.00230537 0.001232   0.00054485], ([0.         0.00200277 0.00101613 0.00077695 0.00163454]) 	 loss 6.740E-01 	 horizons 9.0
step 2700 	 return [0.         0.00067519 0.00904184 0.00455891 0.        ], ([0.         0.00070953 0.00129621 0.001198   0.        ]) 	 loss 7.050E-01 	 horizons 9.0
step 2790 	 return [0.         0.         0.00465108 0.00455707 0.00609598], ([0.         0.         0.00113037 0.00093923 0.00157019]) 	 loss 6.628E-01 	 horizons 9.0
step 2880 	 return [0.         0.00541416 0.00315856 0.00115773 0.        ], ([0.         0.00207929 0.00090098 0.00041005 0.        ]) 	 loss 6.014E-01 	 horizons 9.0
step 2970 	 return [0.         0.         0.00367446 0.0033776  0.00632767], ([0.         0.         0.00112272 0.00064603 0.0013765 ]) 	 loss 6.115E-01 	 horizons 9.0
step 3060 	 return [0.         0.00098388 0.00879277 0.00633046 0.00238725], ([0.         0.00132085 0.00222133 0.00132644 0.00292377]) 	 loss 5.612E-01 	 horizons 9.0
step 3150 	 return [0.         0.00249518 0.00739437 0.00091908 0.        ], ([0.         0.00114874 0.0012514  0.00057409 0.        ]) 	 loss 5.421E-01 	 horizons 9.0
step 3240 	 return [0.         0.00058977 0.00948932 0.00599031 0.        ], ([0.         0.00090089 0.00118072 0.00071707 0.        ]) 	 loss 5.317E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00394355 0.00366439 0.00704981], ([0.         0.         0.00111989 0.00086422 0.00197126]) 	 loss 4.936E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00403281 0.0039454  0.00634837], ([0.         0.         0.00082523 0.00085501 0.00190804]) 	 loss 5.107E-01 	 horizons 9.0
step 3510 	 return [0.         0.         0.0038782  0.00395354 0.00634444], ([0.         0.         0.00055872 0.00096976 0.00170659]) 	 loss 4.924E-01 	 horizons 9.0
step 3600 	 return [0.         0.00132936 0.01031679 0.0053203  0.        ], ([0.         0.00111927 0.00096139 0.00126494 0.        ]) 	 loss 4.717E-01 	 horizons 9.0
step 3690 	 return [0.         0.         0.00413222 0.0036369  0.00688587], ([0.         0.         0.00102831 0.00075136 0.0025809 ]) 	 loss 4.519E-01 	 horizons 9.0
step 3780 	 return [0.00032782 0.00653701 0.0036651  0.00128367 0.        ], ([0.00070437 0.00114415 0.00157958 0.0002885  0.        ]) 	 loss 4.509E-01 	 horizons 9.0
step 3870 	 return [0.00147243 0.00627005 0.00202629 0.00126119 0.        ], ([0.00097229 0.00119804 0.00072761 0.00037193 0.        ]) 	 loss 4.585E-01 	 horizons 9.0
step 3960 	 return [0.         0.00530782 0.00598014 0.00139917 0.        ], ([0.         0.00113024 0.00121374 0.00057509 0.        ]) 	 loss 4.220E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00847147 0.00653531 0.00059681], ([0.         0.         0.00120492 0.00068161 0.00179044]) 	 loss 4.275E-01 	 horizons 9.0
step 4140 	 return [0.         0.         0.00550086 0.00491962 0.00571674], ([0.         0.         0.00110401 0.00083327 0.00085994]) 	 loss 3.744E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.00488083 0.00288302 0.00663659], ([0.         0.         0.00049808 0.00063052 0.00085295]) 	 loss 3.654E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00401933 0.00387547 0.00721093], ([0.         0.         0.00090717 0.00082991 0.00167484]) 	 loss 3.513E-01 	 horizons 9.0
step 4410 	 return [0.         0.         0.00392712 0.003419   0.00751429], ([0.         0.         0.00080619 0.00068049 0.00145411]) 	 loss 3.107E-01 	 horizons 9.0
step 4500 	 return [0.         0.00176956 0.01092615 0.005198   0.        ], ([0.         0.00058985 0.00057395 0.0008174  0.        ]) 	 loss 3.289E-01 	 horizons 9.0
step 4590 	 return [0.         0.         0.00620061 0.00605954 0.00492947], ([0.         0.         0.00040227 0.0013502  0.00175989]) 	 loss 2.760E-01 	 horizons 9.0
step 4680 	 return [0.00064656 0.00675084 0.00162595 0.00130966 0.        ], ([0.00092639 0.00108137 0.00086266 0.00023489 0.        ]) 	 loss 2.876E-01 	 horizons 9.0
step 4770 	 return [0.00015175 0.00162996 0.00117072 0.00302943 0.00040716], ([0.00023682 0.00065857 0.00078862 0.00073575 0.00122148]) 	 loss 2.595E-01 	 horizons 9.0
step 4860 	 return [0.         0.         0.00525836 0.00411292 0.00655695], ([0.         0.         0.00108284 0.00111831 0.00171125]) 	 loss 2.768E-01 	 horizons 9.0
step 4950 	 return [0.         0.         0.00380682 0.00420907 0.00793492], ([0.         0.         0.00067143 0.00070614 0.00231856]) 	 loss 2.983E-01 	 horizons 9.0
step 5040 	 return [0.         0.00585363 0.00582975 0.00168454 0.        ], ([0.         0.00096171 0.0012296  0.000445   0.        ]) 	 loss 2.921E-01 	 horizons 9.0
step 5130 	 return [0.         0.00059003 0.01031624 0.00482946 0.        ], ([0.         0.00090128 0.0009309  0.00124619 0.        ]) 	 loss 2.601E-01 	 horizons 9.0
step 5220 	 return [0.         0.00777399 0.00372255 0.00194274 0.        ], ([0.         0.00147678 0.00103884 0.00030076 0.        ]) 	 loss 2.701E-01 	 horizons 9.0
step 5310 	 return [0.         0.         0.00470685 0.00423887 0.00715426], ([0.         0.         0.00122084 0.00080585 0.00130008]) 	 loss 2.886E-01 	 horizons 9.0
step 5400 	 return [0.         0.         0.00520899 0.00479016 0.00612467], ([0.         0.         0.00123322 0.00089982 0.00106473]) 	 loss 2.935E-01 	 horizons 9.0
step 5490 	 return [0.         0.         0.00614473 0.00698739 0.005864  ], ([0.0000000e+00 0.0000000e+00 6.2134641e-05 1.0792568e-03 3.8120267e-04]) 	 loss 2.503E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.00698597 0.00641962 0.00132193], ([0.         0.         0.00083547 0.00108602 0.00266187]) 	 loss 2.227E-01 	 horizons 9.0
step 5670 	 return [0.00022483 0.00765951 0.00296354 0.00203979 0.        ], ([0.0006745  0.00056681 0.00075132 0.00027452 0.        ]) 	 loss 2.102E-01 	 horizons 9.0
step 5760 	 return [0.0028128  0.00558507 0.00118779 0.00146918 0.        ], ([0.00049434 0.00144488 0.00029816 0.00015749 0.        ]) 	 loss 2.259E-01 	 horizons 9.0
step 5850 	 return [0.         0.0035974  0.00769775 0.00151345 0.00051351], ([0.         0.0017117  0.00136457 0.00143158 0.00154052]) 	 loss 2.325E-01 	 horizons 9.0
step 5940 	 return [0.000319   0.0066445  0.00327414 0.00158103 0.00057223], ([0.00048728 0.00230122 0.00072202 0.00049815 0.00171669]) 	 loss 1.913E-01 	 horizons 9.0
step 6030 	 return [0.         0.         0.00436198 0.00440195 0.00742494], ([0.         0.         0.00126318 0.00100276 0.00100592]) 	 loss 2.059E-01 	 horizons 9.0
step 6120 	 return [0.00271094 0.00657316 0.00111702 0.00150931 0.        ], ([0.00071955 0.00134269 0.00042357 0.00017774 0.        ]) 	 loss 1.767E-01 	 horizons 9.0
step 6210 	 return [0.00197989 0.00724931 0.00164015 0.00144898 0.        ], ([0.0007776  0.00083329 0.00046043 0.00037181 0.        ]) 	 loss 1.816E-01 	 horizons 9.0
step 6300 	 return [0.00035494 0.00193783 0.00424139 0.00360135 0.00039643], ([0.00011831 0.00064594 0.00030481 0.00036878 0.00118928]) 	 loss 1.709E-01 	 horizons 9.0
step 6390 	 return [0.001349   0.00729236 0.0032979  0.00202486 0.        ], ([0.00110145 0.00111455 0.00175389 0.00044802 0.        ]) 	 loss 1.474E-01 	 horizons 9.0
