/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run vqd1vrxf
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_073422-vqd1vrxf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_amsterdam-v0__GCN-amsterdam-g5-temporal__789__1781501661
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/vqd1vrxf
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='amsterdam', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=10, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-amsterdam-g5-temporal', wandb_entity=None)
step 990 	 return [0.00056626 0.00235999 0.00051286 0.00146038 0.        ], ([0.00074667 0.00214761 0.00026894 0.00144143 0.        ]) 	 loss 2.016E+00 	 horizons 9.0
step 1080 	 return [0.         0.00241408 0.00047002 0.0013019  0.00097729], ([0.         0.00238993 0.0005472  0.00173489 0.0019555 ]) 	 loss 1.734E+00 	 horizons 9.0
step 1170 	 return [0.0008053  0.00256593 0.00124584 0.00082537 0.        ], ([0.00109544 0.00113529 0.00203061 0.00058448 0.        ]) 	 loss 1.297E+00 	 horizons 9.0
step 1260 	 return [0.         0.00113397 0.00133336 0.00165158 0.00075415], ([0.         0.00109835 0.00206053 0.00143397 0.00226246]) 	 loss 1.170E+00 	 horizons 9.0
step 1350 	 return [0.00019956 0.00425405 0.00136544 0.00090374 0.        ], ([0.00043681 0.00203885 0.00191016 0.00061769 0.        ]) 	 loss 1.133E+00 	 horizons 9.0
step 1440 	 return [7.2408162e-05 4.2456522e-04 5.7857307e-03 3.0687759e-03 2.3173394e-03], ([0.00021722 0.00066498 0.00342079 0.0017157  0.00234745]) 	 loss 1.064E+00 	 horizons 9.0
step 1530 	 return [0.         0.00011962 0.00832386 0.00417439 0.00234403], ([0.         0.00035885 0.00148053 0.00165843 0.0025068 ]) 	 loss 1.035E+00 	 horizons 9.0
step 1620 	 return [0.         0.00023862 0.00703002 0.0039     0.00329678], ([0.         0.00058896 0.00330816 0.00101971 0.00270749]) 	 loss 9.656E-01 	 horizons 9.0
step 1710 	 return [0.         0.00019713 0.00702466 0.00293903 0.00210168], ([0.         0.0005914  0.00270073 0.0012608  0.00190874]) 	 loss 9.498E-01 	 horizons 9.0
step 1800 	 return [0.00189392 0.00185933 0.00041222 0.00054685 0.        ], ([0.00127162 0.0014006  0.00010249 0.0002333  0.        ]) 	 loss 9.244E-01 	 horizons 9.0
step 1890 	 return [0.         0.00074775 0.00717177 0.00277337 0.00049793], ([0.         0.00114338 0.00208357 0.00106203 0.0014938 ]) 	 loss 9.092E-01 	 horizons 9.0
step 1980 	 return [0.         0.         0.00818877 0.00371272 0.00368483], ([0.         0.         0.00227126 0.0007227  0.00207465]) 	 loss 8.689E-01 	 horizons 9.0
step 2070 	 return [0.         0.00029024 0.00782829 0.00351621 0.00306645], ([0.         0.00087073 0.0024214  0.00086525 0.0021105 ]) 	 loss 8.482E-01 	 horizons 9.0
step 2160 	 return [0.         0.         0.00831397 0.00542553 0.00346671], ([0.         0.         0.0022511  0.00130086 0.00247588]) 	 loss 8.503E-01 	 horizons 9.0
step 2250 	 return [0.         0.00384925 0.00270192 0.0016253  0.0003477 ], ([0.         0.00159729 0.00232379 0.00142944 0.0010431 ]) 	 loss 8.211E-01 	 horizons 9.0
step 2340 	 return [0.00012961 0.00283293 0.00055345 0.00117285 0.        ], ([0.00038882 0.00277142 0.00049261 0.00128245 0.        ]) 	 loss 7.860E-01 	 horizons 9.0
step 2430 	 return [0.00095328 0.00334938 0.00070948 0.00058078 0.        ], ([0.0011254  0.00143784 0.00069643 0.00023947 0.        ]) 	 loss 7.939E-01 	 horizons 9.0
step 2520 	 return [0.         0.00010516 0.00251317 0.00447279 0.00482918], ([0.         0.00031548 0.00221911 0.00103524 0.00310595]) 	 loss 7.775E-01 	 horizons 9.0
step 2610 	 return [0.         0.0004416  0.00885973 0.0036505  0.00168331], ([0.         0.00132481 0.00090997 0.00079481 0.00194155]) 	 loss 7.491E-01 	 horizons 9.0
step 2700 	 return [0.00093213 0.00421408 0.0005954  0.00064952 0.        ], ([0.00104697 0.00179335 0.00035165 0.00044528 0.        ]) 	 loss 7.056E-01 	 horizons 9.0
step 2790 	 return [0.         0.         0.00301201 0.00439533 0.00579164], ([0.         0.         0.00152361 0.00098648 0.00237521]) 	 loss 7.015E-01 	 horizons 9.0
step 2880 	 return [0.         0.00261201 0.00739113 0.00319186 0.00089777], ([0.         0.00228578 0.00173249 0.00167618 0.00179712]) 	 loss 7.106E-01 	 horizons 9.0
step 2970 	 return [0.         0.00045939 0.00793755 0.00346668 0.003601  ], ([0.         0.00137817 0.00076085 0.00056976 0.00190421]) 	 loss 7.139E-01 	 horizons 9.0
step 3060 	 return [0.         0.         0.0022509  0.00425064 0.00680989], ([0.         0.         0.00135863 0.00093571 0.00143855]) 	 loss 6.843E-01 	 horizons 9.0
step 3150 	 return [0.         0.00075717 0.00907517 0.00369248 0.00240328], ([0.         0.00137886 0.00140076 0.0006388  0.00212852]) 	 loss 6.505E-01 	 horizons 9.0
step 3240 	 return [0.         0.00360392 0.0074012  0.00266174 0.        ], ([0.         0.00155537 0.00120589 0.00105437 0.        ]) 	 loss 6.246E-01 	 horizons 9.0
