/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run dntlkh22
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-dntlkh22
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-l0__1024__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/dntlkh22
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-l0', wandb_entity=None)
step 1989 	 return [0.00294006 0.00160228 0.00054178], ([0.00215366 0.00174193 0.00051821]) 	 loss 1.898E+00 	 horizons 17.2
step 2169 	 return [0.00224032 0.00297662 0.00121979], ([0.00122113 0.00249847 0.00115888]) 	 loss 1.565E+00 	 horizons 18.0
step 2353 	 return [0.00314377 0.00312993 0.0020262 ], ([0.00243747 0.00274641 0.002482  ]) 	 loss 1.163E+00 	 horizons 18.4
step 2543 	 return [0.00479737 0.0052034  0.00398741], ([0.00187168 0.00304612 0.00309154]) 	 loss 9.881E-01 	 horizons 19.0
step 2733 	 return [0.00222951 0.00606799 0.00625663], ([0.00160277 0.0024296  0.00258638]) 	 loss 9.346E-01 	 horizons 19.0
step 2923 	 return [0.00586848 0.00360354 0.00180373], ([0.00234909 0.00302834 0.0022054 ]) 	 loss 9.195E-01 	 horizons 19.0
step 3113 	 return [0.00325329 0.0035407  0.00258268], ([0.00180913 0.00232129 0.00250687]) 	 loss 9.009E-01 	 horizons 19.0
step 3303 	 return [0.0038182  0.00498496 0.00433956], ([0.00282615 0.00310128 0.00345263]) 	 loss 8.816E-01 	 horizons 19.0
step 3493 	 return [0.00290305 0.00479024 0.00323585], ([0.00226301 0.00267519 0.00287362]) 	 loss 8.692E-01 	 horizons 19.0
step 3683 	 return [0.00236509 0.00500373 0.003918  ], ([0.00113687 0.00154153 0.00218087]) 	 loss 8.404E-01 	 horizons 19.0
step 3873 	 return [0.00359595 0.00466994 0.00287412], ([0.00166988 0.00261353 0.00220591]) 	 loss 8.639E-01 	 horizons 19.0
step 4063 	 return [0.00232035 0.00661779 0.00483757], ([0.0017943  0.00203377 0.00315493]) 	 loss 7.944E-01 	 horizons 19.0
step 4253 	 return [0.00408485 0.00617603 0.00540695], ([0.00281554 0.00341333 0.00330079]) 	 loss 7.620E-01 	 horizons 19.0
step 4443 	 return [0.00363615 0.00517879 0.00465662], ([0.00188148 0.00232453 0.00228492]) 	 loss 7.619E-01 	 horizons 19.0
step 4633 	 return [0.00377613 0.00584163 0.00400528], ([0.00230849 0.00334578 0.0029916 ]) 	 loss 7.553E-01 	 horizons 19.0
step 4823 	 return [0.00237694 0.00853878 0.00701959], ([0.0014332  0.00221158 0.00269095]) 	 loss 7.696E-01 	 horizons 19.0
step 5013 	 return [0.00310171 0.00426821 0.00330743], ([0.00263505 0.00219587 0.00278702]) 	 loss 7.750E-01 	 horizons 19.0
