/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 6og3llp8
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-6og3llp8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-l0__123__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/6og3llp8
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-l0', wandb_entity=None)
step 1949 	 return [0.00267632 0.00305828 0.00228105], ([0.00315004 0.00315074 0.00260629]) 	 loss 1.919E+00 	 horizons 17.6
step 2122 	 return [0.00266564 0.00332402 0.00288555], ([0.00092714 0.00326561 0.00309878]) 	 loss 1.459E+00 	 horizons 17.3
step 2312 	 return [0.00380178 0.00514001 0.00383904], ([0.00134617 0.0027622  0.00262727]) 	 loss 1.129E+00 	 horizons 19.0
step 2502 	 return [0.00389663 0.0044505  0.00436463], ([0.00168884 0.00246717 0.00315628]) 	 loss 1.005E+00 	 horizons 19.0
step 2692 	 return [0.00362959 0.00466512 0.00349747], ([0.00091269 0.00285646 0.0026389 ]) 	 loss 9.445E-01 	 horizons 19.0
step 2882 	 return [0.00317191 0.00562969 0.00464943], ([0.00172746 0.00268702 0.00270421]) 	 loss 9.363E-01 	 horizons 19.0
step 3072 	 return [0.00317646 0.00441233 0.00389888], ([0.00195929 0.00195815 0.0028583 ]) 	 loss 8.572E-01 	 horizons 19.0
step 3262 	 return [0.00237343 0.00530598 0.00467518], ([0.00181872 0.00099125 0.00172811]) 	 loss 8.564E-01 	 horizons 19.0
step 3452 	 return [0.00320621 0.00372336 0.00288269], ([0.00284237 0.00196817 0.00228882]) 	 loss 8.674E-01 	 horizons 19.0
step 3642 	 return [0.00465506 0.00370302 0.00263627], ([0.00159154 0.0021856  0.00251258]) 	 loss 8.237E-01 	 horizons 19.0
step 3832 	 return [0.00277086 0.00556693 0.00508215], ([0.00073457 0.00170953 0.001662  ]) 	 loss 7.932E-01 	 horizons 19.0
step 4022 	 return [0.00235102 0.00504176 0.00535456], ([0.00142125 0.00073937 0.00092764]) 	 loss 8.161E-01 	 horizons 19.0
step 4212 	 return [0.00244612 0.00476175 0.0051444 ], ([0.00159182 0.00162557 0.00182231]) 	 loss 8.217E-01 	 horizons 19.0
step 4402 	 return [0.00353828 0.00433405 0.00366304], ([0.00173679 0.00230593 0.00312609]) 	 loss 8.019E-01 	 horizons 19.0
step 4592 	 return [0.00195751 0.0044865  0.00470282], ([0.00228367 0.00164211 0.00210902]) 	 loss 7.817E-01 	 horizons 19.0
step 4782 	 return [0.002645   0.00573133 0.00611864], ([0.00118083 0.002341   0.00176831]) 	 loss 7.670E-01 	 horizons 19.0
step 4972 	 return [0.00362335 0.00669173 0.00565454], ([0.00218918 0.00187154 0.00211317]) 	 loss 7.578E-01 	 horizons 19.0
step 5162 	 return [0.00475602 0.00561893 0.00363531], ([0.00235103 0.00327066 0.00298148]) 	 loss 7.594E-01 	 horizons 19.0
step 5352 	 return [0.00404098 0.00578441 0.00434282], ([0.00179169 0.00130496 0.00151146]) 	 loss 7.585E-01 	 horizons 19.0
step 5542 	 return [0.00556464 0.00783254 0.00603339], ([0.00212074 0.00142721 0.00120587]) 	 loss 8.052E-01 	 horizons 19.0
step 5732 	 return [0.00477299 0.00652521 0.00491431], ([0.00279169 0.00284341 0.00361299]) 	 loss 7.903E-01 	 horizons 19.0
step 5922 	 return [0.0043937  0.00713803 0.00528708], ([0.00172331 0.00197895 0.00234979]) 	 loss 7.664E-01 	 horizons 19.0
