/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run hgpq7n51
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-hgpq7n51
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-l0__42__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/hgpq7n51
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-l0', wandb_entity=None)
step 1933 	 return [0.00276058 0.00367048 0.00318287], ([0.00109678 0.00321059 0.00373859]) 	 loss 1.930E+00 	 horizons 18.5
step 2106 	 return [0.00178808 0.00137531 0.00089333], ([0.00080747 0.0013373  0.00084635]) 	 loss 1.505E+00 	 horizons 17.3
step 2296 	 return [0.00442497 0.00390858 0.00285411], ([0.00256311 0.00343917 0.00361259]) 	 loss 1.110E+00 	 horizons 19.0
step 2474 	 return [0.00256747 0.00352486 0.00280387], ([0.00182552 0.00300232 0.00249696]) 	 loss 1.003E+00 	 horizons 17.8
step 2644 	 return [0.00237315 0.00236892 0.00166528], ([0.00173644 0.00227952 0.00197971]) 	 loss 9.751E-01 	 horizons 17.0
step 2834 	 return [0.00284373 0.00562591 0.00456446], ([0.00227484 0.00263691 0.00265923]) 	 loss 9.093E-01 	 horizons 19.0
step 3020 	 return [0.00413432 0.00192612 0.00120559], ([0.00186634 0.00219652 0.00210528]) 	 loss 8.952E-01 	 horizons 18.6
step 3210 	 return [0.00233251 0.00569138 0.00577284], ([0.00195955 0.00212889 0.00366569]) 	 loss 9.179E-01 	 horizons 19.0
step 3400 	 return [0.00382435 0.00462629 0.00342375], ([0.00127946 0.00180655 0.00145983]) 	 loss 8.910E-01 	 horizons 19.0
step 3590 	 return [0.00387912 0.00307411 0.00257086], ([0.0016486  0.00322356 0.00339175]) 	 loss 8.743E-01 	 horizons 19.0
step 3780 	 return [0.00378294 0.00587541 0.00528432], ([0.00219874 0.00235985 0.00317187]) 	 loss 8.488E-01 	 horizons 19.0
step 3970 	 return [0.00329096 0.00420859 0.00341152], ([0.00242064 0.00235329 0.00295396]) 	 loss 8.440E-01 	 horizons 19.0
step 4160 	 return [0.0036794  0.00461673 0.00401989], ([0.00151093 0.00284136 0.00272935]) 	 loss 8.348E-01 	 horizons 19.0
step 4350 	 return [0.00265907 0.00548758 0.00443757], ([0.00236608 0.00220344 0.00241304]) 	 loss 7.879E-01 	 horizons 19.0
step 4540 	 return [0.00313106 0.00464258 0.00356735], ([0.00115366 0.00264592 0.00254232]) 	 loss 7.785E-01 	 horizons 19.0
step 4730 	 return [0.00311425 0.00488291 0.00442421], ([0.00158927 0.00164965 0.00144558]) 	 loss 7.486E-01 	 horizons 19.0
step 4920 	 return [0.00247947 0.00755449 0.00697374], ([0.00153254 0.00308009 0.003572  ]) 	 loss 7.250E-01 	 horizons 19.0
step 5110 	 return [0.00369023 0.00331477 0.00208889], ([0.00135686 0.00222319 0.00190303]) 	 loss 7.707E-01 	 horizons 19.0
step 5300 	 return [0.00406502 0.00596382 0.00646993], ([0.00204126 0.00243937 0.00320707]) 	 loss 7.186E-01 	 horizons 19.0
step 5490 	 return [0.00321078 0.00563923 0.00536943], ([0.00137976 0.00168686 0.00174703]) 	 loss 7.312E-01 	 horizons 19.0
step 5680 	 return [0.00417178 0.0072233  0.00516928], ([0.00200092 0.00257088 0.0025885 ]) 	 loss 6.995E-01 	 horizons 19.0
step 5870 	 return [0.0036903  0.00392548 0.00260219], ([0.00183754 0.0030668  0.00212788]) 	 loss 7.157E-01 	 horizons 19.0
