/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kd4y1k2f
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-kd4y1k2f
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-l0__456__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kd4y1k2f
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-l0', wandb_entity=None)
step 1898 	 return [0.00276649 0.00402674 0.00319551], ([0.00152937 0.00360278 0.0028215 ]) 	 loss 1.937E+00 	 horizons 17.9
step 2086 	 return [0.00141996 0.00281517 0.00246557], ([0.00102977 0.00188225 0.00254599]) 	 loss 1.407E+00 	 horizons 18.8
step 2271 	 return [0.00297397 0.0041069  0.00254387], ([0.00232334 0.00243121 0.0025645 ]) 	 loss 1.107E+00 	 horizons 18.5
step 2461 	 return [0.004522   0.00502866 0.00287833], ([0.00268823 0.00341364 0.00297994]) 	 loss 1.007E+00 	 horizons 19.0
step 2651 	 return [0.00303772 0.00470304 0.0033064 ], ([0.00256485 0.00237754 0.0024232 ]) 	 loss 9.353E-01 	 horizons 19.0
step 2841 	 return [0.00423456 0.00447512 0.00240688], ([0.0024222  0.00291398 0.00218045]) 	 loss 9.225E-01 	 horizons 19.0
step 3031 	 return [0.00452611 0.00412217 0.0027466 ], ([0.002361   0.00337737 0.00276171]) 	 loss 8.868E-01 	 horizons 19.0
step 3221 	 return [0.00508235 0.00524641 0.00364369], ([0.0020671  0.00196148 0.00142704]) 	 loss 8.555E-01 	 horizons 19.0
step 3411 	 return [0.00424813 0.00464664 0.00264756], ([0.00227661 0.00310985 0.00232334]) 	 loss 8.729E-01 	 horizons 19.0
step 3601 	 return [0.00238766 0.00509866 0.00394157], ([0.00187587 0.00249685 0.00286362]) 	 loss 8.629E-01 	 horizons 19.0
step 3791 	 return [0.002359   0.00497633 0.00496611], ([0.00195419 0.00160546 0.00211703]) 	 loss 8.207E-01 	 horizons 19.0
step 3981 	 return [0.00267034 0.00371555 0.00337981], ([0.00199935 0.00116323 0.00194303]) 	 loss 8.290E-01 	 horizons 19.0
step 4171 	 return [0.00464772 0.00496314 0.00318651], ([0.00218913 0.00316912 0.00277813]) 	 loss 8.003E-01 	 horizons 19.0
step 4361 	 return [0.00603885 0.00701221 0.00347673], ([0.00152801 0.00341983 0.00186485]) 	 loss 7.942E-01 	 horizons 19.0
step 4551 	 return [0.00535825 0.00597165 0.00359491], ([0.00179709 0.00319873 0.00251709]) 	 loss 7.680E-01 	 horizons 19.0
step 4741 	 return [0.00407253 0.0051965  0.00452543], ([0.00213214 0.00240918 0.00233485]) 	 loss 7.432E-01 	 horizons 19.0
step 4931 	 return [0.00492936 0.00670828 0.00445366], ([0.00240643 0.00265433 0.00277316]) 	 loss 7.160E-01 	 horizons 19.0
step 5121 	 return [0.0054564  0.00661115 0.00415838], ([0.00173846 0.00288584 0.00190261]) 	 loss 7.156E-01 	 horizons 19.0
step 5311 	 return [0.00464987 0.0051762  0.00399026], ([0.00198921 0.00260764 0.00274794]) 	 loss 7.281E-01 	 horizons 19.0
step 5501 	 return [0.00552705 0.00724762 0.00390804], ([0.00229339 0.00320642 0.00162823]) 	 loss 7.230E-01 	 horizons 19.0
step 5691 	 return [0.00440888 0.00760025 0.00569594], ([0.00246934 0.00166014 0.00237983]) 	 loss 7.129E-01 	 horizons 19.0
step 5881 	 return [0.00443745 0.00325567 0.00246827], ([0.00148293 0.00156766 0.00185152]) 	 loss 7.506E-01 	 horizons 19.0
step 6071 	 return [0.00482495 0.00516872 0.00367442], ([0.00104768 0.00247921 0.00180738]) 	 loss 7.256E-01 	 horizons 19.0
step 6261 	 return [0.00544076 0.00816285 0.00522273], ([0.00178775 0.00109398 0.00207808]) 	 loss 7.102E-01 	 horizons 19.0
step 6451 	 return [0.00470711 0.00665314 0.00343532], ([0.00141198 0.00248981 0.00177501]) 	 loss 7.330E-01 	 horizons 19.0
step 6641 	 return [0.00464358 0.00863611 0.0059077 ], ([0.00206097 0.00146008 0.00245867]) 	 loss 7.366E-01 	 horizons 19.0
step 6831 	 return [0.00401964 0.00710253 0.00353414], ([0.00183047 0.00206443 0.00220013]) 	 loss 7.053E-01 	 horizons 19.0
step 7021 	 return [0.00437427 0.00613543 0.00326311], ([0.00096952 0.00242671 0.00207714]) 	 loss 6.953E-01 	 horizons 19.0
step 7211 	 return [0.00454213 0.00911847 0.00686717], ([0.00182783 0.0023915  0.00259639]) 	 loss 6.936E-01 	 horizons 19.0
step 7401 	 return [0.00588858 0.00961688 0.00588728], ([0.00188396 0.00154501 0.00126381]) 	 loss 6.956E-01 	 horizons 19.0
step 7591 	 return [0.00542998 0.00789622 0.00521584], ([0.00170884 0.00284566 0.00244478]) 	 loss 6.842E-01 	 horizons 19.0
step 7781 	 return [0.0057439  0.0090114  0.00647552], ([0.00198786 0.00171484 0.00099657]) 	 loss 6.754E-01 	 horizons 19.0
step 7971 	 return [0.00658254 0.00920908 0.00628749], ([0.00227704 0.0025209  0.00183219]) 	 loss 6.652E-01 	 horizons 19.0
step 8161 	 return [0.00659759 0.00919934 0.00567613], ([0.00241916 0.00272146 0.00249447]) 	 loss 6.712E-01 	 horizons 19.0
step 8351 	 return [0.00649948 0.01051586 0.00602599], ([0.00178879 0.00167181 0.00290513]) 	 loss 6.832E-01 	 horizons 19.0
step 8541 	 return [0.00584468 0.00969656 0.00519907], ([0.00206502 0.00204034 0.00122052]) 	 loss 6.489E-01 	 horizons 19.0
step 8731 	 return [0.00731499 0.00995687 0.0050682 ], ([0.00167422 0.00147686 0.00228605]) 	 loss 6.756E-01 	 horizons 19.0
step 8921 	 return [0.00751701 0.01099021 0.00656153], ([0.00155292 0.00178865 0.00190859]) 	 loss 6.613E-01 	 horizons 19.0
