/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 66f1m549
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-66f1m549
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-l0__789__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/66f1m549
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-l0', wandb_entity=None)
step 1912 	 return [0.00382381 0.00436055 0.00321206], ([0.00183672 0.00293978 0.00350157]) 	 loss 1.933E+00 	 horizons 19.0
step 2086 	 return [0.00219441 0.00317903 0.00259162], ([0.00168994 0.00300942 0.00332571]) 	 loss 1.492E+00 	 horizons 17.4
step 2276 	 return [0.00458103 0.00286829 0.00232192], ([0.00129717 0.00248899 0.00249536]) 	 loss 1.120E+00 	 horizons 19.0
step 2462 	 return [0.00301824 0.00310537 0.0029342 ], ([0.00118283 0.00214578 0.00275177]) 	 loss 1.046E+00 	 horizons 18.6
step 2652 	 return [0.00481807 0.00391956 0.00267968], ([0.00245829 0.00197795 0.00284611]) 	 loss 9.964E-01 	 horizons 19.0
step 2842 	 return [0.00436262 0.00574951 0.00524083], ([0.00302385 0.00179836 0.00292544]) 	 loss 9.570E-01 	 horizons 19.0
step 3032 	 return [0.00344399 0.00498904 0.00440175], ([0.00191656 0.00189036 0.00282454]) 	 loss 9.344E-01 	 horizons 19.0
step 3222 	 return [0.00234136 0.00498514 0.00427218], ([0.00168007 0.00148926 0.00234775]) 	 loss 9.170E-01 	 horizons 19.0
step 3412 	 return [0.00331538 0.00417359 0.00380869], ([0.00125442 0.00130254 0.00147188]) 	 loss 8.881E-01 	 horizons 19.0
step 3602 	 return [0.00432091 0.00512528 0.00501159], ([0.00250994 0.00190245 0.00246874]) 	 loss 8.729E-01 	 horizons 19.0
step 3792 	 return [0.00345592 0.00536348 0.00470943], ([0.00261262 0.00120293 0.00219891]) 	 loss 8.490E-01 	 horizons 19.0
step 3982 	 return [0.00225085 0.00388274 0.00449   ], ([0.0013024  0.00162419 0.00194172]) 	 loss 8.724E-01 	 horizons 19.0
step 4172 	 return [0.00358451 0.00515169 0.00586834], ([0.00079858 0.00168623 0.0024393 ]) 	 loss 8.469E-01 	 horizons 19.0
step 4362 	 return [0.00222734 0.0051423  0.00521018], ([0.00191654 0.00143755 0.00104847]) 	 loss 8.393E-01 	 horizons 19.0
step 4552 	 return [0.00441169 0.0061758  0.00651726], ([0.0020645  0.00166915 0.00267214]) 	 loss 8.201E-01 	 horizons 19.0
step 4742 	 return [0.00401089 0.00535182 0.00525665], ([0.00240634 0.00206312 0.00179372]) 	 loss 8.193E-01 	 horizons 19.0
