/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034542-vhhtx4f3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatial__1024__1781487941
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/vhhtx4f3
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatial', wandb_entity=None)
step 1965 	 return [0.00308349 0.00223609 0.00207873], ([0.00184881 0.0024631  0.00326381]) 	 loss 1.907E+00 	 horizons 17.2
step 2145 	 return [0.0027407  0.00252543 0.00174606], ([0.00117562 0.00240352 0.00258249]) 	 loss 1.539E+00 	 horizons 18.0
step 2326 	 return [0.00310888 0.00349762 0.00313145], ([0.00181816 0.00287878 0.0040036 ]) 	 loss 1.101E+00 	 horizons 18.1
step 2516 	 return [0.00282777 0.00658516 0.00518807], ([0.00135857 0.00200971 0.00223031]) 	 loss 9.695E-01 	 horizons 19.0
step 2706 	 return [0.00290407 0.00436539 0.00489637], ([0.00243922 0.00181117 0.00211069]) 	 loss 9.456E-01 	 horizons 19.0
step 2896 	 return [0.00307058 0.00412426 0.00417347], ([0.00140913 0.0018447  0.00269629]) 	 loss 9.422E-01 	 horizons 19.0
step 3086 	 return [0.00411101 0.00434344 0.00327257], ([0.00222499 0.00134002 0.00052779]) 	 loss 9.375E-01 	 horizons 19.0
step 3271 	 return [0.00330856 0.00456129 0.00467332], ([0.00149822 0.00225198 0.00255161]) 	 loss 9.333E-01 	 horizons 18.5
step 3461 	 return [0.00320782 0.00608395 0.00470319], ([0.00236344 0.00158609 0.0017022 ]) 	 loss 9.285E-01 	 horizons 19.0
step 3651 	 return [0.00357332 0.00659307 0.00565746], ([0.00186604 0.00268689 0.00217252]) 	 loss 8.978E-01 	 horizons 19.0
step 3841 	 return [0.00325864 0.00686731 0.00492692], ([0.00159627 0.00173002 0.00193836]) 	 loss 8.789E-01 	 horizons 19.0
step 4031 	 return [0.00413222 0.00536932 0.00459633], ([0.00182976 0.00216912 0.00209637]) 	 loss 8.594E-01 	 horizons 19.0
step 4221 	 return [0.00333242 0.00648675 0.00637064], ([0.00215807 0.00229714 0.00139151]) 	 loss 8.736E-01 	 horizons 19.0
step 4411 	 return [0.00404101 0.00699166 0.00522986], ([0.00229746 0.00239871 0.00289273]) 	 loss 8.683E-01 	 horizons 19.0
step 4601 	 return [0.00267042 0.00598894 0.00478734], ([0.00176138 0.00268077 0.00222343]) 	 loss 8.734E-01 	 horizons 19.0
step 4791 	 return [0.00269674 0.00683459 0.00596965], ([0.00099693 0.0014978  0.00206572]) 	 loss 8.388E-01 	 horizons 19.0
step 4981 	 return [0.00656725 0.00513045 0.00421567], ([0.00343316 0.00228554 0.00267297]) 	 loss 8.859E-01 	 horizons 19.0
step 5171 	 return [0.00381637 0.00686571 0.00543057], ([0.00162056 0.00220181 0.00174319]) 	 loss 8.693E-01 	 horizons 19.0
step 5361 	 return [0.00337799 0.00677627 0.00623466], ([0.00075169 0.00172488 0.00185281]) 	 loss 8.599E-01 	 horizons 19.0
step 5551 	 return [0.00361315 0.00562841 0.00627863], ([0.00218327 0.00113999 0.00233942]) 	 loss 8.476E-01 	 horizons 19.0
step 5741 	 return [0.00317173 0.00646743 0.00742613], ([0.00109471 0.00202355 0.00235339]) 	 loss 8.347E-01 	 horizons 19.0
step 5931 	 return [0.00507205 0.00667255 0.00613662], ([0.0025745  0.00251958 0.00330149]) 	 loss 8.316E-01 	 horizons 19.0
step 6121 	 return [0.00425643 0.00597215 0.00502109], ([0.0026987  0.0028192  0.00209453]) 	 loss 8.598E-01 	 horizons 19.0
step 6311 	 return [0.00589599 0.00657796 0.00618235], ([0.00369388 0.00205765 0.00262542]) 	 loss 8.403E-01 	 horizons 19.0
step 6501 	 return [0.00438264 0.0079528  0.0067213 ], ([0.00236168 0.00216148 0.00313719]) 	 loss 8.328E-01 	 horizons 19.0
step 6691 	 return [0.00561514 0.00740364 0.00705807], ([0.00217462 0.00219022 0.00278477]) 	 loss 8.325E-01 	 horizons 19.0
