/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run d8jeei5n
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034537-d8jeei5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatial__42__1781487937
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/d8jeei5n
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatial', wandb_entity=None)
step 1959 	 return [0.00329531 0.00506537 0.00421063], ([0.00158213 0.0036607  0.00397852]) 	 loss 1.921E+00 	 horizons 18.5
step 2143 	 return [0.00254516 0.00537093 0.00392028], ([0.00194722 0.00220764 0.00221046]) 	 loss 1.483E+00 	 horizons 18.4
step 2333 	 return [0.00509096 0.00324782 0.00257466], ([0.00145132 0.00148086 0.00168769]) 	 loss 1.100E+00 	 horizons 19.0
step 2523 	 return [0.00427673 0.00592959 0.00515363], ([0.00209054 0.00185371 0.00270686]) 	 loss 1.007E+00 	 horizons 19.0
step 2713 	 return [0.00429013 0.0032345  0.00193972], ([0.00152838 0.00225769 0.00235817]) 	 loss 9.400E-01 	 horizons 19.0
step 2903 	 return [0.00249002 0.00514055 0.0046366 ], ([0.00209316 0.00218724 0.00091745]) 	 loss 8.849E-01 	 horizons 19.0
step 3093 	 return [0.00456982 0.00436607 0.00358558], ([0.00179137 0.00206002 0.00256472]) 	 loss 9.228E-01 	 horizons 19.0
step 3283 	 return [0.00423109 0.00558974 0.00375809], ([0.00211143 0.00207305 0.0018023 ]) 	 loss 8.952E-01 	 horizons 19.0
step 3473 	 return [0.00429484 0.00554821 0.00436393], ([0.00135319 0.00132349 0.00178725]) 	 loss 8.800E-01 	 horizons 19.0
step 3663 	 return [0.00470479 0.00500059 0.00274   ], ([0.00193779 0.00134589 0.00181641]) 	 loss 8.812E-01 	 horizons 19.0
step 3853 	 return [0.00279895 0.0061843  0.00537047], ([0.00116503 0.0009012  0.0023404 ]) 	 loss 8.500E-01 	 horizons 19.0
step 4043 	 return [0.00460187 0.00567064 0.00408711], ([0.00287064 0.00182149 0.00265015]) 	 loss 8.254E-01 	 horizons 19.0
step 4233 	 return [0.00313138 0.0062854  0.00514755], ([0.00166797 0.001544   0.00223116]) 	 loss 8.478E-01 	 horizons 19.0
step 4423 	 return [0.00317225 0.00510886 0.00441826], ([0.00223221 0.00159211 0.00278572]) 	 loss 8.032E-01 	 horizons 19.0
step 4613 	 return [0.00440676 0.00714216 0.00542763], ([0.00197467 0.00159933 0.00227843]) 	 loss 8.240E-01 	 horizons 19.0
step 4803 	 return [0.00442316 0.00549815 0.00408511], ([0.00162185 0.0019485  0.0027907 ]) 	 loss 8.041E-01 	 horizons 19.0
step 4993 	 return [0.00349156 0.00712939 0.0059176 ], ([0.00211256 0.00180792 0.00263418]) 	 loss 7.984E-01 	 horizons 19.0
step 5183 	 return [0.0040239  0.00624054 0.00549178], ([0.00181576 0.00163011 0.00188912]) 	 loss 8.086E-01 	 horizons 19.0
step 5373 	 return [0.00389902 0.00708764 0.00490903], ([0.0013655  0.00167632 0.00236552]) 	 loss 7.874E-01 	 horizons 19.0
step 5563 	 return [0.00407048 0.0058456  0.00635711], ([0.00262713 0.00179316 0.002193  ]) 	 loss 8.277E-01 	 horizons 19.0
step 5753 	 return [0.00528892 0.00625573 0.00433777], ([0.00173061 0.00156092 0.00196069]) 	 loss 7.929E-01 	 horizons 19.0
step 5943 	 return [0.00487759 0.0077263  0.00546922], ([0.00130012 0.00121766 0.00270377]) 	 loss 7.821E-01 	 horizons 19.0
step 6133 	 return [0.00433639 0.00805563 0.00642709], ([0.00235818 0.00111231 0.00298927]) 	 loss 7.724E-01 	 horizons 19.0
step 6323 	 return [0.00518421 0.00657327 0.00405871], ([0.00113604 0.00174394 0.00220289]) 	 loss 7.941E-01 	 horizons 19.0
step 6513 	 return [0.00461599 0.00699442 0.00502821], ([0.00225839 0.00221473 0.00287462]) 	 loss 7.924E-01 	 horizons 19.0
step 6703 	 return [0.00486097 0.00684607 0.0050928 ], ([0.00209183 0.00121151 0.00212784]) 	 loss 7.352E-01 	 horizons 19.0
step 6893 	 return [0.00491783 0.00808453 0.00576165], ([0.00198642 0.00115917 0.00229754]) 	 loss 7.736E-01 	 horizons 19.0
step 7083 	 return [0.00428888 0.00747481 0.0060407 ], ([0.00203942 0.00191091 0.00233528]) 	 loss 7.712E-01 	 horizons 19.0
step 7273 	 return [0.00422661 0.00780634 0.00715429], ([0.00179917 0.00107688 0.00282366]) 	 loss 7.573E-01 	 horizons 19.0
step 7463 	 return [0.00631012 0.0077157  0.00543952], ([0.00277641 0.00209171 0.00280323]) 	 loss 7.373E-01 	 horizons 19.0
step 7653 	 return [0.0039699  0.00868408 0.00725084], ([0.00255618 0.00167444 0.00282538]) 	 loss 7.250E-01 	 horizons 19.0
step 7843 	 return [0.00666189 0.00942573 0.0051185 ], ([0.00289843 0.00193247 0.00356221]) 	 loss 7.202E-01 	 horizons 19.0
step 8033 	 return [0.00451742 0.00706366 0.006054  ], ([0.00131981 0.00227075 0.00348411]) 	 loss 7.045E-01 	 horizons 19.0
step 8223 	 return [0.00534677 0.00818541 0.00709853], ([0.00145736 0.00158615 0.00216058]) 	 loss 7.226E-01 	 horizons 19.0
step 8413 	 return [0.00600103 0.00891526 0.00685347], ([0.00182998 0.00154309 0.00209392]) 	 loss 6.870E-01 	 horizons 19.0
step 8603 	 return [0.00553635 0.00725416 0.00591007], ([0.00229509 0.00182895 0.00223564]) 	 loss 6.770E-01 	 horizons 19.0
step 8793 	 return [0.00437205 0.00905548 0.00749295], ([0.00199704 0.0014231  0.00201683]) 	 loss 6.829E-01 	 horizons 19.0
step 8983 	 return [0.00552115 0.00816162 0.0053225 ], ([0.00146686 0.00133046 0.00282591]) 	 loss 6.805E-01 	 horizons 19.0
step 9173 	 return [0.00538849 0.00840158 0.00700582], ([0.00162578 0.00205387 0.00226831]) 	 loss 6.672E-01 	 horizons 19.0
step 9363 	 return [0.00496708 0.0079025  0.00627489], ([0.00164735 0.00214626 0.00219003]) 	 loss 6.775E-01 	 horizons 19.0
step 9553 	 return [0.00524375 0.00945833 0.00682668], ([0.00204858 0.00101268 0.00309126]) 	 loss 6.789E-01 	 horizons 19.0
step 9743 	 return [0.00550542 0.00884813 0.00659137], ([0.00185143 0.00108005 0.00261817]) 	 loss 6.543E-01 	 horizons 19.0
step 9933 	 return [0.00554424 0.00975678 0.00700849], ([0.00246307 0.00113644 0.00301776]) 	 loss 6.464E-01 	 horizons 19.0
step 10123 	 return [0.00463672 0.00885905 0.0088295 ], ([0.0019178  0.00174659 0.00141724]) 	 loss 6.500E-01 	 horizons 19.0
step 10313 	 return [0.0063732  0.00906412 0.00636528], ([0.00226728 0.00106332 0.00194472]) 	 loss 6.510E-01 	 horizons 19.0
step 10503 	 return [0.00648507 0.00909536 0.00680211], ([0.00228495 0.00230971 0.00307994]) 	 loss 6.251E-01 	 horizons 19.0
step 10693 	 return [0.00463516 0.00878935 0.00831764], ([0.00150865 0.00070361 0.00105266]) 	 loss 6.457E-01 	 horizons 19.0
step 10883 	 return [0.00569613 0.00907151 0.00599853], ([0.00282543 0.00126517 0.00294939]) 	 loss 6.033E-01 	 horizons 19.0
step 11073 	 return [0.00497677 0.00865105 0.00805585], ([0.00229092 0.00102312 0.00164481]) 	 loss 5.875E-01 	 horizons 19.0
step 11263 	 return [0.00493544 0.00957096 0.00843651], ([0.00181483 0.00116621 0.00158519]) 	 loss 6.274E-01 	 horizons 19.0
step 11453 	 return [0.00497093 0.00849271 0.00671157], ([0.00143634 0.00208032 0.0031626 ]) 	 loss 6.211E-01 	 horizons 19.0
step 11643 	 return [0.00500692 0.00876421 0.00813338], ([0.00178806 0.00209823 0.00230122]) 	 loss 5.950E-01 	 horizons 19.0
step 11833 	 return [0.0052425  0.00925733 0.00800326], ([0.00176761 0.00121172 0.00137948]) 	 loss 5.919E-01 	 horizons 19.0
step 12023 	 return [0.00760105 0.00890295 0.00533798], ([0.00337177 0.00151013 0.00301958]) 	 loss 5.922E-01 	 horizons 19.0
step 12213 	 return [0.00533264 0.00937865 0.0080068 ], ([0.00199834 0.00158508 0.00163419]) 	 loss 6.105E-01 	 horizons 19.0
step 12403 	 return [0.00580593 0.00927453 0.0084848 ], ([0.00122966 0.00122908 0.00188915]) 	 loss 5.739E-01 	 horizons 19.0
step 12593 	 return [0.00612146 0.00886257 0.00739102], ([0.00277153 0.00136193 0.00247231]) 	 loss 5.657E-01 	 horizons 19.0
step 12783 	 return [0.00585932 0.00867335 0.00845809], ([0.00145783 0.00126745 0.00075178]) 	 loss 5.627E-01 	 horizons 19.0
step 12973 	 return [0.00647274 0.00905656 0.00781026], ([0.00186889 0.00108672 0.00222577]) 	 loss 5.195E-01 	 horizons 19.0
step 13163 	 return [0.00737444 0.01080012 0.0073994 ], ([0.00177506 0.00134709 0.00218133]) 	 loss 5.463E-01 	 horizons 19.0
step 13353 	 return [0.00613128 0.00941378 0.00739071], ([0.00176588 0.00122548 0.00156798]) 	 loss 5.413E-01 	 horizons 19.0
step 13543 	 return [0.00693934 0.00968697 0.00707573], ([0.00264582 0.00185543 0.00131964]) 	 loss 5.188E-01 	 horizons 19.0
step 13733 	 return [0.00586188 0.00988873 0.00784661], ([0.00216838 0.00121259 0.00232887]) 	 loss 5.449E-01 	 horizons 19.0
step 13923 	 return [0.0068327  0.00971408 0.00839318], ([0.0012741  0.00156127 0.00049035]) 	 loss 5.290E-01 	 horizons 19.0
step 14113 	 return [0.00604067 0.01021505 0.00784944], ([0.00151344 0.00093659 0.00122374]) 	 loss 5.144E-01 	 horizons 19.0
step 14303 	 return [0.00554134 0.00972042 0.00730781], ([0.00163431 0.00173012 0.00164121]) 	 loss 4.997E-01 	 horizons 19.0
step 14493 	 return [0.00576193 0.00968461 0.00826118], ([0.0022267  0.00193473 0.00165328]) 	 loss 4.833E-01 	 horizons 19.0
step 14683 	 return [0.00650659 0.00953655 0.00813206], ([0.00167948 0.00095196 0.00191378]) 	 loss 5.057E-01 	 horizons 19.0
step 14873 	 return [0.00643255 0.00953202 0.00806966], ([0.00169376 0.00098809 0.0014658 ]) 	 loss 4.810E-01 	 horizons 19.0
step 15063 	 return [0.00629234 0.00965005 0.00905227], ([0.00124086 0.00118451 0.0012466 ]) 	 loss 4.827E-01 	 horizons 19.0
step 15253 	 return [0.0068834  0.0102315  0.00853979], ([0.00091731 0.00139125 0.00103646]) 	 loss 4.930E-01 	 horizons 19.0
step 15443 	 return [0.00660181 0.00989655 0.00875532], ([0.00218839 0.00165759 0.00161958]) 	 loss 4.819E-01 	 horizons 19.0
step 15633 	 return [0.0075181  0.01036964 0.00836241], ([0.00085463 0.00123493 0.00066274]) 	 loss 4.883E-01 	 horizons 19.0
step 15823 	 return [0.00683645 0.01049228 0.00830128], ([0.00090259 0.00151293 0.00097456]) 	 loss 4.600E-01 	 horizons 19.0
step 16013 	 return [0.00679166 0.01024907 0.00874724], ([0.00109436 0.00092687 0.0011975 ]) 	 loss 4.570E-01 	 horizons 19.0
step 16203 	 return [0.00687263 0.00976527 0.00876777], ([0.00221353 0.00117097 0.00177044]) 	 loss 4.709E-01 	 horizons 19.0
step 16393 	 return [0.00701232 0.00971034 0.00854151], ([0.00101498 0.00100745 0.0007903 ]) 	 loss 4.538E-01 	 horizons 19.0
step 16583 	 return [0.00467144 0.00920058 0.00975747], ([0.00245185 0.000941   0.00166728]) 	 loss 4.740E-01 	 horizons 19.0
step 16773 	 return [0.00736407 0.01050829 0.00822761], ([0.0007147  0.00104742 0.00137478]) 	 loss 4.445E-01 	 horizons 19.0
step 16963 	 return [0.00749946 0.01039166 0.00846244], ([0.00133811 0.00121676 0.00106452]) 	 loss 4.674E-01 	 horizons 19.0
step 17153 	 return [0.00640331 0.01030333 0.00910968], ([0.00186267 0.00131587 0.00124363]) 	 loss 4.385E-01 	 horizons 19.0
step 17343 	 return [0.00673005 0.00995907 0.00880367], ([0.00138133 0.00097253 0.00130689]) 	 loss 4.735E-01 	 horizons 19.0
step 17533 	 return [0.00728681 0.01069059 0.00900069], ([0.00048823 0.00134967 0.00140647]) 	 loss 4.435E-01 	 horizons 19.0
step 17723 	 return [0.00744495 0.01055959 0.00873475], ([0.00093626 0.00095128 0.0008722 ]) 	 loss 4.210E-01 	 horizons 19.0
step 17913 	 return [0.00761    0.01075726 0.00962048], ([0.00043431 0.00079509 0.00150508]) 	 loss 4.323E-01 	 horizons 19.0
step 18103 	 return [0.00703711 0.01012952 0.0094183 ], ([0.00104918 0.00130298 0.00196289]) 	 loss 4.409E-01 	 horizons 19.0
step 18293 	 return [0.00727328 0.01111746 0.00924992], ([0.00089154 0.00116397 0.00092269]) 	 loss 4.441E-01 	 horizons 19.0
step 18483 	 return [0.0076304  0.01082395 0.00885616], ([0.00070142 0.00108559 0.00138549]) 	 loss 4.273E-01 	 horizons 19.0
step 18673 	 return [0.00645577 0.0114062  0.00985389], ([0.00128678 0.0007679  0.00156344]) 	 loss 4.064E-01 	 horizons 19.0
step 18863 	 return [0.00755034 0.01111023 0.0088668 ], ([0.00092583 0.00107984 0.00191805]) 	 loss 4.197E-01 	 horizons 19.0
step 19053 	 return [0.00810666 0.01085014 0.00821037], ([0.0008703  0.00088999 0.0021438 ]) 	 loss 4.255E-01 	 horizons 19.0
step 19243 	 return [0.00837542 0.01140314 0.00878631], ([0.00087142 0.00129459 0.0010213 ]) 	 loss 4.154E-01 	 horizons 19.0
step 19433 	 return [0.00737879 0.01016526 0.00978475], ([0.0011739  0.00075615 0.00117011]) 	 loss 4.045E-01 	 horizons 19.0
step 19623 	 return [0.00774855 0.01052975 0.00764552], ([0.0012544  0.0009191  0.00136951]) 	 loss 3.943E-01 	 horizons 19.0
step 19813 	 return [0.00828295 0.01173954 0.00921166], ([0.00062584 0.00095809 0.00148436]) 	 loss 3.835E-01 	 horizons 19.0
step 20003 	 return [0.00796657 0.01157678 0.0098174 ], ([0.00066925 0.00076552 0.00088597]) 	 loss 3.768E-01 	 horizons 19.0
step 20193 	 return [0.01079586 0.01037719 0.00546533], ([0.00205089 0.00102538 0.00157524]) 	 loss 3.818E-01 	 horizons 19.0
