/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5ggf9wfz
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034540-5ggf9wfz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatial__456__1781487940
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/5ggf9wfz
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatial', wandb_entity=None)
step 2004 	 return [0.00412489 0.00348559 0.00170798], ([0.0023705  0.00239174 0.00180688]) 	 loss 1.889E+00 	 horizons 19.0
step 2194 	 return [0.00261405 0.00377066 0.0033947 ], ([0.00145481 0.00200156 0.00294041]) 	 loss 1.448E+00 	 horizons 19.0
step 2381 	 return [0.00286332 0.00343307 0.00301656], ([0.00154898 0.00190682 0.00321205]) 	 loss 1.093E+00 	 horizons 18.7
step 2571 	 return [0.00384651 0.00340083 0.00246099], ([0.00231113 0.00218809 0.00261439]) 	 loss 9.801E-01 	 horizons 19.0
step 2761 	 return [0.00326074 0.00302592 0.00215341], ([0.00215307 0.00182607 0.00235956]) 	 loss 9.579E-01 	 horizons 19.0
step 2951 	 return [0.00193888 0.00340429 0.00412655], ([0.00090865 0.00123009 0.0020083 ]) 	 loss 9.136E-01 	 horizons 19.0
step 3141 	 return [0.00373113 0.00394682 0.00274801], ([0.0020688  0.0021205  0.00255098]) 	 loss 8.890E-01 	 horizons 19.0
step 3331 	 return [0.00260274 0.00422724 0.0039695 ], ([0.00245602 0.00188373 0.00275891]) 	 loss 8.468E-01 	 horizons 19.0
step 3521 	 return [0.00466424 0.00485239 0.00276064], ([0.00049654 0.00261197 0.00208001]) 	 loss 8.451E-01 	 horizons 19.0
step 3711 	 return [0.00375479 0.00479967 0.00256453], ([0.00171912 0.0028114  0.0021143 ]) 	 loss 7.942E-01 	 horizons 19.0
step 3901 	 return [0.00310783 0.00563137 0.00465996], ([0.00187954 0.0015555  0.00224377]) 	 loss 8.179E-01 	 horizons 19.0
step 4091 	 return [0.00236473 0.00455759 0.00469812], ([0.00204896 0.00168816 0.00243312]) 	 loss 7.880E-01 	 horizons 19.0
step 4281 	 return [0.00475246 0.00430232 0.00259068], ([0.00167502 0.00240804 0.00171608]) 	 loss 7.791E-01 	 horizons 19.0
step 4471 	 return [0.00336706 0.00572435 0.00468854], ([0.00209614 0.0021641  0.00303518]) 	 loss 7.499E-01 	 horizons 19.0
step 4661 	 return [0.00364986 0.00545443 0.00456196], ([0.00135579 0.00184299 0.00250991]) 	 loss 7.620E-01 	 horizons 19.0
step 4851 	 return [0.00397814 0.00390498 0.00244415], ([0.00080104 0.00125838 0.00155831]) 	 loss 7.568E-01 	 horizons 19.0
step 5041 	 return [0.00309745 0.00516718 0.00493799], ([0.00144493 0.0022301  0.00253263]) 	 loss 7.107E-01 	 horizons 19.0
step 5231 	 return [0.00296049 0.00489663 0.00401114], ([0.00197878 0.00263892 0.00332546]) 	 loss 7.256E-01 	 horizons 19.0
step 5421 	 return [0.0035027  0.00439638 0.00289533], ([0.00154177 0.0017041  0.00160879]) 	 loss 7.606E-01 	 horizons 19.0
step 5611 	 return [0.00436224 0.00392399 0.00269371], ([0.00125051 0.00242966 0.00208634]) 	 loss 7.285E-01 	 horizons 19.0
step 5801 	 return [0.00474921 0.004266   0.00335527], ([0.00151631 0.00207107 0.00299667]) 	 loss 7.330E-01 	 horizons 19.0
step 5991 	 return [0.00391592 0.0048603  0.00395021], ([0.00196719 0.00139091 0.0015481 ]) 	 loss 7.274E-01 	 horizons 19.0
step 6181 	 return [0.00289492 0.00663054 0.00512149], ([0.00203348 0.00213472 0.00196195]) 	 loss 7.130E-01 	 horizons 19.0
step 6371 	 return [0.00390812 0.00515358 0.00419541], ([0.00089133 0.00128759 0.00174297]) 	 loss 7.220E-01 	 horizons 19.0
step 6561 	 return [0.0030993  0.00646019 0.00578379], ([0.00157335 0.00095988 0.00202104]) 	 loss 7.216E-01 	 horizons 19.0
step 6751 	 return [0.00340889 0.00442752 0.00343227], ([0.00078305 0.00086865 0.00168382]) 	 loss 7.085E-01 	 horizons 19.0
step 6941 	 return [0.00371024 0.00576057 0.00477034], ([0.0018048  0.00279854 0.00168618]) 	 loss 6.934E-01 	 horizons 19.0
step 7131 	 return [0.00319068 0.0066237  0.00510462], ([0.0018641  0.00183693 0.00192391]) 	 loss 6.884E-01 	 horizons 19.0
step 7321 	 return [0.00311418 0.00682861 0.00557406], ([0.00187685 0.00215466 0.00223189]) 	 loss 6.644E-01 	 horizons 19.0
step 7511 	 return [0.00227599 0.00625297 0.00617394], ([0.00184101 0.00205805 0.0021707 ]) 	 loss 6.706E-01 	 horizons 19.0
step 7701 	 return [0.00419017 0.00620695 0.00484605], ([0.0015297  0.00228961 0.00213297]) 	 loss 6.846E-01 	 horizons 19.0
step 7891 	 return [0.00320342 0.00631702 0.00571208], ([0.00162212 0.0020226  0.00237927]) 	 loss 7.140E-01 	 horizons 19.0
step 8081 	 return [0.00491762 0.00619891 0.00492804], ([0.00207786 0.00218109 0.00356387]) 	 loss 7.114E-01 	 horizons 19.0
step 8271 	 return [0.00410399 0.00679415 0.00517877], ([0.00118891 0.00226059 0.00176292]) 	 loss 7.018E-01 	 horizons 19.0
step 8461 	 return [0.00242307 0.00765151 0.00667633], ([0.00169375 0.00203105 0.00189938]) 	 loss 7.100E-01 	 horizons 19.0
step 8651 	 return [0.00360533 0.00862635 0.00631438], ([0.00138958 0.00225963 0.00196637]) 	 loss 6.978E-01 	 horizons 19.0
step 8841 	 return [0.00330947 0.0080636  0.00647221], ([0.0015077  0.00151378 0.00210643]) 	 loss 6.918E-01 	 horizons 19.0
step 9031 	 return [0.00573901 0.00628776 0.00395788], ([0.00237799 0.00265184 0.00198493]) 	 loss 6.990E-01 	 horizons 19.0
step 9221 	 return [0.00293844 0.00781367 0.00638773], ([0.00173291 0.00182661 0.00097255]) 	 loss 6.595E-01 	 horizons 19.0
step 9411 	 return [0.00446491 0.0070561  0.00561527], ([0.00232433 0.00300599 0.00302757]) 	 loss 6.516E-01 	 horizons 19.0
step 9601 	 return [0.00238309 0.00714186 0.00640917], ([0.0013069  0.00205249 0.00195721]) 	 loss 6.773E-01 	 horizons 19.0
step 9791 	 return [0.00279772 0.00790765 0.00531514], ([0.00164278 0.00328284 0.00295495]) 	 loss 6.443E-01 	 horizons 19.0
step 9981 	 return [0.00405782 0.00851698 0.00621633], ([0.00160393 0.00172902 0.00143218]) 	 loss 6.616E-01 	 horizons 19.0
step 10171 	 return [0.00387062 0.00723216 0.00521772], ([0.00106948 0.0023441  0.00308013]) 	 loss 6.998E-01 	 horizons 19.0
step 10361 	 return [0.00378901 0.00842392 0.00617451], ([0.00123998 0.00249813 0.00127404]) 	 loss 6.831E-01 	 horizons 19.0
step 10551 	 return [0.00316839 0.00999204 0.00583297], ([0.00115385 0.00173449 0.00168794]) 	 loss 6.768E-01 	 horizons 19.0
step 10741 	 return [0.00393606 0.0090529  0.00622946], ([0.00182948 0.00270503 0.00130584]) 	 loss 6.625E-01 	 horizons 19.0
step 10931 	 return [0.00342761 0.00759435 0.00555167], ([0.0020753  0.00259721 0.00244971]) 	 loss 6.536E-01 	 horizons 19.0
step 11121 	 return [0.00360719 0.00891189 0.00573877], ([0.00126488 0.0022445  0.00137745]) 	 loss 6.614E-01 	 horizons 19.0
step 11311 	 return [0.00457396 0.0087428  0.00615925], ([0.00189953 0.00177302 0.00198801]) 	 loss 6.467E-01 	 horizons 19.0
step 11501 	 return [0.00307954 0.00933913 0.00697145], ([0.00210079 0.00248432 0.00265638]) 	 loss 6.179E-01 	 horizons 19.0
step 11691 	 return [0.00357059 0.00758471 0.00690156], ([0.00206847 0.00174898 0.00291467]) 	 loss 6.163E-01 	 horizons 19.0
step 11881 	 return [0.00555135 0.00752463 0.00511741], ([0.00225276 0.0020945  0.00199268]) 	 loss 6.252E-01 	 horizons 19.0
step 12071 	 return [0.0033117  0.00912317 0.00630889], ([0.00163301 0.00305474 0.00291771]) 	 loss 6.163E-01 	 horizons 19.0
step 12261 	 return [0.00503469 0.00935237 0.00686519], ([0.00113975 0.00112674 0.00146349]) 	 loss 5.840E-01 	 horizons 19.0
step 12451 	 return [0.00201089 0.00706106 0.00642139], ([0.00116274 0.00214534 0.00147053]) 	 loss 6.035E-01 	 horizons 19.0
step 12641 	 return [0.00450293 0.00891276 0.00691676], ([0.00142887 0.00155964 0.00102189]) 	 loss 6.318E-01 	 horizons 19.0
step 12831 	 return [0.0059199  0.01164415 0.00575694], ([0.00171831 0.00173765 0.0011621 ]) 	 loss 6.226E-01 	 horizons 19.0
step 13021 	 return [0.00543892 0.00990556 0.00658457], ([0.0008702  0.00211424 0.00094879]) 	 loss 5.922E-01 	 horizons 19.0
step 13211 	 return [0.00581296 0.00949349 0.00678641], ([0.00197152 0.00211218 0.00199504]) 	 loss 5.936E-01 	 horizons 19.0
step 13401 	 return [0.00523827 0.01103621 0.00590132], ([0.00166522 0.00188339 0.0012869 ]) 	 loss 5.779E-01 	 horizons 19.0
step 13591 	 return [0.00425691 0.01037856 0.00696582], ([0.0012518  0.00134082 0.00123664]) 	 loss 5.664E-01 	 horizons 19.0
step 13781 	 return [0.00655221 0.0119684  0.00719466], ([0.00115981 0.00152399 0.00155523]) 	 loss 5.586E-01 	 horizons 19.0
step 13971 	 return [0.00560468 0.00982921 0.00684206], ([0.0018052  0.0022565  0.00157424]) 	 loss 5.406E-01 	 horizons 19.0
step 14161 	 return [0.00594398 0.01073442 0.0061901 ], ([0.00160322 0.00210797 0.00213248]) 	 loss 5.399E-01 	 horizons 19.0
step 14351 	 return [0.00595663 0.00950156 0.0066395 ], ([0.00181941 0.00260817 0.00166737]) 	 loss 5.099E-01 	 horizons 19.0
step 14541 	 return [0.00650625 0.00959526 0.0058512 ], ([0.00183479 0.00182817 0.00185237]) 	 loss 5.059E-01 	 horizons 19.0
step 14731 	 return [0.00555431 0.00865105 0.00587544], ([0.00192462 0.00173651 0.00185215]) 	 loss 5.032E-01 	 horizons 19.0
step 14921 	 return [0.00693367 0.01052545 0.00549211], ([0.00127256 0.0018989  0.00168889]) 	 loss 5.314E-01 	 horizons 19.0
step 15111 	 return [0.00311    0.00725657 0.00815655], ([0.00084779 0.00084628 0.00126725]) 	 loss 4.981E-01 	 horizons 19.0
step 15301 	 return [0.00666476 0.01013866 0.00610345], ([0.00114038 0.00332951 0.00219132]) 	 loss 5.082E-01 	 horizons 19.0
step 15491 	 return [0.00597312 0.00951011 0.00608942], ([0.00126408 0.00413852 0.00300958]) 	 loss 4.805E-01 	 horizons 19.0
step 15681 	 return [0.0073185  0.01205947 0.00618798], ([0.00127458 0.00129033 0.00126723]) 	 loss 4.771E-01 	 horizons 19.0
step 15871 	 return [0.00763967 0.01141269 0.00599061], ([0.00079798 0.00117184 0.00182689]) 	 loss 4.591E-01 	 horizons 19.0
step 16061 	 return [0.00778044 0.01162997 0.00559221], ([0.0010049 0.0013742 0.0008478]) 	 loss 4.699E-01 	 horizons 19.0
step 16251 	 return [0.00234431 0.00821321 0.00976017], ([0.00027996 0.00121608 0.00146925]) 	 loss 4.438E-01 	 horizons 19.0
