/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run l1rgclvm
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034542-l1rgclvm
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatial__789__1781487941
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/l1rgclvm
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatial', wandb_entity=None)
step 1961 	 return [0.00342895 0.0035432  0.00309712], ([0.00219981 0.00298888 0.00345917]) 	 loss 1.943E+00 	 horizons 19.0
step 2146 	 return [0.00250027 0.00266873 0.00197894], ([0.00149021 0.00296347 0.00322562]) 	 loss 1.480E+00 	 horizons 18.5
step 2336 	 return [0.00421605 0.00483155 0.00329645], ([0.0018702  0.0022673  0.00224838]) 	 loss 1.096E+00 	 horizons 19.0
step 2526 	 return [0.00381172 0.00358638 0.00355934], ([0.00157286 0.0021915  0.00390449]) 	 loss 9.962E-01 	 horizons 19.0
step 2716 	 return [0.00306909 0.00461815 0.00449254], ([0.00147651 0.00224969 0.00344696]) 	 loss 9.267E-01 	 horizons 19.0
step 2906 	 return [0.00309298 0.00342512 0.00294585], ([0.00238178 0.00164137 0.00231299]) 	 loss 8.951E-01 	 horizons 19.0
step 3096 	 return [0.00314744 0.00427625 0.00325801], ([0.00240405 0.00204319 0.0027387 ]) 	 loss 8.683E-01 	 horizons 19.0
step 3286 	 return [0.00443071 0.00504677 0.00457794], ([0.00182327 0.00230553 0.00384268]) 	 loss 8.660E-01 	 horizons 19.0
step 3476 	 return [0.00412836 0.00425358 0.00252124], ([0.0017773  0.00218443 0.00198598]) 	 loss 8.378E-01 	 horizons 19.0
step 3666 	 return [0.00294315 0.00612655 0.00552095], ([0.00158607 0.00255861 0.00364395]) 	 loss 7.930E-01 	 horizons 19.0
step 3856 	 return [0.00409303 0.0051665  0.00381149], ([0.0009825  0.00090706 0.00181217]) 	 loss 8.063E-01 	 horizons 19.0
step 4046 	 return [0.00474806 0.00367293 0.00301658], ([0.00270757 0.0021282  0.00259851]) 	 loss 7.970E-01 	 horizons 19.0
step 4236 	 return [0.00403314 0.00511362 0.00355268], ([0.00239825 0.00221145 0.00247614]) 	 loss 7.575E-01 	 horizons 19.0
step 4426 	 return [0.00515059 0.00380257 0.00351823], ([0.00217278 0.00262442 0.00426365]) 	 loss 7.360E-01 	 horizons 19.0
step 4616 	 return [0.00422463 0.00484938 0.00405394], ([0.00202993 0.00173052 0.00193254]) 	 loss 7.075E-01 	 horizons 19.0
step 4806 	 return [0.00446391 0.00413968 0.00352759], ([0.0015864  0.00244178 0.00269082]) 	 loss 7.067E-01 	 horizons 19.0
step 4996 	 return [0.00390818 0.00611046 0.004186  ], ([0.00126346 0.00264058 0.00268694]) 	 loss 7.192E-01 	 horizons 19.0
step 5186 	 return [0.00292839 0.0048176  0.00394717], ([0.00138184 0.00193225 0.00223285]) 	 loss 7.113E-01 	 horizons 19.0
step 5376 	 return [0.00277251 0.00493249 0.00567892], ([0.00156292 0.00195556 0.0020693 ]) 	 loss 7.194E-01 	 horizons 19.0
step 5566 	 return [0.00322278 0.00607268 0.00455187], ([0.00167945 0.00189186 0.00251036]) 	 loss 7.054E-01 	 horizons 19.0
step 5756 	 return [0.00297166 0.00599929 0.00654715], ([0.00152286 0.00150752 0.00230522]) 	 loss 7.512E-01 	 horizons 19.0
step 5946 	 return [0.00370457 0.00643724 0.00527348], ([0.002021   0.00217729 0.00331839]) 	 loss 7.295E-01 	 horizons 19.0
step 6136 	 return [0.00290356 0.00542051 0.00548203], ([0.00126334 0.00133949 0.00266672]) 	 loss 7.190E-01 	 horizons 19.0
step 6326 	 return [0.00369774 0.00597687 0.0044447 ], ([0.00209624 0.00192853 0.00159454]) 	 loss 7.455E-01 	 horizons 19.0
step 6516 	 return [0.0031318  0.00621576 0.00636854], ([0.00175212 0.00153222 0.00224337]) 	 loss 7.129E-01 	 horizons 19.0
step 6706 	 return [0.003488   0.00558325 0.00428499], ([0.00112808 0.0021812  0.00170821]) 	 loss 7.439E-01 	 horizons 19.0
step 6896 	 return [0.00387297 0.00723166 0.00753214], ([0.00160732 0.00150682 0.00226557]) 	 loss 7.371E-01 	 horizons 19.0
step 7086 	 return [0.00348594 0.00570979 0.00493625], ([0.00192769 0.00132547 0.0021677 ]) 	 loss 7.569E-01 	 horizons 19.0
