/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kwgj5gnv
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034550-kwgj5gnv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatiotemporal__1024__1781487949
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kwgj5gnv
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatiotemporal', wandb_entity=None)
step 1985 	 return [0.00372286 0.00456228 0.00347741], ([0.00172638 0.00233937 0.00226094]) 	 loss 1.917E+00 	 horizons 19.0
step 2163 	 return [0.00177372 0.00345485 0.00198992], ([0.00116964 0.00199479 0.00194064]) 	 loss 1.436E+00 	 horizons 17.8
step 2353 	 return [0.00420289 0.00573763 0.00525042], ([0.00231326 0.00185766 0.00237914]) 	 loss 1.081E+00 	 horizons 19.0
step 2543 	 return [0.00265402 0.00444997 0.00392938], ([0.00151825 0.00266364 0.00287259]) 	 loss 9.797E-01 	 horizons 19.0
step 2733 	 return [0.00325833 0.0054006  0.00593231], ([0.00099161 0.00217865 0.00225071]) 	 loss 9.602E-01 	 horizons 19.0
step 2923 	 return [0.00319217 0.00495134 0.0036073 ], ([0.00211213 0.00199418 0.0021993 ]) 	 loss 9.001E-01 	 horizons 19.0
step 3107 	 return [0.00328679 0.00251428 0.00129748], ([0.00132785 0.00357275 0.00258111]) 	 loss 9.115E-01 	 horizons 18.4
step 3297 	 return [0.00348233 0.00512377 0.00425542], ([0.00232148 0.00280678 0.00236114]) 	 loss 8.552E-01 	 horizons 19.0
step 3483 	 return [0.00275767 0.00357424 0.00277371], ([0.00125492 0.00284145 0.0024562 ]) 	 loss 8.695E-01 	 horizons 18.6
step 3673 	 return [0.00569448 0.00737218 0.00615435], ([0.00216593 0.00258796 0.00267395]) 	 loss 8.444E-01 	 horizons 19.0
step 3863 	 return [0.00218585 0.00534779 0.00560962], ([0.00158276 0.00246586 0.00248433]) 	 loss 8.573E-01 	 horizons 19.0
step 4053 	 return [0.00292798 0.00531682 0.00489825], ([0.00098762 0.00117979 0.00189274]) 	 loss 8.274E-01 	 horizons 19.0
step 4243 	 return [0.00355612 0.00657158 0.00598863], ([0.00260138 0.00244576 0.00298049]) 	 loss 8.304E-01 	 horizons 19.0
step 4433 	 return [0.00354652 0.00574561 0.00551729], ([0.00184364 0.00116489 0.00204702]) 	 loss 8.137E-01 	 horizons 19.0
step 4623 	 return [0.0062734  0.00229365 0.00171582], ([0.00176866 0.0018448  0.00275915]) 	 loss 8.516E-01 	 horizons 19.0
step 4813 	 return [0.00318673 0.00526952 0.00496657], ([0.00141758 0.00175381 0.00226164]) 	 loss 8.140E-01 	 horizons 19.0
step 5003 	 return [0.00323378 0.00601283 0.00614488], ([0.00153567 0.00196347 0.00253868]) 	 loss 7.967E-01 	 horizons 19.0
step 5193 	 return [0.00384453 0.00684056 0.00575722], ([0.00193683 0.0015733  0.00165702]) 	 loss 8.148E-01 	 horizons 19.0
step 5383 	 return [0.00382099 0.00379266 0.00343956], ([0.00121641 0.00182646 0.00227704]) 	 loss 8.044E-01 	 horizons 19.0
step 5573 	 return [0.00361063 0.00555196 0.00416518], ([0.0015803  0.00228858 0.00212392]) 	 loss 7.800E-01 	 horizons 19.0
