/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034546-ugpb9gd1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatiotemporal__123__1781487945
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/ugpb9gd1
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatiotemporal', wandb_entity=None)
step 1975 	 return [0.00271226 0.00447479 0.00327103], ([0.00287151 0.00333473 0.00321399]) 	 loss 1.931E+00 	 horizons 17.8
step 2150 	 return [0.00174056 0.00275292 0.00228006], ([0.00075886 0.0026068  0.00235434]) 	 loss 1.510E+00 	 horizons 17.5
step 2340 	 return [0.00354626 0.00568268 0.00419472], ([0.0009896  0.00263052 0.00299838]) 	 loss 1.124E+00 	 horizons 19.0
step 2530 	 return [0.00303513 0.00644317 0.00607471], ([0.00218248 0.00236817 0.00273928]) 	 loss 1.014E+00 	 horizons 19.0
step 2720 	 return [0.00366519 0.00615303 0.0045614 ], ([0.00181282 0.00140284 0.00175923]) 	 loss 9.479E-01 	 horizons 19.0
step 2910 	 return [0.00432241 0.00605607 0.00577651], ([0.00139607 0.00241123 0.00222886]) 	 loss 9.437E-01 	 horizons 19.0
step 3100 	 return [0.00387502 0.00668235 0.00680158], ([0.00146426 0.00113456 0.00200545]) 	 loss 9.165E-01 	 horizons 19.0
step 3290 	 return [0.00370403 0.00547606 0.00504268], ([0.00184468 0.0014989  0.00121082]) 	 loss 9.348E-01 	 horizons 19.0
step 3480 	 return [0.00491248 0.00601538 0.00519422], ([0.00149488 0.0019317  0.0027971 ]) 	 loss 9.072E-01 	 horizons 19.0
step 3670 	 return [0.00465238 0.00679871 0.00542604], ([0.00103092 0.0024191  0.00222559]) 	 loss 9.093E-01 	 horizons 19.0
step 3860 	 return [0.00393431 0.00620624 0.00478385], ([0.00130019 0.00261135 0.0018212 ]) 	 loss 8.946E-01 	 horizons 19.0
step 4050 	 return [0.00300192 0.00518991 0.00498634], ([0.00249508 0.00080763 0.00208856]) 	 loss 8.757E-01 	 horizons 19.0
step 4240 	 return [0.00439499 0.00602023 0.00599885], ([0.00131861 0.00200283 0.00197556]) 	 loss 8.676E-01 	 horizons 19.0
step 4430 	 return [0.0040355  0.00704821 0.00601423], ([0.00181449 0.00264155 0.00212933]) 	 loss 8.648E-01 	 horizons 19.0
step 4620 	 return [0.00461323 0.00630026 0.00591501], ([0.0015543  0.00234289 0.00325576]) 	 loss 8.732E-01 	 horizons 19.0
step 4810 	 return [0.00435299 0.00754817 0.00587728], ([0.00155836 0.00220865 0.00203738]) 	 loss 8.405E-01 	 horizons 19.0
