/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034542-kh0lcdnj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatiotemporal__42__1781487941
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kh0lcdnj
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatiotemporal', wandb_entity=None)
step 2011 	 return [0.00269447 0.00473118 0.00373196], ([0.0020216  0.00248625 0.00327995]) 	 loss 1.914E+00 	 horizons 18.6
step 2200 	 return [0.00285274 0.00282424 0.00196745], ([0.00167641 0.00244568 0.00239171]) 	 loss 1.454E+00 	 horizons 18.9
step 2381 	 return [0.00367699 0.00264663 0.0008577 ], ([0.00312627 0.00244395 0.00119418]) 	 loss 1.153E+00 	 horizons 18.1
step 2571 	 return [0.00437624 0.00324333 0.002016  ], ([0.00203659 0.0014676  0.00208068]) 	 loss 1.005E+00 	 horizons 19.0
step 2761 	 return [0.0034506  0.00319574 0.00211479], ([0.00215332 0.00187798 0.00191407]) 	 loss 9.281E-01 	 horizons 19.0
step 2951 	 return [0.00499705 0.00324537 0.00223427], ([0.00229952 0.0022046  0.00254287]) 	 loss 8.612E-01 	 horizons 19.0
step 3141 	 return [0.00447725 0.0030638  0.00178508], ([0.0023161  0.00216802 0.00224296]) 	 loss 8.632E-01 	 horizons 19.0
step 3331 	 return [0.00394821 0.0034859  0.00265356], ([0.00231176 0.00209822 0.00240076]) 	 loss 8.283E-01 	 horizons 19.0
step 3521 	 return [0.00479365 0.00351591 0.00246808], ([0.00262148 0.00162104 0.00184212]) 	 loss 8.051E-01 	 horizons 19.0
step 3711 	 return [0.00464327 0.00415763 0.00277534], ([0.00257372 0.00262234 0.0026383 ]) 	 loss 8.202E-01 	 horizons 19.0
step 3901 	 return [0.00450968 0.00436013 0.00401017], ([0.0019261  0.00234299 0.00286686]) 	 loss 7.751E-01 	 horizons 19.0
step 4091 	 return [0.00462246 0.00278527 0.00132822], ([0.00220648 0.00166489 0.00152782]) 	 loss 7.714E-01 	 horizons 19.0
step 4281 	 return [0.00403711 0.00426247 0.00396927], ([0.00266987 0.00180872 0.00285123]) 	 loss 7.495E-01 	 horizons 19.0
step 4471 	 return [0.00409218 0.00496613 0.00440451], ([0.00172268 0.00124752 0.0013159 ]) 	 loss 7.134E-01 	 horizons 19.0
step 4661 	 return [0.00313175 0.00535028 0.00380436], ([0.00106721 0.0019275  0.00183298]) 	 loss 7.246E-01 	 horizons 19.0
step 4851 	 return [0.0041898  0.00486997 0.00430532], ([0.00190709 0.00148555 0.00232071]) 	 loss 6.979E-01 	 horizons 19.0
