/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run j6i60nqj
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_034547-j6i60nqj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-spatiotemporal__789__1781487947
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/j6i60nqj
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-spatiotemporal', wandb_entity=None)
step 1919 	 return [0.00248338 0.00388132 0.00271429], ([0.00117792 0.00377462 0.0034267 ]) 	 loss 1.971E+00 	 horizons 18.1
step 2104 	 return [0.00205779 0.00380027 0.00368085], ([0.00071374 0.00223932 0.00301682]) 	 loss 1.555E+00 	 horizons 18.5
step 2290 	 return [0.00221611 0.00470897 0.00436721], ([0.00144852 0.00168066 0.00194762]) 	 loss 1.160E+00 	 horizons 18.6
step 2480 	 return [0.00249027 0.00506787 0.00476655], ([0.00153949 0.00194523 0.00105647]) 	 loss 1.023E+00 	 horizons 19.0
step 2670 	 return [0.00273344 0.00428493 0.00390309], ([0.00225882 0.00185897 0.00227825]) 	 loss 9.715E-01 	 horizons 19.0
step 2860 	 return [0.00307626 0.00574231 0.00561287], ([0.00296706 0.00152008 0.00137582]) 	 loss 9.663E-01 	 horizons 19.0
step 3050 	 return [0.0032779  0.00469724 0.00488863], ([0.00121143 0.00200674 0.0027656 ]) 	 loss 9.600E-01 	 horizons 19.0
step 3240 	 return [0.0036482  0.00454522 0.00485386], ([0.00268677 0.00283976 0.00418081]) 	 loss 9.642E-01 	 horizons 19.0
step 3430 	 return [0.00410605 0.0058365  0.00491201], ([0.00132422 0.00198823 0.00260383]) 	 loss 9.214E-01 	 horizons 19.0
step 3620 	 return [0.00349474 0.00618185 0.00506477], ([0.00251279 0.00159348 0.00284988]) 	 loss 9.256E-01 	 horizons 19.0
step 3810 	 return [0.00473704 0.00613979 0.00430629], ([0.00200567 0.0017184  0.0024657 ]) 	 loss 9.119E-01 	 horizons 19.0
step 4000 	 return [0.00384767 0.00501407 0.00347196], ([0.00139184 0.00338461 0.00272204]) 	 loss 8.720E-01 	 horizons 19.0
step 4190 	 return [0.00388938 0.00640815 0.0045413 ], ([0.00166245 0.00298554 0.00237897]) 	 loss 8.877E-01 	 horizons 19.0
step 4380 	 return [0.00435986 0.0051981  0.00424278], ([0.00130997 0.00284439 0.00269803]) 	 loss 8.779E-01 	 horizons 19.0
step 4570 	 return [0.00462149 0.00579703 0.00489329], ([0.00259455 0.00259605 0.00280162]) 	 loss 8.432E-01 	 horizons 19.0
step 4760 	 return [0.00502448 0.00398518 0.00212676], ([0.00252232 0.00225533 0.0023277 ]) 	 loss 8.455E-01 	 horizons 19.0
step 4950 	 return [0.00441694 0.00578725 0.00483513], ([0.00179595 0.00253345 0.00206919]) 	 loss 8.502E-01 	 horizons 19.0
step 5140 	 return [0.00439703 0.00706853 0.006624  ], ([0.00200117 0.00175339 0.00242559]) 	 loss 8.259E-01 	 horizons 19.0
step 5330 	 return [0.00380023 0.00590479 0.00442267], ([0.00128729 0.00189041 0.00191302]) 	 loss 8.461E-01 	 horizons 19.0
step 5520 	 return [0.00465883 0.00678284 0.00575319], ([0.00182133 0.00301913 0.00270964]) 	 loss 8.844E-01 	 horizons 19.0
step 5710 	 return [0.0048149  0.00594438 0.00472963], ([0.00204519 0.00245118 0.0025861 ]) 	 loss 8.413E-01 	 horizons 19.0
step 5900 	 return [0.00357623 0.00463889 0.00509325], ([0.00270273 0.00191339 0.00283779]) 	 loss 8.629E-01 	 horizons 19.0
step 6090 	 return [0.00224824 0.00696464 0.00656679], ([0.00136897 0.00170393 0.00181346]) 	 loss 8.575E-01 	 horizons 19.0
step 6280 	 return [0.00480889 0.0082924  0.00637069], ([0.00179822 0.0006239  0.00209547]) 	 loss 8.403E-01 	 horizons 19.0
step 6470 	 return [0.00395009 0.00722151 0.0064575 ], ([0.00178988 0.00117925 0.00180582]) 	 loss 8.482E-01 	 horizons 19.0
step 6660 	 return [0.00622406 0.0088728  0.00567652], ([0.00196932 0.001854   0.00211961]) 	 loss 8.545E-01 	 horizons 19.0
step 6850 	 return [0.00325262 0.00743966 0.00686276], ([0.00148941 0.00092605 0.00268309]) 	 loss 8.745E-01 	 horizons 19.0
step 7040 	 return [0.00566566 0.00854679 0.00756724], ([0.00189747 0.00254494 0.00268224]) 	 loss 8.465E-01 	 horizons 19.0
step 7230 	 return [0.00458958 0.00590416 0.00455481], ([0.00180104 0.00170722 0.00188585]) 	 loss 8.223E-01 	 horizons 19.0
step 7420 	 return [0.0055928  0.00819199 0.00616439], ([0.00244019 0.00234518 0.00328341]) 	 loss 8.232E-01 	 horizons 19.0
