/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xnahmt3z
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-xnahmt3z
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-temporal__1024__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/xnahmt3z
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-temporal', wandb_entity=None)
step 1954 	 return [0.00281905 0.00311265 0.00289052], ([0.00188175 0.0028505  0.0028371 ]) 	 loss 1.939E+00 	 horizons 17.6
step 2138 	 return [0.00194817 0.00342311 0.0029832 ], ([0.00115131 0.00241746 0.0035209 ]) 	 loss 1.597E+00 	 horizons 18.4
step 2328 	 return [0.0032876  0.00380241 0.00305204], ([0.00219603 0.0018421  0.00242228]) 	 loss 1.180E+00 	 horizons 19.0
step 2512 	 return [0.00216636 0.00173881 0.00133983], ([0.00159498 0.00154232 0.00206741]) 	 loss 1.043E+00 	 horizons 18.4
step 2702 	 return [0.00126209 0.00361232 0.0036926 ], ([0.00164584 0.00090463 0.001899  ]) 	 loss 9.853E-01 	 horizons 19.0
step 2888 	 return [0.00214508 0.00265614 0.00218823], ([0.00150346 0.00202338 0.00214796]) 	 loss 9.152E-01 	 horizons 18.6
step 3078 	 return [0.00192485 0.00473356 0.00579326], ([0.00168223 0.00169145 0.00149876]) 	 loss 9.284E-01 	 horizons 19.0
step 3268 	 return [0.00245397 0.00516639 0.00509889], ([0.00300196 0.0013156  0.00180459]) 	 loss 8.681E-01 	 horizons 19.0
step 3458 	 return [0.00275292 0.0056188  0.00587821], ([0.0020588  0.00192256 0.0025257 ]) 	 loss 9.111E-01 	 horizons 19.0
step 3648 	 return [0.00419083 0.00558172 0.00458854], ([0.00277795 0.00211567 0.00201586]) 	 loss 8.717E-01 	 horizons 19.0
step 3838 	 return [0.00385629 0.00493289 0.00445109], ([0.00162983 0.00250559 0.00268236]) 	 loss 8.667E-01 	 horizons 19.0
step 4028 	 return [0.00451968 0.00579555 0.00521251], ([0.00231958 0.00203109 0.00206071]) 	 loss 8.318E-01 	 horizons 19.0
step 4218 	 return [0.00579184 0.00523133 0.00386816], ([0.00207799 0.00259599 0.00255727]) 	 loss 8.384E-01 	 horizons 19.0
step 4408 	 return [0.00346321 0.00720406 0.00669192], ([0.00211449 0.00155756 0.00252177]) 	 loss 8.221E-01 	 horizons 19.0
step 4598 	 return [0.00375585 0.00578043 0.00569193], ([0.00254211 0.0021874  0.00233891]) 	 loss 8.463E-01 	 horizons 19.0
step 4788 	 return [0.00647293 0.00566919 0.00488972], ([0.00153858 0.00248498 0.00260181]) 	 loss 7.932E-01 	 horizons 19.0
step 4978 	 return [0.00564537 0.00541974 0.00404179], ([0.00183486 0.00249303 0.00290844]) 	 loss 7.656E-01 	 horizons 19.0
step 5168 	 return [0.00401924 0.00908708 0.0063366 ], ([0.00216163 0.00180513 0.00251191]) 	 loss 8.053E-01 	 horizons 19.0
step 5358 	 return [0.00630119 0.00592794 0.00487437], ([0.00169331 0.00250153 0.00151452]) 	 loss 7.750E-01 	 horizons 19.0
step 5548 	 return [0.00434883 0.0077923  0.00706075], ([0.00180395 0.00198171 0.00208247]) 	 loss 7.593E-01 	 horizons 19.0
step 5738 	 return [0.00541768 0.00674531 0.00689064], ([0.00215587 0.00175688 0.00207257]) 	 loss 7.464E-01 	 horizons 19.0
step 5928 	 return [0.00586725 0.0089104  0.00528023], ([0.00200012 0.00125349 0.00252661]) 	 loss 7.228E-01 	 horizons 19.0
step 6118 	 return [0.00438312 0.00732076 0.0069114 ], ([0.00216541 0.0020315  0.00263132]) 	 loss 7.230E-01 	 horizons 19.0
step 6308 	 return [0.00609503 0.00669059 0.00506169], ([0.00208253 0.00237895 0.00196899]) 	 loss 6.989E-01 	 horizons 19.0
step 6498 	 return [0.00447445 0.00949159 0.00756716], ([0.00305009 0.00119535 0.00203954]) 	 loss 6.756E-01 	 horizons 19.0
step 6688 	 return [0.00484503 0.00734652 0.00693267], ([0.00250258 0.00124233 0.00247009]) 	 loss 7.093E-01 	 horizons 19.0
step 6878 	 return [0.00387377 0.00657037 0.00715815], ([0.00121515 0.00156167 0.00169437]) 	 loss 6.884E-01 	 horizons 19.0
step 7068 	 return [0.00577261 0.00770592 0.00597609], ([0.00207429 0.0013343  0.00246445]) 	 loss 7.094E-01 	 horizons 19.0
step 7258 	 return [0.00343842 0.00900193 0.00767292], ([0.00101602 0.00095207 0.00143229]) 	 loss 6.672E-01 	 horizons 19.0
step 7448 	 return [0.00687056 0.00746784 0.00587001], ([0.0022667  0.00099163 0.00240207]) 	 loss 6.525E-01 	 horizons 19.0
step 7638 	 return [0.00584886 0.0092268  0.00763868], ([0.00195423 0.00179729 0.00234058]) 	 loss 6.280E-01 	 horizons 19.0
step 7828 	 return [0.00682194 0.00790071 0.00631321], ([0.00240877 0.00161452 0.00241108]) 	 loss 6.200E-01 	 horizons 19.0
step 8018 	 return [0.00524758 0.0082783  0.00703575], ([0.00182788 0.00119361 0.00164893]) 	 loss 6.237E-01 	 horizons 19.0
step 8208 	 return [0.00594926 0.00788174 0.00718564], ([0.00161408 0.00155567 0.00181963]) 	 loss 6.399E-01 	 horizons 19.0
step 8398 	 return [0.00623062 0.00875339 0.00583883], ([0.00269861 0.00139766 0.00200302]) 	 loss 5.970E-01 	 horizons 19.0
step 8588 	 return [0.0037166  0.00694426 0.00612808], ([0.0014381  0.0016325  0.00109462]) 	 loss 5.640E-01 	 horizons 19.0
step 8778 	 return [0.00502467 0.00895044 0.00818185], ([0.00148391 0.00155925 0.00137124]) 	 loss 5.514E-01 	 horizons 19.0
step 8968 	 return [0.00562468 0.0079087  0.0076837 ], ([0.00201124 0.00150841 0.00142875]) 	 loss 5.323E-01 	 horizons 19.0
step 9158 	 return [0.00392853 0.00881507 0.00894616], ([0.00163143 0.00125052 0.00072155]) 	 loss 5.318E-01 	 horizons 19.0
step 9348 	 return [0.0034076  0.00697793 0.00637861], ([0.00085448 0.0010208  0.00178404]) 	 loss 5.100E-01 	 horizons 19.0
