/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5iafb72n
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-5iafb72n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-temporal__42__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/5iafb72n
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-temporal', wandb_entity=None)
step 2016 	 return [0.0029273  0.00483274 0.00372524], ([0.00173008 0.00299434 0.00369366]) 	 loss 1.894E+00 	 horizons 19.0
step 2191 	 return [0.00283677 0.00374874 0.003696  ], ([0.00194368 0.003671   0.00366548]) 	 loss 1.593E+00 	 horizons 17.5
step 2373 	 return [0.00269735 0.00300688 0.00350697], ([0.00199527 0.00221671 0.00318096]) 	 loss 1.241E+00 	 horizons 18.2
step 2563 	 return [0.00305475 0.00507049 0.00540157], ([0.00170141 0.00273235 0.00303739]) 	 loss 1.063E+00 	 horizons 19.0
step 2753 	 return [0.00235767 0.00459794 0.00414203], ([0.00150383 0.00193906 0.00221717]) 	 loss 1.001E+00 	 horizons 19.0
step 2943 	 return [0.0023959  0.00298631 0.00384716], ([0.00207393 0.00186145 0.00318896]) 	 loss 9.542E-01 	 horizons 19.0
step 3133 	 return [0.00191046 0.0043956  0.00462415], ([0.0012328  0.00159594 0.00241318]) 	 loss 9.679E-01 	 horizons 19.0
step 3323 	 return [0.00260335 0.00469579 0.00496462], ([0.00182459 0.0014206  0.00151444]) 	 loss 9.342E-01 	 horizons 19.0
step 3513 	 return [0.00254161 0.00412413 0.00470764], ([0.00137205 0.00231047 0.002595  ]) 	 loss 9.150E-01 	 horizons 19.0
step 3703 	 return [0.00224842 0.00491319 0.00425302], ([0.00194418 0.00203371 0.00251781]) 	 loss 9.242E-01 	 horizons 19.0
step 3893 	 return [0.00267073 0.00494641 0.0051237 ], ([0.00304834 0.00198711 0.00111351]) 	 loss 9.091E-01 	 horizons 19.0
step 4083 	 return [0.00240832 0.00581788 0.00705075], ([0.00239649 0.00087706 0.00181352]) 	 loss 8.920E-01 	 horizons 19.0
step 4273 	 return [0.00273223 0.00613523 0.00543029], ([0.00249203 0.00181042 0.0023464 ]) 	 loss 9.391E-01 	 horizons 19.0
step 4463 	 return [0.00278211 0.00590692 0.00531688], ([0.00182615 0.00173641 0.00258532]) 	 loss 8.855E-01 	 horizons 19.0
step 4653 	 return [0.00177705 0.00680707 0.00808238], ([0.00100759 0.00101653 0.00168418]) 	 loss 8.717E-01 	 horizons 19.0
step 4843 	 return [0.00326583 0.00646141 0.005112  ], ([0.00221838 0.00220063 0.00192819]) 	 loss 8.937E-01 	 horizons 19.0
step 5033 	 return [0.00333899 0.00718327 0.00698003], ([0.00131062 0.00230781 0.00208281]) 	 loss 9.303E-01 	 horizons 19.0
step 5223 	 return [0.00356333 0.0063841  0.00505752], ([0.00245666 0.00266422 0.00271313]) 	 loss 9.098E-01 	 horizons 19.0
step 5413 	 return [0.0025556  0.00693737 0.00669663], ([0.00131779 0.0012294  0.00175666]) 	 loss 8.964E-01 	 horizons 19.0
step 5603 	 return [0.00306199 0.00738697 0.00694099], ([0.0018314  0.00176377 0.0021651 ]) 	 loss 8.901E-01 	 horizons 19.0
step 5793 	 return [0.00335538 0.00651584 0.00587714], ([0.0024363  0.00225856 0.0028015 ]) 	 loss 8.772E-01 	 horizons 19.0
step 5983 	 return [0.00270713 0.00821179 0.00741835], ([0.00140507 0.00219282 0.00158437]) 	 loss 9.014E-01 	 horizons 19.0
step 6173 	 return [0.00361829 0.00888293 0.00734246], ([0.00229367 0.00114624 0.00244249]) 	 loss 8.926E-01 	 horizons 19.0
step 6363 	 return [0.0039583  0.00649563 0.005229  ], ([0.00155605 0.00246566 0.0015545 ]) 	 loss 9.037E-01 	 horizons 19.0
step 6553 	 return [0.00241497 0.00673816 0.00745951], ([0.00119862 0.00197469 0.00191538]) 	 loss 8.803E-01 	 horizons 19.0
step 6743 	 return [0.00353966 0.00638778 0.00611748], ([0.00141169 0.00257505 0.00215022]) 	 loss 8.648E-01 	 horizons 19.0
step 6933 	 return [0.00416936 0.00668157 0.00653169], ([0.00259405 0.00192375 0.00267365]) 	 loss 8.640E-01 	 horizons 19.0
step 7123 	 return [0.00342188 0.00709115 0.0066361 ], ([0.00137448 0.00285493 0.00285581]) 	 loss 8.486E-01 	 horizons 19.0
step 7313 	 return [0.0042643  0.00755829 0.00714416], ([0.00208742 0.00231272 0.00118963]) 	 loss 8.355E-01 	 horizons 19.0
step 7503 	 return [0.00287994 0.00886668 0.00889861], ([0.00133756 0.00154543 0.00109729]) 	 loss 8.101E-01 	 horizons 19.0
step 7693 	 return [0.00425994 0.00796325 0.00811551], ([0.00170649 0.00174347 0.00264618]) 	 loss 8.172E-01 	 horizons 19.0
step 7883 	 return [0.00353926 0.00813915 0.00785383], ([0.00113508 0.00191314 0.00174634]) 	 loss 8.054E-01 	 horizons 19.0
step 8073 	 return [0.00386626 0.00837732 0.00746459], ([0.00198082 0.00205176 0.00164261]) 	 loss 7.728E-01 	 horizons 19.0
step 8263 	 return [0.00417492 0.00831637 0.00742131], ([0.00286338 0.001973   0.00214104]) 	 loss 7.670E-01 	 horizons 19.0
step 8453 	 return [0.00477293 0.00699563 0.0063057 ], ([0.00210466 0.00225983 0.00265169]) 	 loss 7.644E-01 	 horizons 19.0
step 8643 	 return [0.0045432  0.00800684 0.00690142], ([0.00229773 0.00298655 0.00233893]) 	 loss 7.557E-01 	 horizons 19.0
step 8833 	 return [0.00348668 0.00764996 0.00787421], ([0.00240076 0.00194286 0.00181965]) 	 loss 7.324E-01 	 horizons 19.0
step 9023 	 return [0.00485911 0.0078036  0.00626557], ([0.00213282 0.00320702 0.00307631]) 	 loss 7.165E-01 	 horizons 19.0
step 9213 	 return [0.00386465 0.00950414 0.00785638], ([0.00185074 0.0010917  0.00093341]) 	 loss 6.984E-01 	 horizons 19.0
step 9403 	 return [0.00455693 0.00855769 0.00895578], ([0.00204596 0.0015407  0.00173001]) 	 loss 7.411E-01 	 horizons 19.0
step 9593 	 return [0.00389835 0.00854614 0.00843687], ([0.00173902 0.00129507 0.00184501]) 	 loss 7.077E-01 	 horizons 19.0
step 9783 	 return [0.00406666 0.00815941 0.00734911], ([0.00157824 0.00116215 0.00259033]) 	 loss 7.083E-01 	 horizons 19.0
step 9973 	 return [0.00344728 0.00810649 0.00849325], ([0.00131206 0.00103085 0.00140558]) 	 loss 7.064E-01 	 horizons 19.0
step 10163 	 return [0.00380593 0.00940847 0.00797564], ([0.00170828 0.00081338 0.0012886 ]) 	 loss 7.001E-01 	 horizons 19.0
step 10353 	 return [0.00548666 0.0089827  0.00690047], ([0.00213787 0.00256211 0.00359783]) 	 loss 7.017E-01 	 horizons 19.0
step 10543 	 return [0.00531384 0.00813551 0.00659532], ([0.002449   0.00229392 0.00319828]) 	 loss 6.818E-01 	 horizons 19.0
step 10733 	 return [0.00640538 0.00791065 0.00804917], ([0.00311751 0.00115131 0.00281874]) 	 loss 6.709E-01 	 horizons 19.0
step 10923 	 return [0.00400055 0.00887367 0.008683  ], ([0.00230183 0.0013513  0.00241337]) 	 loss 6.438E-01 	 horizons 19.0
step 11113 	 return [0.00473359 0.00973295 0.0093776 ], ([0.00163737 0.00188443 0.00190441]) 	 loss 6.605E-01 	 horizons 19.0
step 11303 	 return [0.00648446 0.00910499 0.00837132], ([0.00200884 0.00201975 0.00255787]) 	 loss 6.542E-01 	 horizons 19.0
step 11493 	 return [0.0039318  0.00954592 0.00932366], ([0.00160792 0.00141407 0.00182967]) 	 loss 6.424E-01 	 horizons 19.0
step 11683 	 return [0.00426702 0.01045843 0.00927986], ([0.00299186 0.00139839 0.00226009]) 	 loss 6.137E-01 	 horizons 19.0
step 11873 	 return [0.00388365 0.00916445 0.01069358], ([0.00155701 0.0015901  0.00229136]) 	 loss 6.183E-01 	 horizons 19.0
step 12063 	 return [0.00620973 0.00731817 0.00727677], ([0.00209325 0.00113305 0.00185358]) 	 loss 5.876E-01 	 horizons 19.0
step 12253 	 return [0.0046245  0.01062276 0.01033303], ([0.00189483 0.0016427  0.00073418]) 	 loss 5.815E-01 	 horizons 19.0
step 12443 	 return [0.00463365 0.01002379 0.00947498], ([0.00239985 0.00131608 0.00192097]) 	 loss 5.827E-01 	 horizons 19.0
step 12633 	 return [0.003761   0.00981469 0.00912717], ([0.00195937 0.00136053 0.00167677]) 	 loss 5.701E-01 	 horizons 19.0
step 12823 	 return [0.0073652  0.0085955  0.00645283], ([0.00191018 0.00210589 0.00224652]) 	 loss 5.608E-01 	 horizons 19.0
