/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run dkvxpp1g
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_033701-dkvxpp1g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g3-temporal__456__1781487421
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/dkvxpp1g
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=3, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g3-temporal', wandb_entity=None)
step 1903 	 return [0.00257455 0.00141023 0.00101684], ([0.00172543 0.00237563 0.0021052 ]) 	 loss 1.920E+00 	 horizons 16.9
step 2078 	 return [0.00193402 0.00276943 0.0021239 ], ([0.00176239 0.00238905 0.00208813]) 	 loss 1.462E+00 	 horizons 17.5
step 2268 	 return [0.003988   0.00574156 0.00434994], ([0.00203547 0.00239379 0.0030748 ]) 	 loss 1.112E+00 	 horizons 19.0
step 2458 	 return [0.00279824 0.00340828 0.00375971], ([0.00228481 0.00116644 0.00200187]) 	 loss 1.021E+00 	 horizons 19.0
step 2648 	 return [0.00447832 0.00435298 0.00536716], ([0.00240668 0.00212236 0.00220055]) 	 loss 9.966E-01 	 horizons 19.0
step 2838 	 return [0.003207   0.0041365  0.00518402], ([0.00161493 0.0019641  0.00195238]) 	 loss 9.609E-01 	 horizons 19.0
step 3028 	 return [0.00374815 0.00541506 0.00494869], ([0.00205706 0.00200083 0.00297874]) 	 loss 9.549E-01 	 horizons 19.0
step 3218 	 return [0.00274581 0.00428823 0.00478901], ([0.00157073 0.00142913 0.00125198]) 	 loss 9.283E-01 	 horizons 19.0
step 3408 	 return [0.00242653 0.00511758 0.00489897], ([0.00237601 0.00166707 0.00106432]) 	 loss 9.224E-01 	 horizons 19.0
step 3598 	 return [0.0032208  0.00610746 0.00569764], ([0.00194975 0.0023475  0.00175953]) 	 loss 9.053E-01 	 horizons 19.0
step 3788 	 return [0.0052276  0.0052263  0.00386194], ([0.00287863 0.00149561 0.00172993]) 	 loss 8.900E-01 	 horizons 19.0
step 3978 	 return [0.00374998 0.00625317 0.00611518], ([0.00126675 0.00147368 0.00228452]) 	 loss 8.771E-01 	 horizons 19.0
step 4168 	 return [0.00511377 0.00472541 0.0045212 ], ([0.0017465  0.00155848 0.00246067]) 	 loss 8.772E-01 	 horizons 19.0
step 4358 	 return [0.00418303 0.00634769 0.00598   ], ([0.00192748 0.00232639 0.00223262]) 	 loss 8.882E-01 	 horizons 19.0
step 4548 	 return [0.00404611 0.00704363 0.00668531], ([0.00190411 0.00188775 0.00220317]) 	 loss 8.533E-01 	 horizons 19.0
step 4738 	 return [0.00414355 0.00646319 0.00734658], ([0.00123531 0.00145493 0.00136998]) 	 loss 8.534E-01 	 horizons 19.0
