/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035422-5yfqjmuz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-l0__1024__1781488462
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/5yfqjmuz
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-l0', wandb_entity=None)
step 1968 	 return [0.00218601 0.00327711 0.00211687 0.00244811 0.00094655], ([0.0016425  0.00254001 0.00215477 0.00393672 0.00097793]) 	 loss 1.947E+00 	 horizons 18.6
step 2134 	 return [0.0015476  0.0024201  0.00157632 0.00183148 0.00207641], ([0.00142914 0.00260254 0.00169834 0.00235923 0.00224257]) 	 loss 1.532E+00 	 horizons 16.6
step 2318 	 return [0.00447588 0.0048951  0.00408998 0.00422688 0.00314611], ([0.00384198 0.00244995 0.00366301 0.00519344 0.00333885]) 	 loss 1.113E+00 	 horizons 18.4
step 2508 	 return [0.00191514 0.00482313 0.0036442  0.00482317 0.0039594 ], ([0.0028243  0.00265206 0.00187066 0.00428501 0.00269685]) 	 loss 1.005E+00 	 horizons 19.0
step 2698 	 return [0.00103082 0.00324941 0.00490709 0.00510192 0.00524571], ([0.00206292 0.00179442 0.00200463 0.00211787 0.00250787]) 	 loss 9.506E-01 	 horizons 19.0
step 2888 	 return [0.0035594  0.0045678  0.00365707 0.00526099 0.00264953], ([0.00391217 0.00249149 0.00180887 0.00440709 0.00253015]) 	 loss 9.219E-01 	 horizons 19.0
step 3078 	 return [0.00396304 0.00368337 0.00336407 0.00385196 0.00277061], ([0.00369741 0.00163095 0.00171151 0.00370733 0.00304327]) 	 loss 8.445E-01 	 horizons 19.0
step 3268 	 return [0.0032398  0.00438636 0.00378427 0.00395635 0.00329117], ([0.0032015  0.00235082 0.00233188 0.00363083 0.00310788]) 	 loss 8.411E-01 	 horizons 19.0
step 3458 	 return [0.0009912  0.00541502 0.00320135 0.00772308 0.00394337], ([0.00285765 0.00237765 0.00176618 0.00368226 0.00238786]) 	 loss 7.965E-01 	 horizons 19.0
step 3648 	 return [0.00121947 0.0066822  0.00448944 0.00720697 0.00357925], ([0.00153051 0.00301029 0.00179974 0.00144254 0.00330879]) 	 loss 8.130E-01 	 horizons 19.0
step 3838 	 return [0.00064699 0.00522326 0.00528274 0.00666959 0.00356566], ([0.00194096 0.00320851 0.00213442 0.00479329 0.00136959]) 	 loss 7.954E-01 	 horizons 19.0
step 4028 	 return [0.00109992 0.00648616 0.00466814 0.00762059 0.00492795], ([0.00287696 0.00290829 0.00170757 0.00408453 0.00252819]) 	 loss 7.771E-01 	 horizons 19.0
