/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 1co1a7bh
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035420-1co1a7bh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-l0__42__1781488459
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/1co1a7bh
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-l0', wandb_entity=None)
step 1945 	 return [0.00311875 0.00384831 0.00423078 0.00294235 0.00275378], ([0.00268484 0.0025627  0.00406226 0.0027186  0.00400528]) 	 loss 1.951E+00 	 horizons 18.5
step 2129 	 return [0.002529   0.00432656 0.00413614 0.00468261 0.00269813], ([0.00237825 0.00324092 0.00366876 0.00392946 0.00272789]) 	 loss 1.448E+00 	 horizons 18.4
step 2319 	 return [0.00606914 0.00444543 0.00341889 0.00172271 0.00065908], ([0.00212865 0.00153088 0.0017965  0.00173021 0.00101603]) 	 loss 1.065E+00 	 horizons 19.0
step 2509 	 return [0.00434995 0.00485771 0.00503052 0.00572271 0.00294615], ([0.00304714 0.00362596 0.00145004 0.00436823 0.00364532]) 	 loss 9.739E-01 	 horizons 19.0
step 2699 	 return [0.00360669 0.00440559 0.00399753 0.00355748 0.00307634], ([0.00342347 0.00127992 0.0025756  0.0035682  0.0033557 ]) 	 loss 9.547E-01 	 horizons 19.0
step 2889 	 return [0.00356207 0.00479466 0.00554852 0.00538789 0.00389226], ([0.00401333 0.00298272 0.00195206 0.0032737  0.00388095]) 	 loss 9.036E-01 	 horizons 19.0
step 3079 	 return [0.00291125 0.0023177  0.0025067  0.00338698 0.00301642], ([0.00290817 0.00097004 0.00249521 0.00345043 0.00338489]) 	 loss 8.955E-01 	 horizons 19.0
step 3269 	 return [0.00446629 0.00346533 0.00457847 0.00295915 0.00281788], ([0.00293468 0.00210699 0.00236303 0.00210704 0.00346711]) 	 loss 8.618E-01 	 horizons 19.0
step 3459 	 return [0.00306712 0.00388595 0.00531821 0.0048797  0.00439325], ([0.00291367 0.00218088 0.00245051 0.00272337 0.00346566]) 	 loss 8.888E-01 	 horizons 19.0
step 3649 	 return [0.00467876 0.003535   0.00382978 0.00259682 0.00252213], ([0.00258892 0.00138608 0.00228438 0.00197474 0.00346729]) 	 loss 8.767E-01 	 horizons 19.0
step 3839 	 return [0.00430221 0.00498341 0.00549716 0.00261083 0.00260043], ([0.0041224  0.00246018 0.0024432  0.00210561 0.00347185]) 	 loss 8.441E-01 	 horizons 19.0
step 4029 	 return [0.0029423  0.00394301 0.00507997 0.00674912 0.00503326], ([0.00310619 0.00265208 0.00231137 0.00384913 0.00355824]) 	 loss 8.162E-01 	 horizons 19.0
step 4219 	 return [0.00165076 0.00397215 0.006508   0.00499696 0.00491806], ([0.00226872 0.00254257 0.00238488 0.00303026 0.00311226]) 	 loss 8.279E-01 	 horizons 19.0
