/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8ah4iae0
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035422-8ah4iae0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-l0__456__1781488461
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/8ah4iae0
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-l0', wandb_entity=None)
step 1912 	 return [0.0029007  0.00317344 0.00238017 0.00347186 0.00204385], ([0.00201239 0.00288265 0.00232463 0.00407773 0.00229955]) 	 loss 1.950E+00 	 horizons 18.1
step 2089 	 return [0.00364075 0.00254999 0.00201758 0.00242428 0.0016242 ], ([0.00163539 0.00251143 0.00227387 0.00309702 0.00133814]) 	 loss 1.502E+00 	 horizons 17.7
step 2279 	 return [0.00455585 0.00397885 0.00410302 0.00205143 0.00340298], ([0.00307996 0.00125137 0.00194928 0.00281946 0.00403258]) 	 loss 1.099E+00 	 horizons 19.0
step 2469 	 return [0.00491111 0.00532833 0.00353111 0.00378935 0.00173902], ([0.00459793 0.00274043 0.00200578 0.00405119 0.00260817]) 	 loss 9.850E-01 	 horizons 19.0
step 2659 	 return [0.00247487 0.00435819 0.00487608 0.00481675 0.00464809], ([0.00273683 0.00152941 0.0019073  0.00372834 0.00340772]) 	 loss 9.296E-01 	 horizons 19.0
step 2845 	 return [0.00493937 0.00365466 0.00374209 0.00209428 0.00075245], ([0.00359122 0.00117405 0.00192244 0.00283456 0.00124104]) 	 loss 9.110E-01 	 horizons 18.6
step 3035 	 return [0.00424914 0.00471357 0.00446943 0.00578724 0.0042363 ], ([0.00353411 0.00167143 0.00239442 0.00472712 0.00343833]) 	 loss 9.338E-01 	 horizons 19.0
step 3225 	 return [0.00452464 0.00404688 0.00256758 0.00195285 0.00144744], ([0.00250905 0.00241322 0.00209275 0.00282097 0.00242423]) 	 loss 8.874E-01 	 horizons 19.0
step 3415 	 return [0.00201361 0.00457291 0.00443553 0.004359   0.00303596], ([0.00254202 0.00092142 0.00161907 0.00457544 0.00214416]) 	 loss 8.615E-01 	 horizons 19.0
step 3605 	 return [0.0029677  0.00522841 0.00570318 0.00621503 0.00311491], ([0.00307257 0.00164322 0.00216853 0.00492267 0.00334808]) 	 loss 8.215E-01 	 horizons 19.0
step 3795 	 return [0.00328669 0.00264465 0.00540941 0.00485296 0.00434698], ([0.00320119 0.00171444 0.00272113 0.00366819 0.00229684]) 	 loss 8.292E-01 	 horizons 19.0
step 3985 	 return [0.00294354 0.00497303 0.00569895 0.00580305 0.00426919], ([0.00203968 0.00183277 0.00178065 0.00293191 0.0024285 ]) 	 loss 8.093E-01 	 horizons 19.0
