/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yrmj5623
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040952-yrmj5623
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatial__1024__1781489392
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/yrmj5623
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatial', wandb_entity=None)
step 1988 	 return [0.00141441 0.00288266 0.00415493 0.00402925 0.00205891], ([0.00153992 0.00305281 0.00254274 0.00408533 0.0019867 ]) 	 loss 1.915E+00 	 horizons 18.5
step 2178 	 return [0.00141279 0.00531271 0.00471669 0.00548278 0.00233787], ([0.00143416 0.00205857 0.00288323 0.00268325 0.00316752]) 	 loss 1.533E+00 	 horizons 19.0
step 2368 	 return [0.00143706 0.00495219 0.00309951 0.00400428 0.0032775 ], ([0.00232989 0.00234224 0.00179275 0.00349223 0.00262879]) 	 loss 1.142E+00 	 horizons 19.0
step 2538 	 return [0.00249976 0.00062463 0.00035099 0.00021749 0.00043847], ([0.0013748  0.00099831 0.00060055 0.00044422 0.00063957]) 	 loss 1.002E+00 	 horizons 17.0
step 2728 	 return [0.00203966 0.00416485 0.00401233 0.00514077 0.00370366], ([0.00248151 0.00160224 0.00214942 0.0025523  0.00265876]) 	 loss 9.570E-01 	 horizons 19.0
step 2918 	 return [0.00122011 0.00453075 0.00446603 0.00520656 0.00488926], ([0.00153356 0.00272474 0.00169177 0.00315541 0.00250625]) 	 loss 9.449E-01 	 horizons 19.0
step 3102 	 return [0.00235702 0.00397286 0.00291369 0.0016419  0.00087417], ([0.00222506 0.00438999 0.00236376 0.00241999 0.00086514]) 	 loss 9.309E-01 	 horizons 18.4
step 3292 	 return [0.00213891 0.00567806 0.00426648 0.00704687 0.00375913], ([0.00295683 0.00199425 0.00194975 0.00282013 0.00232536]) 	 loss 8.928E-01 	 horizons 19.0
step 3482 	 return [0.00051497 0.00508556 0.00492878 0.00725476 0.00488254], ([0.0010359  0.00224596 0.00130106 0.00342392 0.00244327]) 	 loss 8.582E-01 	 horizons 19.0
step 3672 	 return [0.00087456 0.00766324 0.00622135 0.00515352 0.00414047], ([0.00138779 0.00401644 0.0012179  0.00347384 0.00251957]) 	 loss 8.555E-01 	 horizons 19.0
step 3862 	 return [0.00180598 0.00717331 0.0041383  0.0051159  0.00427855], ([0.00317363 0.00330751 0.00151246 0.00403636 0.00306358]) 	 loss 8.337E-01 	 horizons 19.0
step 4052 	 return [0.00090702 0.00640433 0.00502877 0.00406195 0.00401872], ([0.00142473 0.00235101 0.00185132 0.00409352 0.00238148]) 	 loss 8.063E-01 	 horizons 19.0
step 4242 	 return [0.00105186 0.00569811 0.0045877  0.00791429 0.00543295], ([0.00127418 0.00258723 0.0017388  0.00220631 0.00259666]) 	 loss 8.034E-01 	 horizons 19.0
step 4432 	 return [0.00119386 0.00566609 0.00564207 0.00812891 0.00516444], ([0.00143145 0.00181399 0.00198884 0.0038795  0.00169478]) 	 loss 7.702E-01 	 horizons 19.0
step 4622 	 return [0.00172552 0.00457982 0.00470128 0.00969209 0.00468976], ([0.00146434 0.00157577 0.00138835 0.00213886 0.00193806]) 	 loss 7.941E-01 	 horizons 19.0
step 4812 	 return [0.00268046 0.00067629 0.00201642 0.00238215 0.00160842], ([0.00152216 0.00153949 0.00134452 0.00236968 0.00243991]) 	 loss 7.783E-01 	 horizons 19.0
step 5002 	 return [0.00086906 0.00474877 0.0057154  0.00316476 0.00395841], ([0.00096033 0.00232454 0.00118473 0.00357367 0.00188444]) 	 loss 7.954E-01 	 horizons 19.0
step 5192 	 return [0.00098573 0.00712915 0.00563405 0.00755824 0.00526667], ([0.00121365 0.00311748 0.00184625 0.0030253  0.00180668]) 	 loss 7.864E-01 	 horizons 19.0
step 5382 	 return [0.00121458 0.00593026 0.00532101 0.007666   0.00428677], ([0.00139855 0.00176893 0.00157303 0.00351464 0.00144706]) 	 loss 8.064E-01 	 horizons 19.0
step 5572 	 return [0.00097873 0.00799355 0.0067089  0.00676507 0.00478798], ([0.00112832 0.00395204 0.00229513 0.00282091 0.00340916]) 	 loss 8.149E-01 	 horizons 19.0
step 5762 	 return [0.00129362 0.00669021 0.00671297 0.00713596 0.00509153], ([0.00308256 0.00291011 0.00238799 0.00268289 0.00323859]) 	 loss 8.056E-01 	 horizons 19.0
