/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 42trr8va
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040947-42trr8va
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatial__123__1781489386
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/42trr8va
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatial', wandb_entity=None)
step 1957 	 return [0.00107334 0.00453995 0.00424215 0.00327329 0.00293501], ([0.00122938 0.00317471 0.00314047 0.00340397 0.00280194]) 	 loss 1.931E+00 	 horizons 17.7
step 2143 	 return [0.00329694 0.00454493 0.00326948 0.00308413 0.00173076], ([0.0031787  0.00273269 0.00281995 0.00326441 0.00258385]) 	 loss 1.568E+00 	 horizons 18.6
step 2333 	 return [0.00259213 0.00402144 0.00465227 0.00325177 0.00345812], ([0.00255155 0.00261391 0.00224687 0.00252527 0.00213745]) 	 loss 1.138E+00 	 horizons 19.0
step 2523 	 return [0.00490795 0.00432551 0.00354623 0.00430026 0.00313684], ([0.00296774 0.00130987 0.00184057 0.00427236 0.00228883]) 	 loss 9.920E-01 	 horizons 19.0
step 2713 	 return [0.00335045 0.00393774 0.00449007 0.00468745 0.00308288], ([0.00364834 0.00099114 0.00126743 0.00290815 0.00270513]) 	 loss 9.665E-01 	 horizons 19.0
step 2903 	 return [0.00148745 0.00327734 0.00441676 0.00282509 0.00290001], ([0.00162803 0.00120271 0.0023375  0.00194672 0.00174863]) 	 loss 9.236E-01 	 horizons 19.0
step 3093 	 return [0.00120925 0.00294368 0.00409298 0.00640875 0.003138  ], ([0.00125595 0.00253095 0.00147526 0.00301693 0.00171033]) 	 loss 9.204E-01 	 horizons 19.0
step 3283 	 return [0.00195488 0.00377777 0.00547058 0.00506254 0.00463656], ([0.00200013 0.00238953 0.00263043 0.0038227  0.00228669]) 	 loss 8.876E-01 	 horizons 19.0
step 3473 	 return [0.00156975 0.00417804 0.00562266 0.00363532 0.00344141], ([0.00196895 0.00230501 0.00165657 0.00257608 0.00170148]) 	 loss 8.586E-01 	 horizons 19.0
step 3663 	 return [0.00166424 0.00541622 0.00610099 0.00607318 0.00416653], ([0.00171929 0.00265655 0.00197356 0.0043682  0.00214184]) 	 loss 8.092E-01 	 horizons 19.0
step 3851 	 return [0.00403834 0.00315012 0.00238029 0.00152464 0.00075161], ([0.00288039 0.0021744  0.00214229 0.00142666 0.00129931]) 	 loss 8.306E-01 	 horizons 18.8
step 4041 	 return [0.00055675 0.00451194 0.00379601 0.00452013 0.00311761], ([0.00095324 0.00207272 0.00134927 0.00335066 0.00254381]) 	 loss 8.190E-01 	 horizons 19.0
step 4231 	 return [0.00220678 0.004212   0.00443069 0.0048943  0.00408156], ([0.0033305  0.00190578 0.0015605  0.00364437 0.00293647]) 	 loss 7.900E-01 	 horizons 19.0
step 4421 	 return [0.00422575 0.00487863 0.00661196 0.00673812 0.0037452 ], ([0.00304025 0.00187123 0.00324899 0.00593569 0.00266791]) 	 loss 7.890E-01 	 horizons 19.0
step 4611 	 return [0.0016351  0.00417777 0.00471728 0.00687599 0.00469087], ([0.00191958 0.00156921 0.0012114  0.0024074  0.00180406]) 	 loss 7.767E-01 	 horizons 19.0
step 4801 	 return [0.00242278 0.00534725 0.00624611 0.00497017 0.0040035 ], ([0.0019766  0.00332541 0.0030404  0.0034527  0.00189636]) 	 loss 7.855E-01 	 horizons 19.0
step 4991 	 return [0.00374348 0.0048118  0.00707682 0.00635142 0.00298039], ([0.0028592  0.00225268 0.00129481 0.00339656 0.00266963]) 	 loss 7.733E-01 	 horizons 19.0
step 5181 	 return [0.00185544 0.00495618 0.00610546 0.00704074 0.004928  ], ([0.00214668 0.00231898 0.00217754 0.00382107 0.00229431]) 	 loss 7.743E-01 	 horizons 19.0
step 5371 	 return [0.00258509 0.00561322 0.00561913 0.00569967 0.00399336], ([0.00176422 0.00209863 0.00152968 0.00401832 0.00269821]) 	 loss 7.676E-01 	 horizons 19.0
step 5561 	 return [0.00246713 0.00662297 0.00595285 0.00566713 0.00460259], ([0.00179203 0.00269646 0.0013712  0.00407142 0.00168799]) 	 loss 7.903E-01 	 horizons 19.0
step 5751 	 return [0.00165084 0.00610889 0.00737352 0.00691252 0.00429145], ([0.00300208 0.00202205 0.00233166 0.00459119 0.00265724]) 	 loss 7.838E-01 	 horizons 19.0
step 5941 	 return [0.00439422 0.00555507 0.00571111 0.00469775 0.00367265], ([0.00196063 0.00143637 0.0021552  0.00270017 0.0028993 ]) 	 loss 7.808E-01 	 horizons 19.0
step 6131 	 return [0.00446004 0.00420204 0.00586526 0.00720096 0.00367616], ([0.0023724  0.0013209  0.00154254 0.00285546 0.00178936]) 	 loss 7.749E-01 	 horizons 19.0
step 6321 	 return [0.00287818 0.00592842 0.00719829 0.0065444  0.0047291 ], ([0.00187827 0.00235015 0.0018784  0.00456251 0.00310202]) 	 loss 7.530E-01 	 horizons 19.0
step 6511 	 return [0.00427833 0.00553204 0.0063047  0.00693606 0.00368446], ([0.0014001  0.00182834 0.00151606 0.00299639 0.00233895]) 	 loss 7.706E-01 	 horizons 19.0
step 6701 	 return [0.0031532  0.00624832 0.00810778 0.00683597 0.00521153], ([0.00132955 0.00161475 0.0018309  0.0032037  0.00251648]) 	 loss 7.572E-01 	 horizons 19.0
step 6891 	 return [0.00404897 0.00464912 0.00635915 0.00924204 0.00524009], ([0.0011383  0.0026179  0.00194723 0.00272823 0.0018581 ]) 	 loss 7.332E-01 	 horizons 19.0
step 7081 	 return [0.00350788 0.0042796  0.0062914  0.00526605 0.00409448], ([0.00155267 0.00181235 0.00175624 0.0036647  0.00229857]) 	 loss 7.433E-01 	 horizons 19.0
step 7271 	 return [0.00448943 0.0056139  0.0075582  0.00895736 0.00375289], ([0.00237732 0.00198346 0.00271979 0.00445945 0.0022798 ]) 	 loss 7.493E-01 	 horizons 19.0
step 7461 	 return [0.00543809 0.00581043 0.00560248 0.00420566 0.00286706], ([0.00254885 0.00316644 0.00200363 0.00319568 0.00254797]) 	 loss 7.258E-01 	 horizons 19.0
step 7651 	 return [0.00275521 0.00751294 0.00731652 0.00713536 0.00554986], ([0.00125756 0.00152957 0.00161478 0.00281924 0.001431  ]) 	 loss 7.263E-01 	 horizons 19.0
step 7841 	 return [0.003951   0.00664555 0.00771621 0.00694445 0.00394029], ([0.00210176 0.0027752  0.00227104 0.00442914 0.00195743]) 	 loss 7.304E-01 	 horizons 19.0
step 8031 	 return [0.0032695  0.00747454 0.00702717 0.00609717 0.00242629], ([0.00193089 0.00185515 0.00146542 0.00273719 0.00204072]) 	 loss 7.244E-01 	 horizons 19.0
step 8221 	 return [0.00398059 0.00706162 0.00760062 0.00774792 0.00385078], ([0.0022488  0.00257153 0.00135339 0.00409093 0.00233141]) 	 loss 6.959E-01 	 horizons 19.0
step 8411 	 return [0.00485554 0.0049893  0.00832262 0.00844593 0.00551785], ([0.00128716 0.00163263 0.00178    0.0032345  0.00212864]) 	 loss 7.185E-01 	 horizons 19.0
step 8601 	 return [0.00145741 0.0066691  0.00702488 0.00993834 0.00502432], ([0.00179969 0.00160646 0.00217934 0.00361463 0.00181939]) 	 loss 7.083E-01 	 horizons 19.0
step 8791 	 return [0.00332009 0.00874431 0.00834897 0.00743488 0.00293945], ([0.00135353 0.00279486 0.00305228 0.00431431 0.00195562]) 	 loss 6.630E-01 	 horizons 19.0
step 8981 	 return [0.0035901  0.00719226 0.00813967 0.00852633 0.00301537], ([0.00181402 0.00245796 0.00201501 0.00359528 0.00316941]) 	 loss 6.556E-01 	 horizons 19.0
step 9171 	 return [0.00354587 0.00793694 0.00804137 0.00796929 0.00436949], ([0.00136504 0.00182413 0.00239852 0.00258039 0.00186675]) 	 loss 6.520E-01 	 horizons 19.0
step 9361 	 return [0.00234396 0.00696327 0.00971648 0.00653805 0.00543015], ([0.00174159 0.00165422 0.00190748 0.00285687 0.00328699]) 	 loss 6.811E-01 	 horizons 19.0
step 9551 	 return [0.00102786 0.00651478 0.00600211 0.00646329 0.00463685], ([0.00162204 0.00174711 0.00177547 0.00349752 0.00244796]) 	 loss 6.483E-01 	 horizons 19.0
step 9741 	 return [0.00464032 0.00504141 0.00867492 0.01020529 0.00485448], ([0.0012389  0.00167761 0.00236667 0.00377323 0.0018795 ]) 	 loss 6.538E-01 	 horizons 19.0
step 9931 	 return [0.00607264 0.00547064 0.00733131 0.00825482 0.00302859], ([0.00154221 0.00206564 0.00200492 0.00414527 0.00254856]) 	 loss 6.397E-01 	 horizons 19.0
step 10121 	 return [0.0027932  0.00841899 0.00665235 0.00642169 0.0051012 ], ([0.00104397 0.00172471 0.00142715 0.00336136 0.00186562]) 	 loss 6.007E-01 	 horizons 19.0
step 10311 	 return [0.00566588 0.00587148 0.00714181 0.0100269  0.00444995], ([0.00144887 0.00166015 0.00147084 0.00436798 0.00232184]) 	 loss 6.101E-01 	 horizons 19.0
step 10501 	 return [0.00313505 0.00713082 0.00763899 0.01052783 0.00485808], ([0.00042034 0.0021458  0.00146222 0.00345375 0.00151005]) 	 loss 6.022E-01 	 horizons 19.0
