/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zaol4e4t
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040940-zaol4e4t
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatial__42__1781489379
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/zaol4e4t
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatial', wandb_entity=None)
step 1944 	 return [0.00162171 0.00472284 0.00448136 0.00557174 0.00264235], ([0.00239623 0.00288739 0.00268734 0.00403138 0.00253597]) 	 loss 1.914E+00 	 horizons 18.5
step 2130 	 return [0.00253815 0.00402398 0.00342234 0.00437666 0.00300505], ([0.00257015 0.00292413 0.00259031 0.0045734  0.00298992]) 	 loss 1.427E+00 	 horizons 18.6
step 2320 	 return [0.00283152 0.00265194 0.00318839 0.00350793 0.00174241], ([0.00220834 0.00221736 0.00168918 0.00258743 0.00204546]) 	 loss 1.107E+00 	 horizons 19.0
step 2510 	 return [0.00283537 0.00371227 0.00331878 0.00277391 0.00256164], ([0.0024277  0.00198081 0.00317637 0.00286231 0.00280757]) 	 loss 9.710E-01 	 horizons 19.0
step 2700 	 return [0.00249174 0.00542365 0.0043771  0.00353248 0.00143426], ([0.00237988 0.00276851 0.00211746 0.003493   0.00169139]) 	 loss 9.678E-01 	 horizons 19.0
step 2890 	 return [0.00498562 0.00540292 0.00405825 0.00381992 0.0021841 ], ([0.00277219 0.0013803  0.00153767 0.00286076 0.00290962]) 	 loss 9.263E-01 	 horizons 19.0
step 3080 	 return [0.00479429 0.00437239 0.00399691 0.00371306 0.00312284], ([0.00298034 0.0016509  0.00253902 0.00208438 0.00429953]) 	 loss 9.326E-01 	 horizons 19.0
step 3270 	 return [0.00247651 0.00587342 0.00521717 0.00538789 0.00241868], ([0.00340774 0.00210832 0.0016078  0.00349693 0.00216613]) 	 loss 8.693E-01 	 horizons 19.0
step 3460 	 return [0.00452594 0.00444983 0.00452032 0.00428343 0.00294101], ([0.0046686  0.0015065  0.00213867 0.00273421 0.00316645]) 	 loss 8.728E-01 	 horizons 19.0
step 3650 	 return [0.00227553 0.00548758 0.00530904 0.00604983 0.00259505], ([0.0030867  0.00157795 0.00245298 0.00404429 0.00226633]) 	 loss 8.681E-01 	 horizons 19.0
step 3840 	 return [0.0039949  0.00440637 0.00341257 0.00421854 0.00341341], ([0.00341179 0.00203133 0.00176759 0.00281671 0.00408633]) 	 loss 8.302E-01 	 horizons 19.0
step 4030 	 return [0.00177493 0.00441606 0.00407032 0.00707804 0.00394881], ([0.00266489 0.00193261 0.00181881 0.00393628 0.00217608]) 	 loss 8.333E-01 	 horizons 19.0
step 4220 	 return [0.00503215 0.00394348 0.00467769 0.00282459 0.00135635], ([0.00282829 0.00172471 0.00284036 0.00295135 0.00236239]) 	 loss 8.423E-01 	 horizons 19.0
step 4410 	 return [0.00219351 0.00483747 0.00595374 0.00406441 0.00471015], ([0.00242133 0.0014998  0.0023739  0.00245368 0.00379108]) 	 loss 8.280E-01 	 horizons 19.0
step 4600 	 return [0.00076828 0.00556493 0.0059919  0.00930982 0.00401928], ([0.00126633 0.00289538 0.00235588 0.00258453 0.00230806]) 	 loss 8.294E-01 	 horizons 19.0
step 4790 	 return [0.00083374 0.00548149 0.00589763 0.00934748 0.004019  ], ([0.00162513 0.00237743 0.00143305 0.00214164 0.00257657]) 	 loss 8.180E-01 	 horizons 19.0
step 4980 	 return [0.00107113 0.00425862 0.00586623 0.00687167 0.00474783], ([0.00161064 0.00183693 0.00161572 0.00271612 0.00158994]) 	 loss 8.543E-01 	 horizons 19.0
step 5170 	 return [0.00062513 0.00522884 0.00546982 0.00353358 0.00472182], ([0.00133268 0.00196942 0.00148004 0.00381584 0.00171072]) 	 loss 8.536E-01 	 horizons 19.0
step 5360 	 return [0.00073191 0.0062093  0.00695144 0.00787616 0.00560554], ([0.00146449 0.00242565 0.00229006 0.00276535 0.00396498]) 	 loss 8.459E-01 	 horizons 19.0
step 5550 	 return [0.0004319  0.00612198 0.00616457 0.0070472  0.0042068 ], ([0.00074814 0.00239098 0.00224722 0.00279497 0.00189894]) 	 loss 8.344E-01 	 horizons 19.0
step 5740 	 return [0.00047204 0.00575722 0.00586619 0.00558648 0.00307484], ([0.0009561  0.00405622 0.00135325 0.00532015 0.0017029 ]) 	 loss 8.574E-01 	 horizons 19.0
step 5930 	 return [0.00217054 0.00660675 0.00792461 0.00769144 0.00491964], ([0.00183554 0.00297506 0.00127411 0.00325747 0.00272492]) 	 loss 8.567E-01 	 horizons 19.0
step 6120 	 return [0.00725156 0.00523261 0.00384903 0.00275766 0.00107914], ([0.00291933 0.00156693 0.00236763 0.00268694 0.00171621]) 	 loss 8.399E-01 	 horizons 19.0
step 6310 	 return [0.00057009 0.00656852 0.0072503  0.00680653 0.00441279], ([0.00120595 0.00229922 0.00152599 0.00406075 0.00323529]) 	 loss 8.385E-01 	 horizons 19.0
step 6500 	 return [0.00142666 0.00507363 0.00679465 0.00817516 0.00425019], ([0.00230455 0.00268685 0.00167671 0.00224386 0.00246364]) 	 loss 8.134E-01 	 horizons 19.0
step 6690 	 return [0.0021073  0.00707834 0.00767168 0.00884948 0.00481412], ([0.00194579 0.00205936 0.00269764 0.00376077 0.00218674]) 	 loss 8.212E-01 	 horizons 19.0
step 6880 	 return [0.00334658 0.00355266 0.00558742 0.00466705 0.00370081], ([0.00316547 0.002524   0.00255183 0.00229985 0.00332086]) 	 loss 8.723E-01 	 horizons 19.0
step 7070 	 return [0.00146651 0.0058454  0.00683935 0.00722097 0.00421006], ([0.00162009 0.00198153 0.00285592 0.00368808 0.00386585]) 	 loss 8.606E-01 	 horizons 19.0
step 7260 	 return [0.00130232 0.00582377 0.00647336 0.00795685 0.0039993 ], ([0.00123564 0.00158581 0.00177217 0.00331175 0.00178858]) 	 loss 8.444E-01 	 horizons 19.0
step 7450 	 return [0.00094229 0.00786494 0.00794353 0.00591596 0.00360962], ([0.00147307 0.00158803 0.0022479  0.00270112 0.0027735 ]) 	 loss 8.253E-01 	 horizons 19.0
step 7640 	 return [0.00290256 0.00774329 0.00702278 0.0081311  0.00519478], ([0.0017264  0.00205129 0.00237405 0.00257765 0.00265191]) 	 loss 8.010E-01 	 horizons 19.0
step 7830 	 return [0.00252094 0.00871476 0.00822922 0.00867434 0.00326802], ([0.00190524 0.00295293 0.00284849 0.00437032 0.00201184]) 	 loss 7.687E-01 	 horizons 19.0
step 8020 	 return [0.00090775 0.00620128 0.00657289 0.00826314 0.00597064], ([0.00140796 0.00108729 0.0016749  0.00277696 0.00330114]) 	 loss 7.858E-01 	 horizons 19.0
step 8210 	 return [0.00395374 0.00423905 0.00637127 0.00650291 0.00427069], ([0.00138245 0.00210995 0.00277345 0.00263897 0.00400531]) 	 loss 7.628E-01 	 horizons 19.0
step 8400 	 return [0.00100527 0.00879483 0.01006147 0.00904095 0.00416301], ([0.00141512 0.00129443 0.00261367 0.0035045  0.00227852]) 	 loss 7.550E-01 	 horizons 19.0
step 8590 	 return [0.00219363 0.00985564 0.0087837  0.01002045 0.00410099], ([0.00188948 0.0026769  0.00333838 0.00562256 0.00444474]) 	 loss 7.479E-01 	 horizons 19.0
step 8780 	 return [0.00054953 0.00927753 0.01143576 0.01103256 0.00442093], ([0.00109925 0.00202934 0.00197315 0.00269725 0.0019581 ]) 	 loss 7.147E-01 	 horizons 19.0
step 8970 	 return [2.9853734e-05 9.5628696e-03 9.0565030e-03 9.6146176e-03 3.9766445e-03], ([8.9561210e-05 2.7187050e-03 2.3303302e-03 4.9503725e-03 1.7679824e-03]) 	 loss 7.056E-01 	 horizons 19.0
step 9160 	 return [0.00118361 0.00900093 0.00973066 0.01080113 0.00565026], ([0.00154467 0.00197436 0.00191866 0.00320455 0.0033294 ]) 	 loss 7.103E-01 	 horizons 19.0
step 9350 	 return [0.00098181 0.00787495 0.00935852 0.00945482 0.00387968], ([0.00122232 0.00369256 0.00291393 0.00501279 0.00248785]) 	 loss 6.915E-01 	 horizons 19.0
step 9540 	 return [0.00145147 0.00952719 0.01030596 0.01005411 0.00561458], ([0.00158711 0.00284254 0.00212679 0.00411761 0.00315454]) 	 loss 6.954E-01 	 horizons 19.0
step 9730 	 return [0.00608546 0.00397668 0.00697423 0.00642575 0.00558552], ([0.00136608 0.00166071 0.00273919 0.00320501 0.0032829 ]) 	 loss 6.588E-01 	 horizons 19.0
step 9920 	 return [0.         0.00991634 0.0093006  0.01218773 0.00432686], ([0.         0.00236297 0.00254854 0.00280567 0.00203271]) 	 loss 6.707E-01 	 horizons 19.0
step 10110 	 return [0.0046837  0.00468867 0.00651049 0.00586863 0.00412521], ([0.00104443 0.00212736 0.00261504 0.00291324 0.0030357 ]) 	 loss 6.612E-01 	 horizons 19.0
step 10300 	 return [0.00565599 0.00542176 0.00564833 0.00583029 0.00325761], ([0.00113558 0.00162968 0.00252351 0.00435587 0.00263385]) 	 loss 6.345E-01 	 horizons 19.0
step 10490 	 return [0.00213008 0.00765807 0.00771218 0.01125539 0.00543599], ([0.00157137 0.003261   0.00212714 0.00321803 0.00191444]) 	 loss 6.708E-01 	 horizons 19.0
step 10680 	 return [0.00264892 0.01027248 0.00983982 0.00933047 0.00322816], ([0.0019056  0.00399799 0.00150578 0.00250321 0.00322467]) 	 loss 6.225E-01 	 horizons 19.0
step 10870 	 return [0.00496593 0.00513897 0.00892107 0.00789202 0.00542432], ([0.00161179 0.00145064 0.00262806 0.00274299 0.00369644]) 	 loss 6.033E-01 	 horizons 19.0
step 11060 	 return [0.00341059 0.00828483 0.00758175 0.01248242 0.00591048], ([0.0005359  0.00204565 0.00198238 0.004175   0.00217384]) 	 loss 6.126E-01 	 horizons 19.0
step 11250 	 return [0.00491254 0.00641545 0.00741161 0.00672663 0.00449367], ([0.00141127 0.00269133 0.00341877 0.00346667 0.00282814]) 	 loss 6.096E-01 	 horizons 19.0
