/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run pp6xv85r
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040948-pp6xv85r
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatial__456__1781489387
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/pp6xv85r
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatial', wandb_entity=None)
step 1988 	 return [0.00173193 0.00569763 0.00475799 0.00569169 0.00251796], ([0.0014558  0.00442311 0.00328109 0.00359246 0.00221487]) 	 loss 1.914E+00 	 horizons 19.0
step 2178 	 return [0.00261539 0.00530733 0.00596483 0.00514881 0.00277072], ([0.00277194 0.00251112 0.00385882 0.00371186 0.00289817]) 	 loss 1.474E+00 	 horizons 19.0
step 2368 	 return [0.00317132 0.0061617  0.00609846 0.00595519 0.00263325], ([0.00274635 0.00209705 0.00288745 0.00407844 0.00313508]) 	 loss 1.111E+00 	 horizons 19.0
step 2558 	 return [0.00128437 0.0074812  0.0061441  0.0068838  0.00348057], ([0.00132567 0.00332322 0.00205243 0.00262401 0.00191124]) 	 loss 1.006E+00 	 horizons 19.0
step 2748 	 return [0.00314848 0.00601754 0.00532605 0.00457821 0.00290525], ([0.00399716 0.0032411  0.00225869 0.00342069 0.00290382]) 	 loss 9.456E-01 	 horizons 19.0
step 2938 	 return [0.00332488 0.0050726  0.00514897 0.00329984 0.0021481 ], ([0.00368621 0.00210413 0.00227569 0.00310296 0.00242163]) 	 loss 9.273E-01 	 horizons 19.0
step 3128 	 return [0.00240885 0.00637303 0.0041109  0.00578968 0.00355633], ([0.00251977 0.00366649 0.00184822 0.00370601 0.00333822]) 	 loss 9.028E-01 	 horizons 19.0
step 3318 	 return [0.00133655 0.00659283 0.00514204 0.00752349 0.00237102], ([0.00160934 0.00225785 0.00127512 0.00350271 0.00173684]) 	 loss 8.948E-01 	 horizons 19.0
step 3508 	 return [0.00153735 0.00641368 0.00586839 0.00686627 0.00338952], ([0.00144697 0.00304788 0.00152644 0.00351973 0.00178219]) 	 loss 8.691E-01 	 horizons 19.0
step 3698 	 return [0.00442071 0.00461306 0.00603159 0.00436483 0.00349521], ([0.00269026 0.00277286 0.00301949 0.00391095 0.00366714]) 	 loss 8.535E-01 	 horizons 19.0
step 3888 	 return [0.00501042 0.00503624 0.0059848  0.00424211 0.0027933 ], ([0.00367417 0.00145876 0.00228222 0.00306341 0.00291137]) 	 loss 8.382E-01 	 horizons 19.0
step 4078 	 return [0.00078401 0.00562537 0.00833317 0.00847447 0.00613624], ([0.0014326  0.00305643 0.0021729  0.00323968 0.00169059]) 	 loss 8.313E-01 	 horizons 19.0
step 4268 	 return [0.00232016 0.0051982  0.00513743 0.0070571  0.00402976], ([0.0035595  0.00273815 0.00205313 0.0031003  0.00276873]) 	 loss 7.929E-01 	 horizons 19.0
step 4458 	 return [0.00287681 0.00692512 0.00732635 0.00777442 0.00305039], ([0.00212037 0.00211532 0.00259685 0.00389504 0.00346126]) 	 loss 8.132E-01 	 horizons 19.0
step 4648 	 return [0.00090113 0.00851855 0.00620287 0.007716   0.0056887 ], ([0.00108001 0.00239274 0.00183025 0.00276457 0.00162916]) 	 loss 7.951E-01 	 horizons 19.0
step 4838 	 return [0.00246955 0.00677909 0.0078444  0.00820216 0.00436534], ([0.00222991 0.00248161 0.00167444 0.00335694 0.00269891]) 	 loss 7.901E-01 	 horizons 19.0
step 5028 	 return [0.0012991  0.00826492 0.00644022 0.00871566 0.00429298], ([0.00158397 0.00435575 0.00233014 0.00271105 0.00292008]) 	 loss 7.989E-01 	 horizons 19.0
step 5218 	 return [0.00345361 0.00701929 0.00790143 0.00735116 0.00293786], ([0.00204849 0.00242809 0.00282906 0.00336149 0.0036869 ]) 	 loss 7.951E-01 	 horizons 19.0
step 5408 	 return [0.00393474 0.00586826 0.00707561 0.00710127 0.00319652], ([0.00276274 0.00257385 0.0027003  0.0044225  0.00333437]) 	 loss 7.998E-01 	 horizons 19.0
step 5598 	 return [0.0084454  0.00589429 0.00516397 0.00258075 0.00043594], ([0.00185902 0.00167203 0.00244022 0.0024649  0.00130781]) 	 loss 8.111E-01 	 horizons 19.0
step 5788 	 return [0.00454379 0.00518371 0.00658506 0.00814871 0.00318903], ([0.00139891 0.00213988 0.00241637 0.00494058 0.00247242]) 	 loss 7.844E-01 	 horizons 19.0
step 5978 	 return [0.00606954 0.00421222 0.0059941  0.00323598 0.0032839 ], ([0.0027232  0.0022976  0.00339697 0.00246474 0.00473208]) 	 loss 8.190E-01 	 horizons 19.0
