/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040951-ivyr4vuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatial__789__1781489391
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/ivyr4vuc
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=789, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='constant', lambda_start=1.0, lambda_end=None, lambda_warmup_fraction=0.0, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatial', wandb_entity=None)
step 1947 	 return [0.00194379 0.00361356 0.00368884 0.00494842 0.00260632], ([0.00139538 0.00269469 0.00310527 0.00495403 0.00294502]) 	 loss 1.956E+00 	 horizons 18.1
step 2133 	 return [0.0033433  0.00354016 0.00409229 0.00283988 0.00453595], ([0.0023296  0.00255827 0.00351267 0.00319095 0.00422644]) 	 loss 1.543E+00 	 horizons 18.6
step 2294 	 return [0.00154378 0.00184535 0.0010248  0.00170262 0.00071565], ([0.00091903 0.00340884 0.00116243 0.00265433 0.00073315]) 	 loss 1.155E+00 	 horizons 16.1
step 2484 	 return [0.00068552 0.00497952 0.00552782 0.00601668 0.00570196], ([0.00098907 0.00380377 0.00206867 0.00351277 0.00306179]) 	 loss 9.974E-01 	 horizons 19.0
step 2650 	 return [0.0024303  0.00083322 0.0005886  0.00030228 0.00054465], ([0.00132716 0.00095196 0.0005668  0.00051901 0.00062856]) 	 loss 9.533E-01 	 horizons 16.6
step 2840 	 return [0.00154688 0.00364637 0.00601608 0.00833761 0.00389036], ([0.00173596 0.00229914 0.00180879 0.00282893 0.00256652]) 	 loss 9.154E-01 	 horizons 19.0
step 3030 	 return [0.00416912 0.00470949 0.00420404 0.00390181 0.00214047], ([0.00383022 0.00160328 0.00217446 0.00301034 0.0025699 ]) 	 loss 8.947E-01 	 horizons 19.0
step 3220 	 return [0.00130034 0.00450869 0.00658793 0.00473315 0.00644157], ([0.0029621  0.00206372 0.00196976 0.00284907 0.00265617]) 	 loss 9.171E-01 	 horizons 19.0
step 3410 	 return [0.00161753 0.00554524 0.00698526 0.0070088  0.0058158 ], ([0.00260413 0.00398438 0.00240321 0.00327734 0.00263989]) 	 loss 8.963E-01 	 horizons 19.0
step 3600 	 return [0.00234744 0.00478593 0.00511526 0.0051568  0.00435579], ([0.00216778 0.00250187 0.00219581 0.00341777 0.00312897]) 	 loss 8.935E-01 	 horizons 19.0
step 3790 	 return [0.00170481 0.00505752 0.00588209 0.00826838 0.00689186], ([0.00195385 0.00255812 0.00133707 0.00368059 0.00372814]) 	 loss 8.967E-01 	 horizons 19.0
step 3980 	 return [0.00082196 0.00641451 0.00592265 0.00727697 0.00343308], ([0.00087478 0.00280748 0.00206127 0.00241134 0.00228351]) 	 loss 8.960E-01 	 horizons 19.0
step 4170 	 return [0.00218091 0.00598287 0.00430141 0.00771517 0.00329637], ([0.00264897 0.00370247 0.00192317 0.00421313 0.00218111]) 	 loss 8.799E-01 	 horizons 19.0
step 4360 	 return [0.00115117 0.00573004 0.00649778 0.00808974 0.00654813], ([0.00176459 0.00259856 0.00144598 0.00273884 0.00218888]) 	 loss 8.814E-01 	 horizons 19.0
step 4550 	 return [0.00410876 0.0040388  0.00427256 0.00268572 0.00266985], ([0.00321502 0.0013161  0.00193397 0.002481   0.00306213]) 	 loss 8.649E-01 	 horizons 19.0
step 4740 	 return [0.0011124  0.00441705 0.00659579 0.00701955 0.00662639], ([0.00158012 0.00274039 0.00182247 0.00390143 0.00300045]) 	 loss 8.424E-01 	 horizons 19.0
step 4930 	 return [0.00065887 0.00714115 0.00535895 0.0087989  0.00479942], ([0.00149119 0.00249597 0.00183834 0.00324307 0.00161549]) 	 loss 8.487E-01 	 horizons 19.0
step 5120 	 return [0.00134892 0.00424391 0.00678845 0.00782405 0.00664432], ([0.00195482 0.00255172 0.0028104  0.00283865 0.00331648]) 	 loss 8.618E-01 	 horizons 19.0
step 5310 	 return [0.0004998  0.00548472 0.0058234  0.00654494 0.00526653], ([0.00081809 0.00195934 0.00189716 0.0036361  0.00237128]) 	 loss 8.399E-01 	 horizons 19.0
step 5500 	 return [0.00155488 0.00819837 0.00607833 0.00899213 0.00565304], ([0.00183284 0.00301907 0.00180852 0.002219   0.00295265]) 	 loss 8.461E-01 	 horizons 19.0
step 5690 	 return [0.00091422 0.00647872 0.00776173 0.00821916 0.00655274], ([0.00144749 0.00194014 0.0023002  0.00272841 0.00173744]) 	 loss 8.633E-01 	 horizons 19.0
step 5880 	 return [0.00129917 0.00722835 0.0062778  0.00930422 0.00550606], ([0.00178107 0.00251573 0.00142967 0.00307308 0.00246394]) 	 loss 8.589E-01 	 horizons 19.0
step 6070 	 return [0.00131145 0.00681302 0.00666924 0.00772666 0.00577258], ([0.00163676 0.00207205 0.0026474  0.0023854  0.00222199]) 	 loss 8.299E-01 	 horizons 19.0
step 6260 	 return [0.00086718 0.00768618 0.00984039 0.00894612 0.00639581], ([0.00179397 0.00184492 0.0019822  0.00340521 0.00199235]) 	 loss 8.656E-01 	 horizons 19.0
step 6450 	 return [0.00136306 0.00608415 0.00666896 0.00875431 0.00560524], ([0.00221605 0.00323962 0.00160114 0.00370919 0.00239414]) 	 loss 8.436E-01 	 horizons 19.0
step 6640 	 return [0.00013622 0.0078427  0.00717632 0.00668662 0.00381559], ([0.00027303 0.00368693 0.00175486 0.00430408 0.00200942]) 	 loss 8.469E-01 	 horizons 19.0
step 6830 	 return [0.0067611  0.0042269  0.00402428 0.00220466 0.00158073], ([0.00301683 0.00091571 0.00261159 0.00202685 0.00248363]) 	 loss 8.261E-01 	 horizons 19.0
step 7020 	 return [0.00053562 0.00932208 0.00572584 0.00915664 0.00587519], ([0.00107128 0.00184647 0.00194809 0.00267272 0.00082984]) 	 loss 8.115E-01 	 horizons 19.0
step 7210 	 return [0.00132991 0.00922948 0.00792212 0.01156528 0.00524102], ([0.00175063 0.00297229 0.0011282  0.00382558 0.00207661]) 	 loss 7.865E-01 	 horizons 19.0
step 7400 	 return [0.00314102 0.00609481 0.00856378 0.00662772 0.00661658], ([0.00245685 0.00259489 0.00268216 0.00313925 0.00369208]) 	 loss 7.833E-01 	 horizons 19.0
step 7590 	 return [0.00193211 0.00960763 0.00947286 0.00850545 0.00620724], ([0.00172353 0.00196683 0.00309899 0.00269296 0.00305841]) 	 loss 7.802E-01 	 horizons 19.0
step 7780 	 return [0.00424576 0.00816906 0.00905661 0.00649652 0.00490315], ([0.00236797 0.00301059 0.00201566 0.00289222 0.00386602]) 	 loss 7.574E-01 	 horizons 19.0
step 7970 	 return [0.00286183 0.00698682 0.00940043 0.00855112 0.00796092], ([0.00208798 0.00256474 0.0016655  0.00512067 0.0047025 ]) 	 loss 7.496E-01 	 horizons 19.0
step 8160 	 return [0.00502513 0.00578217 0.00869384 0.00868259 0.00644023], ([0.00215165 0.0024734  0.00311065 0.00558833 0.00521228]) 	 loss 7.592E-01 	 horizons 19.0
step 8350 	 return [0.00252239 0.00785824 0.00930251 0.01007968 0.00748115], ([0.00196126 0.00203837 0.0018456  0.00397296 0.0030207 ]) 	 loss 7.063E-01 	 horizons 19.0
step 8540 	 return [0.00222323 0.00650497 0.00903683 0.00775647 0.00858278], ([0.00190598 0.00249263 0.00163631 0.00315833 0.00351914]) 	 loss 7.248E-01 	 horizons 19.0
step 8730 	 return [0.00090417 0.01043496 0.00992336 0.01033754 0.0072434 ], ([0.0014552  0.00220858 0.00218509 0.00354495 0.00305889]) 	 loss 6.998E-01 	 horizons 19.0
step 8920 	 return [0.00392404 0.00575294 0.0078705  0.00658963 0.00467391], ([0.00238161 0.00144945 0.00297455 0.00437196 0.00406385]) 	 loss 6.863E-01 	 horizons 19.0
step 9110 	 return [0.00489334 0.0068689  0.00752754 0.01141934 0.00517317], ([0.00051009 0.00268542 0.00150611 0.00403115 0.00284739]) 	 loss 6.703E-01 	 horizons 19.0
step 9300 	 return [0.00159155 0.00812862 0.00734152 0.00837315 0.00674618], ([0.00176215 0.0014621  0.00158714 0.00332088 0.00147003]) 	 loss 6.771E-01 	 horizons 19.0
step 9490 	 return [0.0003395  0.00827708 0.00947573 0.00937074 0.00568273], ([0.00070363 0.00287988 0.00209036 0.00287484 0.00310057]) 	 loss 6.542E-01 	 horizons 19.0
step 9680 	 return [0.00428228 0.00761911 0.00786851 0.00941536 0.00507406], ([0.00161149 0.00193922 0.00198678 0.00411691 0.00288723]) 	 loss 6.487E-01 	 horizons 19.0
step 9870 	 return [0.00218108 0.0076238  0.00859797 0.00875813 0.00577703], ([0.00126805 0.00294352 0.00217434 0.00412411 0.00330161]) 	 loss 6.165E-01 	 horizons 19.0
step 10060 	 return [0.00017658 0.00833301 0.01085432 0.00954051 0.00875734], ([0.00052975 0.00220972 0.00144716 0.00286296 0.00402553]) 	 loss 6.104E-01 	 horizons 19.0
step 10250 	 return [0.00503888 0.00695594 0.00802945 0.01073043 0.00939843], ([0.00050549 0.00203234 0.00187188 0.00329976 0.0024681 ]) 	 loss 6.102E-01 	 horizons 19.0
step 10440 	 return [0.00372751 0.00731818 0.00882066 0.01092389 0.00734094], ([0.0008541  0.00165493 0.00175199 0.00251418 0.003044  ]) 	 loss 5.848E-01 	 horizons 19.0
step 10630 	 return [0.00525289 0.00716316 0.00764433 0.00981147 0.00679769], ([0.00054356 0.0021981  0.00171866 0.00290341 0.00146469]) 	 loss 5.649E-01 	 horizons 19.0
step 10820 	 return [0.         0.009148   0.00695741 0.01049087 0.00776806], ([0.         0.00141401 0.00209927 0.00442683 0.00293689]) 	 loss 5.337E-01 	 horizons 19.0
step 11010 	 return [0.00532395 0.00691438 0.00799771 0.0111814  0.00809664], ([0.00043708 0.00207484 0.00133238 0.00435489 0.00285395]) 	 loss 5.374E-01 	 horizons 19.0
step 11200 	 return [0.00503977 0.00588742 0.00766345 0.01332865 0.00682476], ([0.00058262 0.00134267 0.00125683 0.00277857 0.00233544]) 	 loss 5.058E-01 	 horizons 19.0
step 11390 	 return [0.00431962 0.00576823 0.0075532  0.00998876 0.00974772], ([0.0006346  0.001991   0.00174597 0.00339897 0.00340799]) 	 loss 4.971E-01 	 horizons 19.0
step 11580 	 return [0.00554979 0.00452689 0.00864947 0.01084163 0.00684794], ([0.00054776 0.00083341 0.00270161 0.0040322  0.00264822]) 	 loss 4.805E-01 	 horizons 19.0
step 11770 	 return [0.00523015 0.00919493 0.00835431 0.00966976 0.0074769 ], ([0.00060759 0.00100172 0.00105819 0.00214837 0.00318162]) 	 loss 4.533E-01 	 horizons 19.0
step 11960 	 return [0.00582511 0.00647592 0.00812827 0.0118008  0.00571452], ([0.00163643 0.0021527  0.00249328 0.00356115 0.00104321]) 	 loss 4.430E-01 	 horizons 19.0
step 12150 	 return [0.00453865 0.00602192 0.00778942 0.01004455 0.00976487], ([0.00058664 0.00163742 0.00212134 0.00365588 0.00286932]) 	 loss 4.261E-01 	 horizons 19.0
step 12340 	 return [0.00462818 0.00941975 0.00875211 0.01121431 0.00703322], ([0.0004483  0.00195948 0.00187782 0.002437   0.00314551]) 	 loss 4.217E-01 	 horizons 19.0
step 12530 	 return [0.00528292 0.00592801 0.00788474 0.01429393 0.00506529], ([0.000363   0.00119436 0.00156994 0.00186713 0.0012702 ]) 	 loss 4.114E-01 	 horizons 19.0
step 12720 	 return [0.00495658 0.0086269  0.00889159 0.01002053 0.00674558], ([0.00043417 0.00129989 0.00147735 0.00247679 0.00261902]) 	 loss 4.080E-01 	 horizons 19.0
step 12910 	 return [0.00447618 0.00984453 0.00930412 0.0110127  0.00649593], ([0.00042609 0.00139247 0.00231646 0.00285489 0.00138883]) 	 loss 3.871E-01 	 horizons 19.0
step 13100 	 return [0.00349497 0.01009619 0.00877921 0.01006071 0.00894945], ([0.00056364 0.00062776 0.00236219 0.00252337 0.00273536]) 	 loss 3.945E-01 	 horizons 19.0
step 13290 	 return [0.00564604 0.00528725 0.00756506 0.01250263 0.00754526], ([0.00082913 0.00069059 0.00127462 0.0036799  0.00191618]) 	 loss 3.847E-01 	 horizons 19.0
step 13480 	 return [0.00415167 0.00851242 0.00925129 0.01211368 0.01145201], ([0.00044687 0.0011161  0.00153664 0.00235909 0.00266582]) 	 loss 3.553E-01 	 horizons 19.0
step 13670 	 return [0.00491761 0.00840348 0.0094566  0.00944967 0.00935643], ([0.00039181 0.00075136 0.00144319 0.001431   0.00256514]) 	 loss 3.567E-01 	 horizons 19.0
step 13860 	 return [0.00598292 0.00661522 0.00845425 0.01227842 0.00735091], ([0.00065266 0.0024097  0.00180892 0.00313287 0.00261314]) 	 loss 3.625E-01 	 horizons 19.0
step 14050 	 return [0.00533369 0.0076107  0.00731287 0.00979967 0.00781792], ([0.00071381 0.00122592 0.00122719 0.00256283 0.00203938]) 	 loss 3.591E-01 	 horizons 19.0
step 14240 	 return [0.00297085 0.00864848 0.00922987 0.01132317 0.00875965], ([0.00057458 0.00143935 0.00090962 0.00228028 0.00199658]) 	 loss 3.314E-01 	 horizons 19.0
step 14430 	 return [0.00574428 0.00890886 0.00829927 0.00770598 0.00887448], ([0.00156049 0.00139865 0.00159179 0.00174602 0.0041057 ]) 	 loss 3.484E-01 	 horizons 19.0
step 14620 	 return [0.00486959 0.00873423 0.00957093 0.01060366 0.00944388], ([0.00052643 0.00070393 0.00126952 0.00176611 0.00188282]) 	 loss 3.413E-01 	 horizons 19.0
step 14810 	 return [0.00495146 0.00885051 0.00894086 0.01107448 0.00692417], ([0.00039949 0.00078511 0.00158018 0.00199871 0.00172377]) 	 loss 3.374E-01 	 horizons 19.0
step 15000 	 return [0.00435259 0.00778859 0.00989595 0.00956942 0.01047233], ([0.0006975  0.00137374 0.00143149 0.00183843 0.00250248]) 	 loss 3.346E-01 	 horizons 19.0
step 15190 	 return [0.00520936 0.00896988 0.00835112 0.01018022 0.00712471], ([0.00022196 0.00080189 0.00116614 0.00241398 0.00254636]) 	 loss 3.104E-01 	 horizons 19.0
step 15380 	 return [0.00512341 0.00739909 0.00839175 0.01073202 0.00743446], ([0.00071748 0.00215976 0.00159837 0.0023041  0.00177706]) 	 loss 2.827E-01 	 horizons 19.0
step 15570 	 return [0.00532085 0.00647802 0.00713673 0.01465812 0.00889369], ([0.00014669 0.00114557 0.00114669 0.00302683 0.00163024]) 	 loss 3.069E-01 	 horizons 19.0
step 15760 	 return [0.00515682 0.00729521 0.00944655 0.01323119 0.01231966], ([0.00046368 0.00184093 0.00131014 0.00209635 0.00191423]) 	 loss 2.846E-01 	 horizons 19.0
step 15950 	 return [0.00564035 0.00490259 0.01027798 0.01116959 0.00731276], ([0.00018351 0.00075108 0.00151708 0.00233712 0.00089215]) 	 loss 2.821E-01 	 horizons 19.0
step 16140 	 return [0.00565096 0.00573842 0.00936009 0.00972692 0.00716934], ([0.00082194 0.00103075 0.00259332 0.00154387 0.00195116]) 	 loss 3.064E-01 	 horizons 19.0
step 16330 	 return [0.00541489 0.00492483 0.00935619 0.01281922 0.00763533], ([0.00017563 0.00052136 0.00095468 0.00166933 0.00199537]) 	 loss 2.626E-01 	 horizons 19.0
step 16520 	 return [0.00546436 0.00450722 0.01043727 0.01097765 0.0093043 ], ([0.00023777 0.00109416 0.00081152 0.00264551 0.0015521 ]) 	 loss 2.780E-01 	 horizons 19.0
step 16710 	 return [0.00445828 0.00804404 0.0095584  0.0145654  0.01173604], ([0.00050421 0.00137464 0.00162794 0.00266947 0.00262419]) 	 loss 2.608E-01 	 horizons 19.0
step 16900 	 return [0.00542622 0.0084345  0.00841028 0.00969698 0.00930415], ([0.00040206 0.00046495 0.0020495  0.00171284 0.00197695]) 	 loss 2.330E-01 	 horizons 19.0
step 17090 	 return [0.00522962 0.00897704 0.00912758 0.012389   0.01159577], ([0.00036871 0.00070519 0.0013444  0.00246988 0.00224952]) 	 loss 2.557E-01 	 horizons 19.0
step 17280 	 return [0.00515342 0.00877296 0.00870058 0.01398047 0.01185555], ([0.00045332 0.00115534 0.00082299 0.00167434 0.00176204]) 	 loss 2.646E-01 	 horizons 19.0
step 17470 	 return [0.00511369 0.00624677 0.00882842 0.01294028 0.01041777], ([0.00048971 0.00161837 0.00116187 0.00120735 0.00130674]) 	 loss 2.557E-01 	 horizons 19.0
step 17660 	 return [0.00408572 0.00831255 0.01101444 0.01050957 0.01327606], ([0.00059659 0.0010873  0.00125627 0.00242638 0.00238544]) 	 loss 2.379E-01 	 horizons 19.0
step 17850 	 return [0.00328556 0.01058263 0.01038447 0.01047135 0.00662063], ([0.0007087  0.00144759 0.00205993 0.00292353 0.00159557]) 	 loss 2.421E-01 	 horizons 19.0
step 18040 	 return [0.00561032 0.00859583 0.00982253 0.01010861 0.01005353], ([0.00055514 0.00136571 0.00221579 0.00163588 0.00281052]) 	 loss 2.479E-01 	 horizons 19.0
step 18230 	 return [0.00495888 0.00952368 0.0080146  0.00995977 0.00606633], ([0.00017222 0.00056591 0.00106909 0.00189908 0.00156557]) 	 loss 2.170E-01 	 horizons 19.0
step 18420 	 return [0.00588464 0.00969823 0.00747661 0.00935565 0.00460281], ([0.0011551  0.00071204 0.00060809 0.00200091 0.00053643]) 	 loss 1.980E-01 	 horizons 19.0
step 18610 	 return [0.00538644 0.00575313 0.00941634 0.01053148 0.00855484], ([0.0003709  0.00126888 0.00233323 0.00218961 0.00204549]) 	 loss 1.936E-01 	 horizons 19.0
step 18800 	 return [0.00315089 0.01125062 0.01177198 0.00885687 0.00702472], ([0.00030762 0.00087762 0.00133624 0.00210598 0.00102174]) 	 loss 1.855E-01 	 horizons 19.0
step 18990 	 return [0.00413916 0.00907454 0.00955106 0.01454105 0.01173261], ([0.00052047 0.00082781 0.00105271 0.00170708 0.0015668 ]) 	 loss 1.739E-01 	 horizons 19.0
step 19180 	 return [0.00517848 0.00873123 0.00963582 0.01122015 0.0112051 ], ([0.0003394  0.00056113 0.00102417 0.00119845 0.00287217]) 	 loss 1.805E-01 	 horizons 19.0
step 19370 	 return [0.00455949 0.00894229 0.01012436 0.01318526 0.01082273], ([0.00044078 0.00066478 0.00146548 0.00142178 0.00205818]) 	 loss 1.895E-01 	 horizons 19.0
