/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run euy4ubho
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_041000-euy4ubho
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatiotemporal__1024__1781489399
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/euy4ubho
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatiotemporal', wandb_entity=None)
step 1935 	 return [0.00220967 0.00403511 0.00592209 0.00609554 0.00687502], ([0.00202032 0.00265305 0.00360673 0.00496697 0.00439828]) 	 loss 1.956E+00 	 horizons 18.3
step 2116 	 return [0.00109604 0.00349657 0.0042362  0.00668067 0.00414087], ([0.00118012 0.00298578 0.00275768 0.0037247  0.00257752]) 	 loss 1.601E+00 	 horizons 18.1
step 2306 	 return [0.00247809 0.0046658  0.00562572 0.0054669  0.0042005 ], ([0.0021058  0.0020036  0.00287516 0.00439281 0.00381024]) 	 loss 1.221E+00 	 horizons 19.0
step 2496 	 return [0.00360415 0.00401196 0.00661347 0.00793256 0.00495915], ([0.00268229 0.00229582 0.00251053 0.00535202 0.00393586]) 	 loss 1.069E+00 	 horizons 19.0
step 2686 	 return [0.00279558 0.00502933 0.00485983 0.00582262 0.00610614], ([0.00342063 0.00215252 0.00236366 0.00418943 0.00454863]) 	 loss 1.006E+00 	 horizons 19.0
step 2876 	 return [0.00432921 0.00322952 0.00482934 0.00372247 0.00428917], ([0.0036918  0.0009838  0.00233883 0.00289013 0.0039601 ]) 	 loss 9.539E-01 	 horizons 19.0
step 3066 	 return [0.00342613 0.00670129 0.00493001 0.00685975 0.00306225], ([0.00231438 0.00226781 0.00214561 0.0036445  0.00155097]) 	 loss 9.250E-01 	 horizons 19.0
step 3256 	 return [0.00506445 0.00424927 0.0055676  0.00394422 0.00479641], ([0.00368652 0.00191299 0.00191398 0.00281619 0.0042588 ]) 	 loss 8.674E-01 	 horizons 19.0
step 3446 	 return [0.002269   0.00445138 0.00667404 0.00841084 0.00484281], ([0.00176972 0.00250224 0.00179247 0.00301841 0.00365001]) 	 loss 8.580E-01 	 horizons 19.0
step 3636 	 return [0.00206193 0.00497582 0.00629611 0.00660696 0.00537416], ([0.00172283 0.00288927 0.00178773 0.00224449 0.00368135]) 	 loss 8.658E-01 	 horizons 19.0
step 3826 	 return [0.00268083 0.00350922 0.00432524 0.00831298 0.0044731 ], ([0.00223702 0.00137052 0.00234048 0.00399557 0.00290195]) 	 loss 8.358E-01 	 horizons 19.0
step 4016 	 return [0.00209963 0.0042643  0.00726924 0.0073877  0.00638791], ([0.00178457 0.00196314 0.00228809 0.00327957 0.00335878]) 	 loss 8.413E-01 	 horizons 19.0
step 4206 	 return [0.00319064 0.00302936 0.00518035 0.00548167 0.0069092 ], ([0.00349222 0.0018126  0.00275817 0.00488636 0.00365155]) 	 loss 8.460E-01 	 horizons 19.0
step 4396 	 return [0.00489835 0.00423965 0.0061241  0.00443876 0.00588752], ([0.00368518 0.00247068 0.00321024 0.00410515 0.00418818]) 	 loss 8.100E-01 	 horizons 19.0
step 4586 	 return [0.00531402 0.00440835 0.00575705 0.00292639 0.00298037], ([0.00321949 0.00158973 0.0037101  0.00304154 0.00466245]) 	 loss 8.110E-01 	 horizons 19.0
step 4776 	 return [0.00456055 0.00516948 0.00696711 0.0072973  0.00646619], ([0.0026445  0.00190313 0.00296145 0.00568439 0.004601  ]) 	 loss 8.070E-01 	 horizons 19.0
step 4966 	 return [0.00384923 0.00410185 0.00676709 0.00721163 0.00541086], ([0.00243572 0.00182929 0.00190396 0.00392656 0.00357946]) 	 loss 7.734E-01 	 horizons 19.0
step 5156 	 return [0.00410186 0.00302937 0.0057199  0.00526344 0.00487295], ([0.0028658  0.00130066 0.00345923 0.00389093 0.00430796]) 	 loss 7.906E-01 	 horizons 19.0
step 5346 	 return [0.00153653 0.00688957 0.00751216 0.0087211  0.00549394], ([0.00156955 0.00164603 0.00217925 0.00333835 0.00274575]) 	 loss 8.129E-01 	 horizons 19.0
step 5536 	 return [0.00129778 0.00648787 0.0073593  0.00869961 0.00388606], ([0.00148645 0.00389422 0.00146785 0.0058865  0.0020273 ]) 	 loss 8.082E-01 	 horizons 19.0
step 5726 	 return [0.0043089  0.00467958 0.00736033 0.00862517 0.00724686], ([0.00167088 0.00305722 0.00209467 0.00346884 0.00289877]) 	 loss 8.179E-01 	 horizons 19.0
step 5916 	 return [0.00379178 0.00509605 0.00627067 0.00907353 0.00714844], ([0.00268195 0.00269478 0.00247869 0.00518183 0.00363209]) 	 loss 8.089E-01 	 horizons 19.0
step 6106 	 return [0.00141823 0.00714404 0.00639989 0.0070368  0.00837051], ([0.00169735 0.00176754 0.00276653 0.00367344 0.00213694]) 	 loss 8.092E-01 	 horizons 19.0
step 6296 	 return [0.00267652 0.00493285 0.00929923 0.00890322 0.0085917 ], ([0.00145392 0.00210667 0.00166269 0.00505167 0.00213319]) 	 loss 8.171E-01 	 horizons 19.0
step 6486 	 return [0.00255266 0.00839362 0.00659091 0.00914003 0.00424729], ([0.00156743 0.00319477 0.00360586 0.00370075 0.00258988]) 	 loss 8.054E-01 	 horizons 19.0
step 6676 	 return [0.00198025 0.00734478 0.00756417 0.00841309 0.00597566], ([0.00131852 0.00157298 0.00242435 0.00313218 0.00236003]) 	 loss 7.729E-01 	 horizons 19.0
step 6866 	 return [0.00385527 0.00630951 0.00878005 0.00772067 0.00582552], ([0.00173951 0.00247955 0.00229694 0.0042588  0.00420878]) 	 loss 7.782E-01 	 horizons 19.0
step 7056 	 return [0.00323202 0.00429357 0.00697034 0.00719927 0.00404192], ([0.0010751  0.00187776 0.00226739 0.00465394 0.0024727 ]) 	 loss 7.745E-01 	 horizons 19.0
step 7246 	 return [0.00508915 0.0034019  0.00674438 0.0092808  0.00440296], ([0.00189495 0.00163817 0.00224947 0.0045076  0.00311664]) 	 loss 7.640E-01 	 horizons 19.0
step 7436 	 return [0.00796479 0.00455831 0.00538262 0.0020758  0.00275047], ([0.00264054 0.00163108 0.00331833 0.00204167 0.00432814]) 	 loss 7.671E-01 	 horizons 19.0
step 7626 	 return [0.00362195 0.0077947  0.00705816 0.01069215 0.00512295], ([0.00191324 0.00188788 0.00242265 0.00341591 0.00304119]) 	 loss 7.267E-01 	 horizons 19.0
step 7816 	 return [0.00428343 0.00335204 0.00786094 0.00976657 0.00608191], ([0.00072274 0.00163709 0.00135491 0.00257361 0.00247925]) 	 loss 7.501E-01 	 horizons 19.0
step 8006 	 return [0.00255671 0.00839485 0.00832137 0.00859686 0.00618695], ([0.00086756 0.00173745 0.00201479 0.00293036 0.00311306]) 	 loss 7.153E-01 	 horizons 19.0
step 8196 	 return [0.0048115  0.00715241 0.00751454 0.0106053  0.00723785], ([0.00249437 0.00299929 0.00153811 0.0035786  0.00272243]) 	 loss 6.895E-01 	 horizons 19.0
step 8386 	 return [0.00441388 0.00458386 0.00886106 0.00905955 0.00654103], ([0.00095707 0.0020003  0.00126782 0.00380738 0.0041898 ]) 	 loss 6.654E-01 	 horizons 19.0
step 8576 	 return [0.00170327 0.00848967 0.00730558 0.01204416 0.00549109], ([0.00173582 0.00155142 0.0017343  0.00316871 0.00177141]) 	 loss 6.728E-01 	 horizons 19.0
step 8766 	 return [0.00264653 0.00811014 0.00755091 0.01244471 0.00619524], ([0.00170513 0.00228911 0.00215432 0.00242922 0.00174734]) 	 loss 6.743E-01 	 horizons 19.0
step 8956 	 return [0.0052317  0.00627804 0.00942945 0.00616995 0.00495167], ([0.00247609 0.0025927  0.0019222  0.00179654 0.00452026]) 	 loss 6.371E-01 	 horizons 19.0
step 9146 	 return [0.00160917 0.00731627 0.0071199  0.01242941 0.0057256 ], ([0.00205389 0.00202638 0.00209742 0.0026741  0.00329405]) 	 loss 6.534E-01 	 horizons 19.0
step 9336 	 return [0.00239126 0.00821254 0.00859524 0.01124487 0.00700419], ([0.00121652 0.00141873 0.00226979 0.0035721  0.00118354]) 	 loss 6.431E-01 	 horizons 19.0
step 9526 	 return [0.00533898 0.00307816 0.00847549 0.01186105 0.00720579], ([0.00228627 0.00111153 0.00284228 0.00520965 0.003113  ]) 	 loss 6.484E-01 	 horizons 19.0
step 9716 	 return [0.003634   0.00858949 0.00994713 0.00995579 0.00659925], ([0.0019798  0.002294   0.0015865  0.00235625 0.00364097]) 	 loss 6.377E-01 	 horizons 19.0
step 9906 	 return [0.00250074 0.00811586 0.00969881 0.00874659 0.00937507], ([0.00128801 0.00259161 0.00276256 0.00337749 0.00242248]) 	 loss 6.040E-01 	 horizons 19.0
step 10096 	 return [0.00241836 0.00871113 0.00821091 0.00672219 0.00570535], ([0.00186441 0.00305665 0.00235007 0.0033669  0.00397142]) 	 loss 5.863E-01 	 horizons 19.0
step 10286 	 return [0.00350004 0.00735075 0.00813857 0.01165567 0.00681745], ([0.00051513 0.00140768 0.00237249 0.00285814 0.00216537]) 	 loss 5.848E-01 	 horizons 19.0
step 10476 	 return [0.00343474 0.00832078 0.00641915 0.01253428 0.00624929], ([0.00152887 0.00196776 0.00232349 0.00430179 0.00256337]) 	 loss 6.115E-01 	 horizons 19.0
step 10666 	 return [0.0055431  0.00930271 0.00936483 0.00867112 0.00852904], ([0.00234052 0.00371945 0.00154144 0.00438197 0.00346053]) 	 loss 5.914E-01 	 horizons 19.0
step 10856 	 return [0.0027805  0.00988566 0.00826268 0.01142814 0.00777864], ([0.00102058 0.00121785 0.00174204 0.00170434 0.0015454 ]) 	 loss 5.916E-01 	 horizons 19.0
step 11046 	 return [0.00233096 0.00981109 0.00653125 0.01180708 0.00644696], ([0.00160274 0.00159655 0.00203082 0.00345382 0.0021925 ]) 	 loss 5.772E-01 	 horizons 19.0
