/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run lkygp71f
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_040956-lkygp71f
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-spatiotemporal__123__1781489396
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/lkygp71f
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.5, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-spatiotemporal', wandb_entity=None)
step 1930 	 return [0.00235598 0.00435744 0.00220316 0.00239289 0.00185913], ([0.00221879 0.00396832 0.00280338 0.00385228 0.00242374]) 	 loss 1.925E+00 	 horizons 17.8
step 2104 	 return [0.00272093 0.00135243 0.00132637 0.00090042 0.00052574], ([0.00177712 0.00081665 0.00117207 0.0013016  0.00085651]) 	 loss 1.454E+00 	 horizons 17.4
step 2271 	 return [0.00259764 0.0020512  0.00107393 0.00127532 0.00111358], ([0.00167695 0.00234418 0.00117426 0.00152465 0.00103506]) 	 loss 1.096E+00 	 horizons 16.7
step 2461 	 return [0.00270608 0.00573315 0.00385268 0.00343116 0.00395846], ([0.00161883 0.00247948 0.0020413  0.00199916 0.00181763]) 	 loss 9.779E-01 	 horizons 19.0
step 2639 	 return [0.00382422 0.0016007  0.000935   0.00137726 0.00043331], ([0.00247317 0.00166351 0.00121472 0.00248451 0.00084324]) 	 loss 9.261E-01 	 horizons 17.8
step 2829 	 return [0.00160863 0.00501548 0.00440926 0.00289688 0.00297901], ([0.00176715 0.00189422 0.00206291 0.00233911 0.0020784 ]) 	 loss 9.145E-01 	 horizons 19.0
step 3019 	 return [0.00085552 0.00673545 0.00412285 0.00610384 0.00282107], ([0.00139074 0.00263231 0.00110989 0.00251887 0.00253672]) 	 loss 9.002E-01 	 horizons 19.0
step 3209 	 return [0.00386517 0.00288923 0.00126184 0.00066203 0.00068761], ([0.00312815 0.00128015 0.0017613  0.0007276  0.00090914]) 	 loss 8.642E-01 	 horizons 19.0
step 3399 	 return [0.00133845 0.00418801 0.00434486 0.00237864 0.00282614], ([0.00180255 0.00193843 0.00211964 0.00257791 0.0019673 ]) 	 loss 8.759E-01 	 horizons 19.0
step 3589 	 return [0.00127714 0.00502441 0.0044976  0.00356412 0.00245599], ([0.00146843 0.00178546 0.00110527 0.00244191 0.00221786]) 	 loss 7.927E-01 	 horizons 19.0
step 3760 	 return [0.00184619 0.00214897 0.00100764 0.00155922 0.00097091], ([0.00061232 0.00189431 0.00102657 0.00241338 0.00152623]) 	 loss 8.045E-01 	 horizons 17.1
step 3950 	 return [0.00377821 0.0026843  0.00360091 0.0036946  0.00364768], ([0.00260554 0.00151761 0.00239229 0.00333058 0.00345909]) 	 loss 8.250E-01 	 horizons 19.0
step 4140 	 return [0.00166109 0.00450792 0.00497225 0.00293208 0.00439736], ([0.00145635 0.00267234 0.00171298 0.00184052 0.00231478]) 	 loss 8.215E-01 	 horizons 19.0
step 4330 	 return [0.00130188 0.00367563 0.0047319  0.0064074  0.00371293], ([0.00285419 0.0021209  0.00113028 0.00258241 0.00255657]) 	 loss 7.912E-01 	 horizons 19.0
step 4520 	 return [0.00152585 0.00492215 0.00471915 0.00306578 0.0038414 ], ([0.0020509  0.00260469 0.00216388 0.00329876 0.00171496]) 	 loss 7.960E-01 	 horizons 19.0
step 4710 	 return [0.00364849 0.0047091  0.004153   0.00338328 0.00188125], ([0.00413115 0.00211753 0.00146089 0.00333448 0.00195685]) 	 loss 7.627E-01 	 horizons 19.0
step 4900 	 return [0.00377998 0.0043567  0.0026747  0.00044399 0.00169725], ([0.00339035 0.00161691 0.00238285 0.00099816 0.00170167]) 	 loss 7.822E-01 	 horizons 19.0
step 5090 	 return [0.00218598 0.00560195 0.00508031 0.00494126 0.00416203], ([0.00224026 0.00178797 0.00178542 0.00260483 0.00211282]) 	 loss 7.568E-01 	 horizons 19.0
step 5280 	 return [0.00357812 0.00492261 0.00370927 0.00338806 0.00308033], ([0.0038485  0.00175346 0.00142159 0.00218422 0.00173113]) 	 loss 7.302E-01 	 horizons 19.0
step 5470 	 return [0.00273629 0.00395018 0.00439108 0.00501808 0.00420402], ([0.00279812 0.00202607 0.00137953 0.00269476 0.00272394]) 	 loss 6.995E-01 	 horizons 19.0
step 5660 	 return [0.00392041 0.00458289 0.00446286 0.00412576 0.00307072], ([0.00398532 0.00232917 0.0015058  0.00307509 0.00331289]) 	 loss 7.080E-01 	 horizons 19.0
step 5850 	 return [0.00166251 0.00612556 0.00472247 0.00747147 0.00383162], ([0.00180089 0.00230198 0.00106838 0.00369319 0.00161617]) 	 loss 7.136E-01 	 horizons 19.0
step 6040 	 return [0.00075725 0.00595291 0.00485799 0.00613496 0.0035911 ], ([0.00121617 0.00255362 0.00134288 0.00264106 0.00104504]) 	 loss 7.098E-01 	 horizons 19.0
step 6230 	 return [0.00186586 0.00613004 0.00629885 0.0058519  0.00340572], ([0.00224465 0.00172025 0.00202438 0.0029974  0.00347857]) 	 loss 6.965E-01 	 horizons 19.0
step 6420 	 return [0.00312362 0.0055388  0.00358711 0.00429715 0.0034823 ], ([0.00277957 0.00214203 0.00150219 0.00293228 0.00172342]) 	 loss 7.363E-01 	 horizons 19.0
step 6610 	 return [0.00111866 0.00683145 0.00378081 0.00577852 0.00380283], ([0.00075816 0.00263706 0.00151403 0.00296469 0.00225042]) 	 loss 7.097E-01 	 horizons 19.0
step 6800 	 return [0.00155126 0.0081539  0.00515303 0.00698043 0.00330366], ([0.0021573  0.00336223 0.00162797 0.0040634  0.00219791]) 	 loss 7.368E-01 	 horizons 19.0
step 6990 	 return [0.00189701 0.00674424 0.00513204 0.00440532 0.00376885], ([0.00231892 0.00254252 0.0011617  0.00373962 0.00152409]) 	 loss 7.234E-01 	 horizons 19.0
step 7180 	 return [0.00183509 0.00829438 0.00603839 0.00902147 0.00365667], ([0.002313   0.00343271 0.00248103 0.00408137 0.00310772]) 	 loss 7.009E-01 	 horizons 19.0
step 7370 	 return [0.0016656  0.00693117 0.00367191 0.00554648 0.00307382], ([0.00153946 0.00252704 0.00199607 0.0028703  0.00173888]) 	 loss 6.860E-01 	 horizons 19.0
step 7560 	 return [0.00218808 0.00703137 0.00674127 0.00682102 0.00544424], ([0.00339851 0.00346278 0.00224032 0.00379732 0.00401257]) 	 loss 6.966E-01 	 horizons 19.0
step 7750 	 return [0.00465995 0.0051024  0.00531274 0.00484645 0.00404765], ([0.00281028 0.00262442 0.00153459 0.00398774 0.00206659]) 	 loss 7.079E-01 	 horizons 19.0
step 7940 	 return [0.00337817 0.00700591 0.00527044 0.00826238 0.00543783], ([0.00238438 0.00214661 0.00153923 0.00394738 0.0025776 ]) 	 loss 6.965E-01 	 horizons 19.0
step 8130 	 return [0.00126172 0.00796482 0.00556461 0.00819376 0.0040209 ], ([0.0012377  0.00248863 0.00146907 0.00237506 0.00277053]) 	 loss 6.998E-01 	 horizons 19.0
step 8320 	 return [0.00348134 0.00727135 0.00476926 0.00624159 0.00447964], ([0.00256315 0.00206656 0.00117182 0.00372707 0.00296769]) 	 loss 6.718E-01 	 horizons 19.0
step 8510 	 return [0.00270366 0.00739718 0.00585241 0.00947759 0.00369181], ([0.00280465 0.0029802  0.00165219 0.00230966 0.00290839]) 	 loss 6.778E-01 	 horizons 19.0
step 8700 	 return [0.00256447 0.00791657 0.00588258 0.0048255  0.00461656], ([0.00183148 0.00205134 0.00176013 0.00301621 0.00209187]) 	 loss 6.445E-01 	 horizons 19.0
step 8890 	 return [0.00345506 0.00773184 0.00724084 0.00612999 0.00394705], ([0.00211585 0.00277981 0.001269   0.00263278 0.00349848]) 	 loss 6.539E-01 	 horizons 19.0
step 9080 	 return [0.00240531 0.00455816 0.00531424 0.00269734 0.00403443], ([0.00231781 0.00132718 0.00216574 0.00240147 0.00207968]) 	 loss 6.574E-01 	 horizons 19.0
step 9270 	 return [0.00269902 0.00863756 0.00468788 0.01054789 0.00396963], ([0.00275165 0.00254517 0.00189136 0.00286988 0.00211733]) 	 loss 6.301E-01 	 horizons 19.0
step 9460 	 return [0.00252424 0.00937542 0.00768845 0.00748224 0.00223961], ([0.00200752 0.00299276 0.00085985 0.00412495 0.00269889]) 	 loss 5.862E-01 	 horizons 19.0
step 9650 	 return [0.00296531 0.00752726 0.0071402  0.00931656 0.00324695], ([0.00251554 0.00206203 0.00170597 0.0040286  0.00353105]) 	 loss 6.352E-01 	 horizons 19.0
step 9840 	 return [0.0020352  0.0066885  0.00511679 0.00345    0.00465772], ([0.00153388 0.00251662 0.00279375 0.00229544 0.00289549]) 	 loss 6.270E-01 	 horizons 19.0
step 10030 	 return [0.00256377 0.00838618 0.00716165 0.0081774  0.00599329], ([0.0018691  0.00206213 0.00167373 0.00227884 0.00276582]) 	 loss 6.258E-01 	 horizons 19.0
step 10220 	 return [0.00345296 0.0089145  0.0069273  0.01127537 0.00314746], ([0.00190565 0.00328078 0.00180111 0.00406047 0.00321019]) 	 loss 6.242E-01 	 horizons 19.0
step 10410 	 return [0.00277461 0.008425   0.00585365 0.00535241 0.00463565], ([0.00225603 0.00272955 0.00184412 0.00247064 0.00358783]) 	 loss 5.834E-01 	 horizons 19.0
step 10600 	 return [0.0026725  0.00933823 0.00623022 0.01033602 0.00481004], ([0.00193453 0.00291914 0.00110796 0.00314595 0.00320473]) 	 loss 5.613E-01 	 horizons 19.0
