/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run orf3g3lt
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035450-orf3g3lt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-temporal__1024__1781488490
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/orf3g3lt
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-temporal', wandb_entity=None)
step 1969 	 return [0.00197891 0.00543341 0.00373981 0.00449211 0.00320087], ([0.00208398 0.00366012 0.00215415 0.00279096 0.00231866]) 	 loss 1.931E+00 	 horizons 19.0
step 2147 	 return [0.00293283 0.00247168 0.00158516 0.00256343 0.00142471], ([0.00270126 0.00271508 0.00167521 0.00327693 0.00177859]) 	 loss 1.522E+00 	 horizons 17.8
step 2337 	 return [0.00078009 0.00732527 0.00415737 0.00499464 0.00325228], ([0.00126521 0.00178887 0.00178558 0.00302214 0.00197429]) 	 loss 1.112E+00 	 horizons 19.0
step 2527 	 return [0.00093264 0.00480199 0.00408259 0.00500584 0.00409012], ([0.00146259 0.00189789 0.00193422 0.00311922 0.00188237]) 	 loss 9.967E-01 	 horizons 19.0
step 2717 	 return [0.0018489  0.00585061 0.00320034 0.0059337  0.00374012], ([0.00296182 0.0021895  0.00109922 0.00296413 0.00214392]) 	 loss 9.672E-01 	 horizons 19.0
step 2907 	 return [0.00053638 0.00494125 0.00346356 0.00757409 0.00364564], ([0.00125528 0.00227616 0.00071396 0.002979   0.00220355]) 	 loss 9.240E-01 	 horizons 19.0
step 3097 	 return [0.00030578 0.00674952 0.0037304  0.00726691 0.00468909], ([0.00081289 0.00255202 0.00182627 0.00365991 0.00209968]) 	 loss 9.010E-01 	 horizons 19.0
step 3287 	 return [0.00145935 0.00471198 0.00439624 0.00630877 0.0038907 ], ([0.00154157 0.0017438  0.00290046 0.00309896 0.00208775]) 	 loss 9.070E-01 	 horizons 19.0
step 3477 	 return [0.00054425 0.00512825 0.00292412 0.00686363 0.00401574], ([0.00102924 0.00241387 0.00138971 0.00252976 0.00130031]) 	 loss 8.912E-01 	 horizons 19.0
step 3667 	 return [0.00072588 0.00569471 0.00495475 0.00855519 0.00383001], ([0.0014551  0.00302715 0.00177617 0.00330664 0.00252004]) 	 loss 8.659E-01 	 horizons 19.0
step 3857 	 return [0.00060623 0.00647756 0.00386038 0.00624037 0.00433375], ([0.00104785 0.0023176  0.0010928  0.00314862 0.00160655]) 	 loss 8.622E-01 	 horizons 19.0
step 4047 	 return [0.00174677 0.00489714 0.00428121 0.00693812 0.00382407], ([0.00194952 0.00166999 0.00151231 0.00268841 0.00169608]) 	 loss 8.479E-01 	 horizons 19.0
step 4237 	 return [0.00100367 0.00556328 0.00552538 0.00851697 0.00445249], ([0.00157403 0.0021178  0.00145249 0.00381195 0.00251374]) 	 loss 8.679E-01 	 horizons 19.0
