/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run sxi5ikcm
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035423-sxi5ikcm
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-temporal__123__1781488463
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/sxi5ikcm
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-temporal', wandb_entity=None)
step 1923 	 return [0.00117243 0.00386938 0.00500349 0.00443584 0.0044345 ], ([0.00135133 0.00309483 0.00410874 0.00420316 0.00327516]) 	 loss 1.960E+00 	 horizons 17.8
step 2093 	 return [0.00106605 0.0042884  0.00461927 0.00457299 0.00312312], ([0.00110315 0.00373936 0.00437363 0.00500055 0.0023759 ]) 	 loss 1.588E+00 	 horizons 17.0
step 2283 	 return [0.00212901 0.00504038 0.00475014 0.00474918 0.00295778], ([0.00176647 0.00414468 0.00274798 0.00339544 0.00226142]) 	 loss 1.183E+00 	 horizons 19.0
step 2473 	 return [0.00206234 0.0048506  0.00571312 0.00774235 0.00333228], ([0.00196041 0.00243223 0.00275773 0.00425516 0.00274162]) 	 loss 1.023E+00 	 horizons 19.0
step 2663 	 return [0.00091561 0.00623576 0.00479286 0.00709059 0.00528605], ([0.00149164 0.00248602 0.00228662 0.0033638  0.0021449 ]) 	 loss 9.803E-01 	 horizons 19.0
step 2853 	 return [0.00237812 0.00557082 0.00485494 0.00606599 0.00410873], ([0.00203447 0.00387262 0.00234759 0.0030593  0.00286594]) 	 loss 9.617E-01 	 horizons 19.0
step 3043 	 return [0.00228325 0.00382042 0.0053526  0.00455275 0.00368912], ([0.00254284 0.00171613 0.00183566 0.00205007 0.00372675]) 	 loss 9.393E-01 	 horizons 19.0
step 3233 	 return [0.00248635 0.00504679 0.00545737 0.0059678  0.00476026], ([0.00254413 0.0030342  0.00325527 0.00407547 0.00270973]) 	 loss 9.019E-01 	 horizons 19.0
step 3423 	 return [0.00227254 0.00516391 0.00546436 0.00473529 0.00466908], ([0.00186811 0.00297217 0.00168449 0.00218879 0.00140279]) 	 loss 9.125E-01 	 horizons 19.0
step 3613 	 return [0.00179806 0.00593362 0.00493784 0.00703835 0.00452693], ([0.00221175 0.00308526 0.00138761 0.00291765 0.00205955]) 	 loss 8.654E-01 	 horizons 19.0
step 3803 	 return [0.00083865 0.00664629 0.00751352 0.00679706 0.00634774], ([0.00114441 0.00321954 0.00156244 0.00287129 0.00173197]) 	 loss 8.604E-01 	 horizons 19.0
step 3993 	 return [0.00220796 0.00275029 0.003502   0.00432622 0.0040855 ], ([0.00226287 0.00118344 0.00251678 0.00265506 0.00296336]) 	 loss 8.567E-01 	 horizons 19.0
step 4183 	 return [0.00237661 0.00316444 0.00505448 0.00583189 0.0043124 ], ([0.00188914 0.00232271 0.00204144 0.00218954 0.00221324]) 	 loss 8.695E-01 	 horizons 19.0
